abuzhabi 阿布扎比
aerbeisi 阿尔卑斯
aerjier 阿尔及尔
aersasi 阿尔萨斯
aertaishan 阿尔泰山
afuleer 阿芙乐尔
aibushishou 爱不释手
aidemengdun 埃德蒙顿
aierbushang 哀而不伤
aierlandao 爱尔兰岛
aierlanren 爱尔兰人
aigangjingye 爱岗敬业
aiguojingshen 爱国精神
aiguorenshi 爱国人士
aiguoreqing 爱国热情
aiguoweisheng 爱国卫生
aiguoyundong 爱国运动
aiguozhishi 爱国志士
aiguozhuyi 爱国主义
aihaoheping 爱好和平
aihongbianye 哀鸿遍野
aijiaaihu 挨家挨户
aikesiguang 爱克斯光
ailibuli 爱理不理
ailishegong 爱丽舍宫
aimenaihu 挨门挨户
aiqinggushi 爱情故事
aiqingxiju 爱情喜剧
aishaniya 爱沙尼亚
aishengtanqi 唉声叹气
aixinjueluo 爱新觉罗
aixirencai 爱惜人才
aiyinsitan 爱因斯坦
aiyumianzi 碍于面子
aiyuqingmian 碍于情面
aizengfenming 爱憎分明
ajimide 阿基米德
akadiya 阿卡迪亚
akaliusi 阿喀琉斯
alabohai 阿拉伯海
alaboren 阿拉伯人
alabowen 阿拉伯文
alaboyu 阿拉伯语
alamutu 阿拉木图
alashankou 阿拉山口
alashanmeng 阿拉善盟
alasijia 阿拉斯加
alibaba 阿里巴巴
aliekexie 阿列克谢
ananjingjing 安安静静
ananwenwen 安安稳稳
anbangdingguo 安邦定国
anbujiuban 按部就班
andalvehu 安大略湖
andingtuanjie 安定团结
andisishan 安第斯山
andongniao 安东尼奥
anduwannian 安度晚年
anduzhilao 案牍之劳
anfaxianchang 案发现场
anfenshouji 安分守己
angshoukuobu 昂首阔步
angshoutingxiong 昂首挺胸
anjialuohu 安家落户
anjiancailiao 案件材料
anjianxiansuo 案件线索
anjingxialai 安静下来
anjugongcheng 安居工程
anjuleye 安居乐业
anlaofenpei 按劳分配
anlaoquchou 按劳取酬
annabuzhu 按捺不住
anniukaiguan 按钮开关
anquanbiaozhi 安全标志
anquancelve 安全策略
anquancuoshi 安全措施
anquandianya 安全电压
anquanjiancha 安全检查
anquanjianguan 安全监管
anquankekao 安全可靠
anquanloudong 安全漏洞
anquanqinang 安全气囊
anquanshebei 安全设备
anquanshigu 安全事故
anquanshijian 安全事件
anquanweisheng 安全卫生
anquanxingshi 安全形势
anquanxishu 安全系数
anquanyinhuan 安全隐患
anquanyishi 安全意识
anranshise 黯然失色
anranwuyang 安然无恙
anshenliming 安身立命
anshizhiluan 安史之乱
anteweipu 安特卫普
anweilengnuan 安危冷暖
anweiyugong 安危与共
anwutianri 暗无天日
anxixiangsuan 安息香酸
anyingzhazhai 安营扎寨
anyuxianzhuang 安于现状
anzhigongzuo 安置工作
anzhongmosuo 暗中摸索
anzhuangwenjian 安装文件
aodaliya 澳大利亚
aodiliren 奥地利人
aogusidu 奥古斯都
aolinpike 奥林匹克
aolinpiya 奥林匹亚
aomanwuli 傲慢无礼
