阿二	A Er
阿尔尼	A Er Ni
阿凡提	A Fan Ti
阿凡提妻	A Fan Ti Qi
阿根	A Gen
阿洪	A Hong
阿济赤	A Ji Chi
阿九	A Jiu
阿里	A Li
阿曼	A Man
阿三	A San
阿胜	A Sheng
阿朱	A Zhu
阿紫	A Zi
矮老者	Ai Lao Zhe
安大娘	An Da Niang
安奉日	An Feng Ri
安健刚	An Jian Gang
安剑清	An Jian Qing
安提督	An Ti Du
安小慧	An Xiao Hui
鳌拜	Ao Bai
敖彪	Ao Biao
巴郎星	Ba Lang Xing
巴泰	Ba Tai
巴天石	Ba Tian Shi
巴颜法师	Ba Yan Fa Shi
白阿绣	Bai A Xiu
百草仙	Bai Cao Xian
白二	Bai Er
白龟寿	Bai Gui Shou
白寒枫	Bai Han Feng
白寒松	Bai Han Song
白脸人	Bai Lian Ren
白马啸西风	Bai Ma Xiao Xi Feng
白世镜	Bai Shi Jing
白万剑	Bai Wan Jian
白熊	Bai Xiong
白振	Bai Zhen
白自在	Bai Zi Zai
班淑娴	Ban Shu Xian
包不同	Bao Bu Tong
鲍承先	Bao Cheng Xian
鲍大楚	Bao Da Chu
鲍千灵	Bao Qian Ling
宝树	Bao Shu
包惜弱	Bao Xi Ruo
宝象和尚	Bao Xiang He Shang
贝海石	Bei Hai Shi
贝锦仪	Bei Jin Yi
贝人龙	Bei Ren Long
本参	Ben Can
本观	Ben Guan
本相	Ben Xiang
本因	Ben Yin
彼得	Bi De
笔贴式	Bi Tie Shi
碧血剑	Bi Xue Jian
卜沉	Bu Chen | Bo Chen
博尔忽	Bo Er Hu
博尔术	Bo Er Shu
波罗星	Bo Luo Xing
拨速台	Bo Su Tai
卜泰	Bu Tai | Bo Tai
卜垣	Bu Yuan | Bo Yuan
补锅匠	Bu Guo Jiang
不戒和尚	Bu Jie He Shang
不平道人	Bu Ping Dao Ren
蔡德忠	Cai De Zhong
蔡威	Cai Wei
藏边大丑	Cang Bian Da Chou
藏边二丑	Cang Bian Er Chou
藏边三丑	Cang Bian San Chou
藏边四丑	Cang Bian Si Chou
藏边五丑	Cang Bian Wu Chou
曹化淳	Cao Hua Chun
曹猛	Cao Meng
曹能	Cao Neng
曹司朋	Cao Si Peng
曹云奇	Cao Yun Qi
岑其斯	Cen Qi Si
曾柔	Zeng Rou | Ceng Rou
曾铁鸥	Ceng Tie Ou
曾图南	Ceng Tu Nan
察尔珠	Cha Er Zhu
察罕特穆尔	Cha Han Te Mu Er
察合台	Cha He Tai
查继左	Cha Ji Zuo
常伯志	Chang Bo Zhi
常长风	Chang Chang Feng
常赫志	Chang He Zhi
常金鹏	Chang Jin Peng
常敬之	Chang Jing Zhi
昌齐	Chang Qi
长青子	Chang Qing Zi
常胜宝树王	Chang Sheng Bao Shu Wang
常遇春	Chang Yu Chun
车尔库	Che Er Ku
车夫	Che Fu
陈冲之	Chen Chong Zhi
陈大方	Chen Da Fang
陈达海	Chen Da Hai
陈高波	Chen Gao Bo
陈孤雁	Chen Gu Yan
陈家洛	Chen Jia Luo
陈近南	Chen Jin Nan
陈珂	Chen Ke
陈老丐	Chen Lao Gai
陈七	Chen Qi
陈歪嘴	Chen Wai Zui
陈玄风	Chen Xuan Feng
陈友谅	Chen You Liang
陈禹	Chen Yu
陈圆圆	Chen Yuan Yuan
陈正德	Chen Zheng De
成不忧	Cheng Bu You
成高道人	Cheng Gao Dao Ren
澄观	Cheng Guan
澄光	Cheng Guang
成璜	Cheng Huang
成昆	Cheng Kun
程灵素	Cheng Ling Su
程青霜	Cheng Qing Shuang
程青竹	Cheng Qing Zhu
澄识	Cheng Shi
程坛主	Cheng Tan Zhu
澄通	Cheng Tong
程维藩	Cheng Wei Fan
澄心	Cheng Xin
程遥迦	Cheng Yao Jia
程瑶迦	Cheng Yao Jia
程瑛	Cheng Ying
成自学	Cheng Zi Xue
迟百诚	Chi Bai Cheng
赤老温	Chi Lao Wen
迟玄	Chi Xuan
冲虚	Chong Xu
冲虚道长	Chong Xu Dao Zhang
丑脸汉子	Chou Lian Han Zi
仇松年	Chou Song Nian
出尘子	Chu Chen Zi
传功长老	Chuan Gong Zhang Lao
丛不弃	Cong Bu Qi
崔百泉	Cui Bai Quan
崔百胜	Cui Bai Sheng
崔镖头	Cui Biao Tou
崔绿华	Cui Lv Hua
催命鬼	Cui Ming Gui
崔秋山	Cui Qiu Shan
崔希敏	Cui Xi Min
崔瞎子	Cui Xia Zi
崔志方	Cui Zhi Fang
大悲老人	Da Bei Lao Ren
大痴	Da Chi
大癫	Da Dian
达尔巴	Da Er Ba
大汉	Da Han
大苦	Da Ku
大头鬼	Da Tou Gui
大智禅师	Da Zhi Chan Shi
戴永明	Dai Yong Ming
单伯山	Dan Bo Shan
单季山	Dan Ji Shan
丹青生	Dan Qing Sheng
单叔山	Dan Shu Shan
单铁生	Dan Tie Sheng
单小山	Dan Xiao Shan
单正	Dan Zheng
刀白凤	Dao Bai Feng
德布	De Bu
德成	De Cheng
德鄂	De E
邓八公	Deng Ba Gong
邓百川	Deng Bai Chuan
邓炳春	Deng Bing Chun
邓愈	Deng Yu
狄镖头	Di Biao Tou
狄修	Di Xiu
狄云	Di Yun
店伴	Dian Ban
点苍渔隐	Dian Cang Yu Yin
吊死鬼	Diao Si Gui
丁不三	Ding Bu San
丁不四	Ding Bu Si
丁春秋	Ding Chun Qiu
丁大全	Ding Da Quan
丁珰	Ding Dang
丁典	Ding Dian
丁坚	Ding Jian
定静师太	Ding Jing Shi Tai
丁勉	Ding Mian
丁敏尹	Ding Min Yin
丁同	Ding Tong
定逸	Ding Yi
丁游	Ding You
东方不败	Dong Fang Bu Bai
董开山	Dong Kai Shan
洞玄	Dong Xuan
都大锦	Dou Da Jin
都史	Dou Shi
杜百当	Du Bai Dang
渡厄	Du E
渡劫	Du Jie
杜立德	Du Li De
渡难	Du Nan
杜希孟	Du Xi Meng
杜长老	Du Zhang Lao
端木元	Duan Mu Yuan
段天德	Duan Tian De
段延庆	Duan Yan Qing
段誉	Duan Yu
段正淳	Duan Zheng Chun
段正明	Duan Zheng Ming
对喀纳	Dui Ka Na
多尔衮	Duo Er Gun
多隆	Duo Long
鄂尔多	E Er Duo
范百龄	Fan Bai Ling
范帮主	Fan Bang Zhu
樊纲	Fan Gang
范骅	Fan Hua
范文程	Fan Wen Cheng
范遥	Fan Yao
范一飞	Fan Yi Fei
樊一翁	Fan Yi Weng
范禹	Fan Yu
范中恩	Fan Zhong En
方大洪	Fang Da Hong
方东白	Fang Dong Bai
方人智	Fang Ren Zhi
方生	Fang Sheng
方天劳	Fang Tian Lao
方怡	Fang Yi
方有德	Fang You De
方证	Fang Zheng
费彬	Fei Bin
费要多罗	Fei Yao Duo Luo
冯阿三	Feng A San
风波恶	Feng Bo E
冯不摧	Feng Bu Cui
封不平	Feng Bu Ping
冯不破	Feng Bu Po
冯衡	Feng Heng
冯辉	Feng Hui
风际中	Feng Ji Zhong
风良	Feng Liang
冯默风	Feng Mo Feng
冯难敌	Feng Nan Di
凤南天	Feng Nan Tian
凤七	Feng Qi
风清扬	Feng Qing Yang
冯坦	Feng Tan
封坛主	Feng Tan Zhu
冯同知	Feng Tong Zhi
封万里	Feng Wan Li
冯锡范	Feng Xi Fan
凤一鸣	Feng Yi Ming
冯振武	Feng Zhen Wu
富春	Fu Chun
福康安	Fu Kang An
符敏仪	Fu Min Yi
傅思归	Fu Si Gui
盖一鸣	Gai Yi Ming
盖运聪	Gai Yun Cong
甘宝宝	Gan Bao Bao
刚相	Gang Xiang
高管家	Gao Guan Jia
高克新	Gao Ke Xin
高老者	Gao Lao Zhe
高里津	Gao Li Jin
高明根	Gao Ming Gen
高三娘子	Gao San Niang Zi
高升泰	Gao Sheng Tai
高师弟	Gao Shi Di
高颜超	Gao Yan Chao
高则成	Gao Ze Cheng
葛尔丹	Ge Er Dan
葛光佩	Ge Guang Pei
葛通	Ge Tong
