阿兰德隆	Alandelong
曹景行	Caojingxing
查尔顿	Chaerdun
陈丹青	Chendanqing
狄仁杰	Direnjie
毛泽东	Maozedong
李彦宏	Liyanhong
宋美龄	Songmeiling
梁文博	Liangwenbo
殷洪年	Yinhongnian
余秋雨	Yuqiuyu
昭文帝	Zhaowendi
邹德忠	Zoudezhong
阿宝	Abao
阿扁	Abian
阿波罗	Aboluo
阿卜杜尔	Abuduer
阿部	Abu
阿部规秀	Abuguixiu
阿辰	Achen
阿达	Ada
阿道夫	Adaofu
阿德米尔	Ademier
阿笛	Adi
阿杜	Adu
阿朵	Aduo
阿尔巴	Aerba
阿尔贝特	Aerbeite
阿尔贝托	Aerbeituo
阿尔弗雷德	Aerfuleide
阿尔弗雷多	Aerfuleiduo
阿古柏	Agubai
阿骨打	Aguda
阿怪	Aguai
阿贵	Agui
阿桂	Agui
阿赫罗梅耶夫	Eheluomeiyefu
阿会喃	Ahuinan
阿基米德	Ajimide
阿基诺	Ajinuo
阿加莎	Ajiasha
阿加西	Ajiaxi
阿贾克斯	Ajiakesi
阿婕	Ajie
阿喀琉斯	Akaliusi
阿奎那	Akuina
阿拉法特	Alafate
阿来	Alai
阿兰	Alan
阿里不哥	Alibuge
阿里汉	Alihan
阿里克谢	Alikexie
阿里郎	Alilang
阿里斯托芬	Alisituofen
阿历克斯	Alikesi
阿连德	Aliande
阿隆索	Alongsuo
阿伦特	Alunte
阿罗尼扬	Aluoniyang
阿马里尔多	Amalierduo
阿曼尼莎汗	Amannishahan
阿蒙	Ameng
阿木	Amu
阿南德	Anande
阿牛	Aniu
阿诺德	Anuode
阿沛阿旺晋美	Apeiawangjinmei
阿沁	Aqin
阿庆嫂	Aqingsao
阿丘	Aqiu
阿桑	Asang
阿瑟	Ase
阿速吉八	Asujiba
阿速温和吉八	Asuwenhejiba
阿西莫夫	Aximofu
阿信	Axin
阿雅	Aya
阿忆	Ayi
阿英	Aying
阿玉锡	Ayuxi
阿育王	Ayuwang
哀平帝	Aipingdi
哀平帝苻丕	Aipingdifupi
哀王	Aiwang
哀王沮渠牧犍	Aiwangjuqumujian
哀宗	Aizong
哀宗完颜守绪	Aizongwanyanshouxu
埃布登	Aibudeng
埃德尔曼	Aideerman
埃德加	Aidejia
埃德蒙德	Aidemengde
埃尔顿	Aierdun
埃尔克耶尔	Aierkeyeer
埃来提	Ailaiti
埃米尔	Aimier
埃斯科巴	Aisikeba
艾尔	Aier
艾菲尔	Aifeier
艾哈迈德	Aihamaide
艾敬	Aijing
艾柯	Aike
艾伦	Ailun
艾吕雅	Ailvya
艾梦萌	Aimengmeng
艾青	Aiqing
艾森豪威尔	Aisenhaoweier
艾思奇	Aisiqi
艾薇塔	Aiweita
艾伟桉	Aiweian
艾未未	Aiweiwei
艾芜	Aiwu
艾小羊	Aixiaoyang
艾昕	Aixin
爱戴	Aidai
爱德华	Aidehua
爱德华兹	Aidehuazi
爱迪生	Aidisheng
爱多士	Aiduoshi
爱默生	Aimosheng
爱新觉罗	Aixinjueluo
爱新觉罗努尔哈赤	Aixinjueluonuerhachi
爱新觉罗氏	Aixinjueluoshi
爱因斯坦	Aiyinsitan
爱育黎拔力八达	Aiyulibalibada
安德拉德	Andelade
安德雷斯	Andeleisi
安德烈	Andelie
安德鲁	Andelu
安德王	Andewang
安德王高延宗	Andewanggaoyanzong
安迪	Andi
安定王	Andingwang
安定王元朗	Andingwangyuanlang
安东尼	Andongni
安东诺夫	Andongnuofu
安格尔	Angeer
安琥	Anhu
安吉丽娜	Anjilina
安家满	Anjiaman
安钧璨	Anjuncan
安禄山	Anlushan
安南	Annan
安妮	Anni
安妮宝贝	Annibaobei
安琪	Anqi
安童	Antong
安徒生	Antusheng
安西奇	Anxiqi
安沂华	Anyihua
安以轩	Anyixuan
安又琪	Anyouqi
安泽豪	Anzehao
安致远	Anzhiyuan
安祚永	Anzuoyong
昂山素姬	Angshansuji
敖幼祥	Aoyouxiang
奥黛丽	Aodaili
奥德赛	Aodesai
奥尔布赖特	Aoerbulaite
奥古斯丁	Aogusiding
奥古斯都	Aogusidu
奥古斯特	Aogusite
奥金莱克	Aojinlaike
奥克塔维奥	Aoketaweiao
奥勒留	Aoleliu
奥利弗	Aolifu
奥利维拉	Aoliweila
奥列格	Aoliege
奥尼尔	Aonier
奥沙利文	Aoshaliwen
奥斯卡	Aosika
奥斯曼	Aosiman
奥斯特洛夫斯基	Aositeluofusiji
奥斯汀	Aositing
奥特加	Aotejia
奥托	Aotuo
奥威尔	Aoweier
奥维兰	Aoweilan
奥西	Aoxi
八思巴	Basiba
巴巴拉	Babala
巴勃鲁	Babolu
巴勃罗	Baboluo
巴丹	Badan
巴蒂斯图塔	Badisituta
巴顿	Badun
巴多里奥	Baduoliao
巴尔达诺	Baerdanuo
巴尔德斯	Baerdesi
巴尔扎克	Baerzhake
巴甫洛夫	Bafuluofu
巴甫洛维奇	Bafuluoweiqi
巴家伟	Bajiawei
巴金	Bajin
巴拉迪	Baladi
巴拉克	Balake
巴雷拉	Baleila
巴雷西	Baleixi
巴蔓子	Bamanzi
巴乔	Baqiao
巴人	Baren
巴曙松	Bashusong
巴斯德	Baside
巴斯腾	Basiteng
巴特尔	Bateer
拔都	Badu
白冰冰	Baibingbing
白沉	Baichen
白成豪	Baichenghao
白诚铉	Baichengxuan
白崇禧	Baichongxi
白峰基	Baifengji
白凤鸣	Baifengming
白圭	Baigui
白行简	Baixingjian
白鹤亮	Baiheliang
白洁	Baijie
白居易	Baijuyi
白朗	Bailang
白利彬	Bailibin
白灵	Bailing
白鹏飞	Baipengfei
白朴	Baipu
白起	Baiqi
白庆琳	Baiqinglin
白求恩	Baiqiuen
白石裕	Baishiyu
白淑湘	Baishuxiang
白嵩	Baisong
白先勇	Baixianyong
白欣怡	Baixinyi
白修德	Baixiude
白岩松	Baiyansong
白燕	Baiyan
白杨	Baiyang
白茵	Baiyin
白音格力	Baiyingeli
白英	Baiying
白永成	Baiyongcheng
白玉霜	Baiyushuang
白元	Baiyuan
白云鹏	Baiyunpeng
百里奚	Bailixi
百里溪	Bailixi
柏邦妮	Bobangni
柏含	Baihan
柏辉章	Baihuizhang
柏拉图	Bolatu
柏杨	Baiyang
班彪	Banbiao
班超	Banchao
班固	Bangu
班克罗夫特	Bankeluofute
班克斯	Bankesi
班扬	Banyang
班昭	Banzhao
坂田荣男	Bantianrongnan
邦德	Bangde
包尔汉	Baoerhan
包公	Baogong
包冉	Baoran
包仁	Baoren
包世臣	Baoshichen
包训国	Baoxunguo
包玉刚	Baoyugang
包拯	Baozheng
保剑锋	Baojianfeng
保卢斯	Baolusi
保罗	Baoluo
保罗艾伦	Baoluoailun
鲍比	Baobi
鲍超	Baochao
鲍方	Baofang
鲍刚	Baogang
鲍革	Baoge
鲍林	Baolin
鲍曼	Baoman
鲍宁	Baoning
鲍照	Baozhao
北村	Beicun
北海王	Beihaiwang
北海王慕容超	Beihaiwangmurongchao
贝阿尔佐特	Beiaerzuote
贝贝托	Beibeituo
贝多芬	Beiduofen
贝恩	Beien
贝尔戈米	Beiergemi
贝尔纳	Beierna
贝弗里奇	Beifuliqi
贝克汉姆	Beikehanmu
贝肯鲍尔	Beikenbaoer
贝利	Beili
贝隆	Beilong
贝卢斯科尼	Beilusikeni
贝瑞	Beirui
贝斯特	Beisite
孛儿只斤铁木真	Beierzhijintiemuzhen
倍赏千惠子	Beishangqianhuizi
本杰明	Benjieming
本拉登	Benladeng
本田邦久	Bentianbangjiu
本乡健	Benxiangjian
本雅明	Benyaming
比尔	Bier
比尔盖茨	Biergaici
比干	Bigan
比拉尔多	Bilaerduo
彼得	Bide
彼得大帝	Bidedadi
彼得梅尔	Bidemeier
彼什科夫	Bishikefu
彼特	Bite
毕彬彬	Bibinbin
毕达哥拉斯	Bidagelasi
毕加索	Bijiasuo
毕荩臣	Bijinchen
毕然	Biran
毕升	Bisheng
毕熙东	Bixidong
毕晓普	Bixiaopu
毕玉玺	Biyuxi
碧珊	Bishan
碧野	Biye
扁鹊	Bianque
卞秉彬	Bianbingbin
别尔嘉耶夫	Bieerjiayefu
别拉诺夫	Bielanuofu
别林斯基	Bielinsiji
宾汉姆	Binhanmu
滨崎步	Binqibu
冰心	Bingxin
兵哥	Bingge
