曼德尔	Mandeer
安德烈斯	Andeliesi
迪克逊	Dikexun
坎特	Kante
比利	Bili
比勒	Bile
卡雷尔	Kaleier
贝尔	Beier
范尼斯特鲁伊	Fannisiteluyi
迪马斯	Dimasi
温斯顿	Wensidun
科斯拉	Kesila
托瓦兹	Tuowazi
拉兹	Lazi
斯坦利	Sitanli
木拉提	Mulati
史蒂文斯	Shidiwensi
宾汉姆	Binhanmu
马蒂亚斯	Madiyasi
凯瑞	Kairui
帕特	Pate
沙塔尔	Shataer
索菲亚	Suofeiya
盖尔	Gaier
斯诺	Sinuo
克里希托	Kelixituo
佩耶	Peiye
霍华德	Huohuade
赞恩	Zanen
瓦德	Wade
卡希尔	Kaxier
米尔顿	Mierdun
卡尼	Kani
维罗妮卡	Weiluonika
本特利	Benteli
汉密尔顿	Hanmierdun
买买提	Maimaiti
娜塔莉娅	Nataliya
洛夫古德	Luofugude
克拉克	Kelake
利兰	Lilan
西蒙斯	Ximengsi
米兰诺	Milannuo
哈里森	Halisen
科内特	Keneite
白罗	Bailuo
博比	Bobi
萨缪尔森	Samiuersen
费雷拉	Feileila
菲尔莫尔	Feiermoer
麦昆	Maikun
迪士尼	Dishini
哈罗德	Haluode
安东尼	Andongni
艾米丽	Aimili
苏珊	Sushan
达蒙	Dameng
芬尼	Fenni
卡罗尔	Kaluoer
弗格森	Fugesen
吉娜	Jina
洛斯	Luosi
卡洛斯	Kaluosi
米洛斯	Miluosi
拉布	Labu
吉姆	Jimu
拉波	Labo
塔尔	Taer
道	Dao
德	De
富特文格勒	Futewengele
克劳斯	Kelaosi
查德利	Chadeli
库诺	Kunuo
维加斯	Weijiasi
卡鲁	Kalu
伍兹	Wuzi
安娜贝尔	Annabeier
克拉马里奇	Kelamaliqi
克鲁伊夫	Keluyifu
朱丽娅	Zhuliya
卡洛	Kaluo
德帕迪约	Depadiyue
卡伦	Kalun
卡罗	Kaluo
卡萝	Kaluo
杜兰特	Dulante
甘地	Gandi
洛伦特	Luolunte
威尔弗雷德	Weierfuleide
叶赫那拉	Yehenala
华特	Huate
麦道夫	Maidaofu
斯宾塞	Sibinsai
阿布杜	Abudu
科罗维	Keluowei
巴卡尔	Bakaer
佐伊	Zuoyi
查德威克	Chadeweike
理查兹	Lichazi
加帕尔	Jiapaer
赫尔曼	Heerman
克里斯	Kelisi
巴斯克	Basike
加尔	Jiaer
帕布洛	Pabuluo
阿诺	Anuo
科利尔	Kelier
布尔	Buer
碧昂斯	Biangsi
凯蒂	Kaidi
诺布尔	Nuobuer
阿沛	Apei
阿尔宾	Aerbin
布罗恩	Buluoen
阿帕	Apa
沃德	Wode
热贡	Regong
瑞秋	Ruiqiu
菲斯克	Feisike
弗雷迪	Fuleidi
弗雷德	Fuleide
阿尔芒	Aermang
霍尔曼	Huoerman
阿加莎	Ajiasha
伯顿	Bodun
阿道夫	Adaofu
格罗特	Geluote
阿格尔	Ageer
乌维	Wuwei
何塞	Hesai
桑普森	Sangpusen
里维拉	Liweila
切奇	Qieqi
朱利亚尼	Zhuliyani
亨德利	Hengdeli
穆利斯	Mulisi
芬奇	Fenqi
格瑞斯	Geruisi
萨克斯	Sakesi
露丝	Lusi
