丁小芹	Dingxiaoqin
丁建华	Dingjianhua
丁文琪	Dingwenqi
丁菲飞	Dingfeifei
丁薇	Dingwei
七生奈央	Qishengnaiyang
万玛才旦	Wanmacaidan
万玛才旦	Wanmacaidan
万美汐	Wanmeixi
万美汐	Wanmeixi
万芳	Wanfang
三浦智佳	Sanpuzhijia
三浦爱	Sanpuai
三浦绮音	Sanpuqiyin
三田爱	Santianai
严智苑	Yanzhiyuan
中山美穗	Zhongshanmeisui
中岛史惠	Zhongdaoshihui
中川翔子	Zhongchuanxiangzi
中村知世	Zhongcunzhishi
丰丸	Fengwan
丹尼尔戴路易斯	Dannierdailuyisi
丹泽尔华盛顿	Danzeerhuashengdun
丽芙泰勒	Lifutaile
久保亚沙香	Jiubaoyashaxiang
乌玛瑟曼	Wumaseman
乐基儿	Lejier
乔丹	Qiaodan
乔任梁	Qiaorenliang
乔恩沃伊特	Qiaoenwoyite
乔榛	Qiaozhen
乔治克鲁尼	Qiaozhikeluni
乔治卢卡斯	Qiaozhilukasi
乔红	Qiaohong
乔红	Qiaohong
乔阿金菲尼克斯	Qiaoajinfeinikesi
二宫优	Ergongyou
二宫步美	Ergongbumei
于丽萍	Yuliping
于台烟	Yutaiyan
于娜	Yuna
于小伟	Yuxiaowei
于文华	Yuwenhua
于毅	Yuyi
于莎莎	Yushasha
于越	Yuyue
五月天	Wuyuetian
井柏然	Jingboran|jingbairan
亚历山大佩恩	Yalishandapeien
京乃	Jingnai
仇晓	Qiuxiao
仲千菜美	Zhongqiancaimei
仲间由纪惠	Zhongjianyoujihui
任泉	Renquan
任程伟	Renchengwei
任贤齐	Renxianqi
任达华	Rendahua
伊丽莎白泰勒	Yilishabaitaile
伊丽莎白赫莉	Yilishabaiheli
伊恩麦凯伦	Yienmaikailun
伊桑霍克	Yisanghuoke
伊能静	Yinengjing
伊藤	Yiteng
伍佰	Wubai
伍思凯	Wusikai
伏明霞	Fumingxia
伏晨	Fuchen
佐藤江梨子	Zuotengjianglizi
佐藤蓝子	Zuotenglanzi
何嘉莉	Hejiali
何晴	Heqing
何洁	Hejie
何润东	Herundong
何炅	Hejiong
何琳	Helin
何美钿	Hemeidian
何耀珊	Heyaoshan
何赛飞	Hesaifei
何静	Hejing
何韵诗	Heyunshi
佘诗曼	Sheshiman
余少群	Yushaoqun
余文乐	Yuwenle
余红艳	Yuhongyan
佟丽娅	Tongliya
佟大为	Tongdawei
佟晨洁	Tongchenjie
佩内洛普克鲁兹	Peineiluopukeluzi
佩德罗阿尔莫多瓦	Peideluoaermoduowa
佩德罗阿尔莫多瓦	Peideluoaermoduowa
佳宁	Jianing
侯佩岑	Houpeicen
侯湘婷	Houxiangting
保剑锋	Baojianfeng
俞可欣	Yukexin
俞可欣	Yukexin
俞飞鸿	Yufeihong
修庆	Xiuqing
倪妮	Nini
倪媚儿	Nimeier
倪萍	Niping
倪虹洁	Nihongjie
傅佩嘉	Fupeijia
傅天颖	Futianying
傅彪	Fubiao
元华	Yuanhua
元彬	Yuanbin
元村	Yuancun
元秋	Yuanqiu
光头	Guangtou
光良	Guangliang
克林特伊斯特伍德	Kelinteyisitewude
克莉丝汀阿奎莱拉	Kelisitingakuilaila
克里夫欧文	Kelifuouwen
克里斯库柏	Kelisikubai
克里斯库柏	Kelisikubai
克里斯托弗沃肯	Kelisituofuwoken
全智贤	Quanzhixian
关之琳	Guanzhilin
关咏菏	Guanyonghe
关心妍	Guanxinyan
关智斌	Guanzhibin
关月	Guanyue
关正杰	Guanzhengjie
关淑怡	Guanshuyi
冈仓鲇	Gangcangnian
冈元厚子	Gangyuanhouzi
冯小刚	Fengxiaogang
冯巩	Fenggong
冯德伦	Fengdelun
冯绍峰	Fengshaofeng
冯雷	Fenglei
冰淇	Bingqi
冰火组合	Binghuozuhe
凉木桃香	Liangmutaoxiang
凤凰传奇	Fenghuangchuanqi
凯文斯贝西	Kaiwensibeixi
凯特哈德森	Kaitehadesen
凯特布兰切特	Kaitebulanqiete
凯特温斯莱特	Kaitewensilaite
凯特琳娜桑迪诺莫雷诺	Kaitelinnasangdinuomoleinuo
凯特赫德森	Kaitehedesen
凯瑟琳泽塔琼斯	Kaiselinzetaqiongsi
凯瑟琳赫本	Kaiselinheben
凯莉安妮莫斯	Kailiannimosi
凯莉米洛	Kailimiluo
凯蒂赫尔姆斯	Kaidiheermusi
凯西贝兹	Kaixibeizi
凯西贝兹	Kaixibeizi
刘一	Liuyi
刘丹	Liudan
刘亦菲	Liuyifei
刘仪伟	Liuyiwei
刘冠翔	Liuguanxiang
刘凌	Liuling
