阿布凯和尔吉库	Abukaiheerjiku
阿布凯茂林	Abukaimaolin
阿昌阿	Achanga
阿楚珲	Achuhun
阿达礼	Adali
阿尔哈图	Aerhatu
阿尔萨兰	Aersalan
阿尔逊	Aerxun
阿哥	Age
阿哈旦老獾	Ahadanlaohuan
阿珲	Ahun
阿机达	Ajida
阿济格	Ajige
阿济根	Ajigen
阿克敦	Akedun
阿克占	Akezhan
阿喇善阿噶	Alashanaga
阿兰	Alan
阿林	Alin
阿林阿	Alina
阿玛	Ama
阿玛哈额莫克	Amahaemoke
阿牟	Amou
阿牟其	Amouqi
阿纳布	Anabu
阿纳呼占	Anahuzhan
阿纳库	Anaku
阿沙	Asha
阿思海	Asihai
阿苏	Asu
阿燕达	Ayanda
爱根	Aigen
艾哈纳	Aihana
爱新	Aixin
爱新觉罗	Aixinjueluo
爱星阿	Aixinga
安巴	Anba
安巴毕西棱	Anbabixileng
安巴额图珲	Anbaetuhun
安巴玲谷	Anbalinggu
安巴灵武	Anbalingwu
安布	Anbu
安布玛	Anbuma
安佳	Anjia
敖佳	Aojia
敖克多礼宜尔哈	Aokeduoliyierha
敖勒多尔	Aoleduoer
敖勒和硕比	Aoleheshuobi
敖莫西玛玛	Aomoximama
巴代	Badai
巴哈	Baha
巴哈布	Bahabu
巴海	Bahai
巴克桑	Bakesang
巴克山	Bakeshan
巴克什	Bakeshen
巴兰	Balan
巴辂	Balu
巴山	Bashan
巴图鲁	Batulu
巴雅拉	Bayala
巴彦	Bayan
巴彦沃西晖	Bayanwoxihui
巴岳特	Bayuete
巴渣立	Bazhali
白佳	Baijia
白里	Baili
拜色	Baise
鲍白	Baobai
保泰	Baotai
必可塔	Biketa
比拉	Bila
弼鲁	Bilu
比渣穆	Bizhamu
博充奥沃赫	Bochongaowohe
博敦	Bodun
博多衡奥	Boduohengao
博尔济	Boerji
博尔济吉特	Boerjijite
博和礼	Boheli
博和托	Bohetuo
博吉利宜尔哈	Bojiliyierha
卜佳	Bojia
博洛	Boluo
博西勒	Boxile
步固斯	Bugusi
布喀	Buka
布喇奇	Bulaqi
步勒默齐特	Bulemoqite
布鲁堪	Bulukan
布恕库	Bushuku
布顺达	Bushunda
布雅里墨尔根	Buyalimoergen
布颜代额附	Buyandaiefu
布耶楚克	Buyechuke
蔡尔佳	Caierjia
仓佳	Cangjia
曹尔佳	Caoerjia
察尔奇	Chaerqi
察干	Chagan
柴达	Chaida
常阿岱	Changadai
常佳	Changjia
超哈尔	Chaohaer
车克	Cheke
车勒库车	Chelekuche
陈泰	Chentai
迟佳	Chijia
赤穆特	Chimute
绰勒果罗科	Chuoleguoluoke
绰勒果罗科比	Chuoleguoluokebi
绰勒和罗孔额	Chuoleheluokonge
绰罗欢	Chuoluohuan
绰奇前奔颅	Chuoqiqianbenlu
崔珠克	Cuizhuke
达巴里沃新比	Dabaliwoxinbi
达春	Dachun
达得	Dade
达哈苏	Dahasu
达赖	Dalai
达兰	Dalan
达礼	Dali
达玛法	Damafa
达妈妈	Damama
达山	Dashan
达素	Dasu
大伊	Dayi
戴尔佳戴佳	Daierjiadaijia
戴玕	Daigan
戴鹏	Daipeng
道喇	Daola
德福	Defu
德克济克	Dekejike
德色勒克	Deseleke
德泽生赵尔	Dezeshengzhaoer
东阿	Donga|donge
董鄂	Donge
栋鄂	Donge
兜	Dou
都尔巴	Douerba
杜尔根基特	Duergenjite
杜拉拉	Dulala
杜雷	Dulei
杜鲁穆	Dulumu
堆齐	Duiqi
多铎	Duoduo
多尔衮	Duoergun
多哈	Duoha
多和隆	Duohelong
多隆敖	Duolongao
多罗	Duoluo
多罗隆	Duoluolong
多西珲	Duoxihun
遏必隆	Ebilong
额布喝	Ebuhe
厄尔必和	Eerbihe
鄂尔博	Eerbo
额尔德克	Eerdeke
额尔德里乌西哈	Eerdeliwuxiha
额尔德蒙额	Eerdemenge
额尔德谟	Eerdemo
额尔登布	Eerdengbu
额尔登额	Eerdenge
鄂尔多	Eerduo
额尔赫	Eerhe
鄂尔和岱	Eerhedai
额尔吉	Eerji
额尔瑾	Eerjin
额附	Efu
鄂福和鄂哈	Efuheeha
额克出	Ekechu
鄂克逊	Ekexun
额勒	Ele
鄂柳特	Eliute
额鲁	Elu
额鲁里	Eluli
鄂伦	Elun
额默	Emo
鄂谟克	Emoke
额娘	Eniang
鄂齐尔	Eqier
额其克	Eqike
鄂齐卓他	Eqizhuota
额苏里	Esuli
额腾伊	Etengyi
额图珲	Etuhun
鄂约尔	Eyueer
额岳特	Eyuete
额云	Eyun
恩绰	Enchuo
恩特和谟	Entehemo
恩特恒	Enteheng
