阿什哈达摩崖	Ashihadamoya
阿育王塔	Ayuwangta
叆河尖古城址	Aihejianguchengzhi
瑷珲城	Aihuicheng
安国药王庙	Anguoyaowangmiao
安济桥	Anjiqiao
安远庙	Anyuanmiao
敖东城	Aodongcheng
八棱观塔	Balengguanta
八里城	Balicheng
八路军总司令部旧址	Balujunzongsilingbujiuzhi
八女投江纪念地	Banvtoujiangjiniandi
霸王朝山城	Bawangchaoshancheng
百花山	Baihuashan
百灵庙	Bailingmiao
白鹿岩	Bailuyan
白鹭洲	Bailuzhou
白求恩手术室旧址	Baiqiuenshoushushijiuzhi
百泉	Baiquan
白塔	Baita
白塔峪塔	Baitayuta
白胎寺	Baitaisi
白头山天池	Baitoushantianchi
白洋淀	Baiyangdian
半天云岭	Bantianyunling
报国寺	Baoguosi
保和殿	Baohedian
宝宁寺	Baoningsi
宝堂寺	Baotangsi
宝云阁	Baoyunge
宝珠洞	Baozhudong
北固山	Beigushan
北海	Beihai
北吉样寺	Beijiyangsi
北京大学红楼	Beijingdaxuehonglou
北京地下铁道	Beijingdixiatiedao
北京动物园	Beijingdongwuyuan
北山	Beishan
北寺塔	Beisita
北响堂寺石窟	Beixiangtangsishiku
北岳庙	Beiyuemiao
北镇庙	Beizhenmiao
贝子庙	Beizimiao
本兰围场	Benlanweichang
本溪湖	Benxihu
本溪水洞	Benxishuidong
碧落碑	Biluobei
碧山寺	Bishansi
避暑山庄	Bishushanzhuang
碧云寺	Biyunsi
边靖楼	Bianjinglou
扁鹊庙	Bianquemiao
柏林寺	Bolinsi
柏林寺塔	Bolinsita
浡泥国王墓	Boniguowangmu
泊镇清真寺	Bozhenqingzhensi
布尔很哈达岩画	Buerhenhadayanhua
簿仁寺	Burensi
沧浪亭	Canglangting
藏山	Cangshan
苍岩山	Cangyanshan
曹顶墓	Caodingmu
曾水源墓	Cengshuiyuanmu
岔道城	Chadaocheng
长安寺	Changansi
长白山瀑布	Changbaishanpubu
长白山温泉	Changbaishanwenquan
长白山自然保护区	Changbaishanziranbaohuqu
长城一八达龄	Changchengyibadaling
长川一号墓	Changchuanyihaomu
长廊	Changlang
长陵	Changling
长明灯	Changmingdeng
常平关帝庙	Changpingguandimiao
长辛店二七革命遗址	Changxindianerqigemingyizhi
朝天宫	Chaotiangong
朝宗桥	Chaozongqiao
承光殿	Chengguangdian
城隍庙	Chenghuangmiao
成吉思汗陵	Chengjisihanling
城墙磖子山城遗址	Chengqianglazishanchengyizhi
城子后山城遗址	Chengzihoushanchengyizhi
城子山山城	Chengzishanshancheng
城子山山城遗址	Chengzishanshanchengyizhi
池神庙	Chishenmiao
崇妃园寝	Chongfeiyuanqin
崇福寺	Chongfusi
崇陵	Chongling
崇明寺	Chongmingsi
崇宁殿	Chongningdian
崇庆寺	Chongqingsi
崇善寺	Chongshansi
崇圣饲	Chongshengsi
崇寿寺	Chongshousi
崇寿寺塔	Chongshousita
崇兴寺双塔	Chongxingsishuangta
重阳殿	Chongyangdian
除好柏	Chuhaobai
储秀官	Chuxiuguan
圌山塔	Chuanshanta
锤峰落照	Chuifengluozhao
春秋楼	Chunqiulou
纯阳殿	Chunyangdian
纯阳宫	Chunyanggong
慈悲庵	Cibeian
赐儿山云帛寺	Ciershanyunbosi
慈清寺	Ciqingsi
慈寿寺塔	Cishousita
慈寿塔	Cishouta
慈相寺	Cixiangsi
慈样观	Ciyangguan
慈云阁	Ciyunge
慈云寺	Ciyunsi
丛台	Congtai
崔府君庙	Cuifujunmiao
大安寺	Daansi
大报恩寺碑	Dabaoensibei
大葆台西汉墓	Dabaotaixihanmu
大悲阁	Dabeige
大悲寺	Dabeisi
大笔架山	Dabijiashan
大乘寺	Dachengsi
大城子塔	Dachengzita
大慈阁	Dacige
大风歌碑	Dafenggebei
大佛寺	Dafosi
大高玄殿	Dagaoxuandian
大沽口炮台	Dagukoupaotai
大孤山	Dagushan
大观圣作之碑	Daguanshengzuozhibei
大黑山	Daheishan
大虹桥	Dahongqiao
大金得胜陀颂碑	Dajindeshengtuosongbei
大境门	Dajingmen
大觉寺	Dajuesi
大连自然博物馆	Dalianziranbowuguan
大鹿岛	Daludao
大明寺	Damingsi
大明塔	Damingta
大石桥	Dashiqiao
大窑村石器制造场	Dayaocunshiqizhizaochang
大禹渡	Dayudu
大云寺	Dayunsi
大云院	Dayunyuan
大召	Dazhao
大政殿	Dazhengdian
大钟奇	Dazhongqi
大钟亭	Dazhongting
岱庙	Daimiao
澹泊敬诚殿	Danbojingchengdian
德和园	Deheyuan
德胜门箭楼	Deshengmenjianlou
邓廷桢墓	Dengtingzhenmu
邓演达墓	Dengyandamu
地保城	Dibaocheng
地坛	Ditan
帝王树	Diwangshu
地下富殿	Dixiafudian
地下熔岩洞	Dixiarongyandong
地下森林	Dixiasenlin
点春堂	Dianchuntang
钓鱼台	Diaoyutai
丁村民居	Dingcunminju
丁村遗址	Dingcunyizhi
定东陵	Dingdongling
定光佛舍利塔	Dingguangfoshelita
定慧寺	Dinghuisi
定林寺	Dinglinsi
定陵	Dingling
东北烈士纪念馆	Dongbeilieshijinianguan
董存瑞烈士陵园	Dongcunruilieshilingyuan
东大殿	Dongdadian
东堤	Dongdi
东峰耸翠	Dongfengsongcui
洞沟第十二号墓	Donggoudishierhaomu
洞沟古墓群	Donggougumuqun
东京陵	Dongjingling
东联峰山	Donglianfengshan
东林书院旧址	Donglinshuyuanjiuzhi
东南域角角楼	Dongnanyujiaojiaolou
董氏砖雕墓	Dongshizhuandiaomu
东四清真寺	Dongsiqingzhensi
东岳庙	Dongyuemiao
窦大夫祠	Doudaifuci
都城隍庙大殿	Duchenghuangmiaodadian
渡江胜利纪念碑	Dujiangshenglijinianbei
独乐寺	Dulesi
杜林桥	Dulinqiao
对语石	Duiyushi
堆云洞	Duiyundong
多宝琉璃塔	Duobaoliulita
多福寺	Duofusi
二仙宫	Erxiangong
二仙观	Erxianguan
法海寺	Fahaisi
法华塔	Fahuata
法净寺	Fajingsi
法王庙	Fawangmiao
法兴寺	Faxingsi
法源寺	Fayuansi
法云寺	Fayunsi
范增墓	Fanzengmu
泛舟禅师塔	Fanzhouchanshita
放鹤亭	Fangheting
防洪纪念塔	Fanghongjinianta
放生桥	Fangshengqiao
飞虹塔	Feihongta
飞云楼	Feiyunlou
封冻碑	Fengdongbei
奉国寺	Fengguosi
凤凰墩	Fenghuangdun
凤凰楼	Fenghuanglou
凤凰山	Fenghuangshan
凤凰山高句丽山城	Fenghuangshangaogoulishancheng
丰林保护区	Fenglinbaohuqu
风陵渡	Fenglingdu
枫桥	Fengqiao
奉圣寺	Fengshengsi
封氏墓群	Fengshimuqun
丰泽园	Fengzeyuan
佛官寺释迦塔	Foguansishijiata
佛光寺	Foguangsi
福陵	Fuling
福胜寺	Fushengsi
孚王府	Fuwangfu
福缘寺	Fuyuansi
覆舟山	Fuzhoushan
凫庄	Fuzhuang
夫子庙	Fuzimiao
嘎仙洞	Gaxiandong
甘露寺	Ganlusi
甘露寺铁塔	Ganlusitieta
高尔山山城	Gaoershanshancheng
高芬轩	Gaofenxuan
高蠡暴动烈士纪念塔	Gaolibaodonglieshijinianta
高丽城山城遗址	Gaolichengshanchengyizhi
高梁桥	Gaoliangqiao
葛贤墓	Gexianmu
阁院禅林寺	Geyuanchanlinsi
巩华城	Gonghuacheng
沟沟崖	Gougouya
古北口长城	Gubeikouchangcheng
古长城说碑	Guchangchengshuobei
顾处士祠	Guchushici
古佛舍利塔	Gufoshelita
古佛堂	Gufotang
故宫	Gugong
古后上祠	Guhoushangci
谷林堂	Gulintang
鼓楼	Gulou
古木兰院石塔	Gumulanyuanshita
古青莲寺	Guqingliansi
挂甲山石刻	Guajiashanshike
挂月峰	Guayuefeng
关帝庙	Guandimiao
观耕台	Guangengtai
关沟七十二景	Guangouqishierjing
观澜亭	Guanlanting
观莲所	Guanliansuo
关马山城	Guanmashancheng
观水法	Guanshuifa
关天培墓	Guantianpeimu
关王庙	Guanwangmiao
观象台	Guanxiangtai
观音殿	Guanyindian
观音洞	Guanyindong
观音山	Guanyinshan
观音寺	Guanyinsi
观音堂	Guanyintang
广东会馆	Guangdonghuiguan
光化寺	Guanghuasi
广惠寺华塔	Guanghuisihuata
广济寺	Guangjisi
广开上王碑	Guangkaishangwangbei
广仁寺	Guangrensi
广仁王庙	Guangrenwangmiao
广胜上寺	Guangshengshangsi
广胜寺	Guangshengsi
广胜下寺	Guangshengxiasi
广武城	Guangwucheng
广宗寺	Guangzongsi
鬼见愁	Guijianchou
郭沫若故居	Guomoruoguju
国子监	Guozijian
蛤蟆石	Hamashi
海会寺	Haihuisi
旱牢	Hanlao
寒绿轩	Hanlvxuan
寒山寺	Hanshansi
濠濮间	Haopujian
好太王碑	Haotaiwangbei
和林格尔汉墓壁画	Helingeerhanmubihua
阖闾城	Helvcheng
阖闾墓	Helvmu
赫图阿拉老城	Hetualalaocheng
黑龙洞	Heilongdong
黑龙江城	Heilongjiangcheng
黑龙潭	Heilongtan
恒山	Hengshan
横塘驿亭	Hengtangyiting
洪福寺	Hongfusi
宏觉寺塔	Hongjuesita
红龙池	Honglongchi
红梅阁	Hongmeige
洪山源泉	Hongshanyuanquan
后湖	Houhu
侯马晋国遗址	Houmajinguoyizhi
猴石山遗址	Houshishanyizhi
后土庙	Houtumiao
后召庙辽石窟寺	Houzhaomiaoliaoshikusi
呼和浩特清真大寺	Huhehaoteqingzhendasi
壶口瀑布	Hukoupubu
呼论湖	Hulunhu
虎丘	Huqiu
虎丘摩崖题刻	Huqiumoyatike
虎丘塔	Huqiuta
壶山水神堂	Hushanshuishentang
虎神枪记碑	Hushenqiangjibei
