安定区	Andingqu
安徽省	Anhuisheng
澳门特别行政区	Aomentebiexingzhengqu
巴南区	Bananqu
鲅鱼圈区	Bayuquanqu
白山市	Baishanshi
白银市	Baiyinshi
包头市	Baotoushi
北碚区	Beibeiqu
北京市	Beijingshi
本溪市	Benxishi
滨海新区	Binhaixinqu
曹县	Caoxian
长春市	Changchunshi
常宁市	Changningshi
长治市	Changzhishi
常州市	Changzhoushi
朝阳市	Chaoyangshi
城北区	Chengbeiqu
城东区	Chengdongqu
成都市	Chengdushi
澄迈县	Chengmaixian
城区	Chengqu
成县	Chengxian
重庆市	Chongqingshi
大厂回族自治县	Dachanghuizuzizhixian
大东区	Dadongqu
大渡口区	Dadukouqu
大化瑶族自治县	Dahuayaozuzizhixian
大庆市	Daqingshi
大邑县	Dayixian
代县	Daixian
儋州市	Danzhoushi
德惠市	Dehuishi
德清县	Deqingxian
登封市	Dengfengshi
垫江县	Dianjiangxian
定安县	Dinganxian
定西市	Dingxishi
东城区	Dongchengqu
东方市	Dongfangshi
东区	Dongqu
东乡族自治县	Dongxiangzuzizhixian
都安瑶族自治县	Douanyaozuzizhixian
峨边彝族自治县	Ebianyizuzizhixian
鄂尔多斯市	Eerduosishi
二七区	Erqiqu
范县	Fanxian
房县	Fangxian
肥城市	Feichengshi
费县	Feixian
丰都县	Fengduxian
丰宁满族自治县	Fengningmanzuzizhixian
封丘县	Fengqiuxian
丰县	Fengxian
凤县	Fengxian
富川瑶族自治县	Fuchuanyaozuzizhixian
福建省	Fujiansheng
涪陵区	Fulingqu
抚州市	Fuzhoushi
甘肃省	Gansusheng
港口区	Gangkouqu
高县	Gaoxian
珙县	Gongxian
巩义市	Gongyishi
冠县	Guanxian
广东省	Guangdongsheng
广西壮族自治区	Guangxizhuangzuzizhiqu
广州市	Guangzhoushi
桂林市	Guilinshi
贵阳市	Guiyangshi
贵州省	Guizhousheng
海港区	Haigangqu
海口市	Haikoushi
海林市	Hailinshi
海南省	Hainansheng
海盐县	Haiyanxian
海珠区	Haizhuqu
杭州市	Hangzhoushi
河北区	Hebeiqu
河北省	Hebeisheng
合川区	Hechuanqu
河东区	Hedongqu
河南省	Henansheng
和平区	Hepingqu
和县	Hexian
黑龙江省	Heilongjiangsheng
衡东县	Hengdongxian
衡南县	Hengnanxian
衡山县	Hengshanxian
衡阳市	Hengyangshi
衡阳县	Hengyangxian
红桥区	Hongqiaoqu
洪山区	Hongshanqu
湖北省	Hubeisheng
湖南省	Hunansheng
