安眠穴	anmianxue
八风	bafeng
八风穴	bafengxue
八会穴	bahuixue
八邪	baxie
八邪穴	baxiexue
百虫窝	baichongwo
百虫窝穴	baichongwoxue
白环俞	baihuanyu|baihuanshu
白环俞穴	baihuanyuxue|baihuanshuxue
百会	baihui
百会穴	baihuixue
胞肓	baohuang
胞肓穴	baohuangxue
背俞穴	beishuxue
贲门	benmen
本神	benshen
本神穴	benshenxue
髀关	biguan
髀关穴	biguanxue
臂臑	binao
臂臑穴	binaoxue
便秘点	bianmidian
扁桃	biantao
扁桃体	biantaoti
秉风	bingfeng
秉风穴	bingfengxue
补法	bufa
步廊	bulang
步廊穴	bulangxue
不容	burong
不容穴	burongxue
补泻	buxie
长强	changqiang
长强穴	changqiangxue
承扶	chengfu
承扶穴	chengfuxue
承光	chengguang
承光穴	chengguangxue
承浆	chengjiang
承浆穴	chengjiangxue
承筋	chengjin
承筋穴	chengjinxue
承灵	chengling
承灵穴	chenglingxue
承满	chengman
承满穴	chengmanxue
承泣	chengqi
承泣穴	chengqixue
承山	chengshan
承山穴	chengshanxue
瘛脉	chimai
瘛脉穴	chimaixue
尺泽	chize
尺泽穴	chizexue
冲门	chongmen
冲门穴	chongmenxue
冲阳	chongyang
冲阳穴	chongyangxue
垂前	chuiqian
次髎	ciliao
次髎穴	ciliaoxue
攒竹	cuanzhu
攒竹穴	cuanzhuxue
大包	dabao
大包穴	dabaoxue
大肠	dachang
大肠经	dachangjing
大肠俞穴	dachangshuxue
大肠俞	dachangyu|dachangshu
大都	dadou|dadu
大都穴	dadouxue
大敦	dadun
大敦穴	dadunxue
大骨空	dagukong
大骨空穴	dagukongxue
大赫	dahe
大赫穴	dahexue
大横	daheng
大横穴	dahengxue
大巨	daju
大巨穴	dajuxue
大陵	daling
大陵穴	dalingxue
大迎	daying
大迎穴	dayingxue
大钟	dazhong
大钟穴	dazhongxue
大杼	dazhu
大杼穴	dazhuxue
大柱穴	dazhuxue
大椎	dazhui
大椎穴	dazhuixue
带脉	daimai
带脉穴	daimaixue
胆经	danjing
胆囊	dannang
胆囊穴	dannangxue
胆俞穴	danyuxue|danshuxue
胆俞	danyu|danshu
膻中穴	shanzhongxue|danzhongxue
当阳	dangyang
当阳穴	dangyangxue
地仓	dicang
地仓穴	dicangxue
地机	diji
地机穴	dijixue
地五会	diwuhui
地五会穴	diwuhuixue
定喘	dingchuan
定喘穴	dingchuanxue
顶区	dingqu
顶穴	dingxue
犊鼻	dubi
犊鼻穴	dubixue
督脉	dumai
督俞穴	duyuxue|dushuxue
独阴	duyin
独阴穴	duyinxue
督俞	duyu|dushu
兑端	duiduan
兑端穴	duiduanxue
对耳轮	duierlun
对耳屏	duierping
对屏尖	duipingjian
额区	equ
额穴	exue
二白	erbai
二白穴	erbaixue
耳背肺	erbeifei
耳背肝	erbeigan
耳背沟	erbeigou
耳背脾	erbeipi
耳背肾	erbeishen
耳背心	erbeixin
耳和髎	erheliao
耳和髎穴	erheliaoxue
耳甲	erjia
耳甲腔	erjiaqiang
耳甲艇	erjiating
二间	erjian
耳尖	erjian
二间穴	erjianxue
耳尖穴	erjianxue
耳轮	erlun
耳轮脚	erlunjiao
耳轮尾	erlunwei
耳门	ermen
耳门穴	ermenxue
