风水	fengshui
命理	mingli
气运	qiyun
八字	bazi
丙寅	bingyin
甲子	jiazi
日元	riyuan
四柱	sizhu
乙丑	yichou
月令	yueling
周易	zhouyi
太阳	taiyang
太阴	taiyin
少阳	shaoyang
少阴	shaoyin
被克	beike
本气	benqi
比肩	bijian
比劫	bijie
比劫配	bijiepei
丙辰	bingchen
丙火	binghuo
丙申	bingshen
丙午	bingwu
丙戌	bingxu
丙子	bingzi
财官印	caiguanyin
财星	caixing
辰土	chentu
辰戌冲	chenxuchong
丑土	choutu
丑未冲	chouweichong
从强	congqiang
从弱	congruo
大运	dayun
盗泄	daoxie
丁丑	dingchou
丁亥	dinghai
丁火	dinghuo
丁卯	dingmao
丁巳	dingsi
丁未	dingwei
丁酉	dingyou
断象	duanxiang
夫妻星	fuqixing
夫星	fuxing
伏吟	fuyin
庚辰	gengchen
庚金	gengjin
庚申	gengshen
庚午	gengwu
庚戌	gengxu
庚寅	gengyin
庚子	gengzi
拱合	gonghe
宫位	gongwei
官杀	guansha
官星	guanxing
官印	guanyin
癸丑	guichou
癸亥	guihai
癸卯	guimao
癸水	guishui
癸巳	guisi
癸未	guiwei
癸酉	guiyou
亥水	haishui
红鸾	hongluan
护神	hushen
化杀	huasha
婚姻宫	hunyingong
己丑	jichou
己亥	jihai
己卯	jimao
忌神	jishen
己巳	jisi
己土	jitu
己未	jiwei
己酉	jiyou
甲辰	jiachen
甲木	jiamu
甲申	jiashen
甲午	jiawu
甲戌	jiaxu
甲寅	jiayin
劫财	jiecai
克财	kecai
克夫	kefu
克妻	keqi
恋爱宫	lianaigong
六冲	liuchong
流年	liunian
卯木	maomu
男命	nanming
年干	niangan
年支	nianzhi
女命	nvming
配比劫	peibijie
配财	peicai
配官	peiguan
配食	peishi
配印	peiyin
偏财	piancai
偏印	pianyin
七杀	qisha
妻星	qixing
强宫	qianggong
壬辰	renchen
壬申	renshen
壬水	renshui
壬午	renwu
壬戌	renxu
壬寅	renyin
壬子	renzi
日支	rizhi
日支坐	rizhizuo
弱宫	ruogong
三道	sandao
三合	sanhe
三刑	sanxing
伤官	shangguan
申金	shenjin
身强	shenqiang
身弱	shenruo
生扶	shengfu
生克	shengke
时干	shigan
食伤	shishang
食神	shishen
时支	shizhi
