阿维菌素	aweijunsu
阿月浑子	ayuehunzi
矮化栽培	aihuazaipei
矮化砧	aihuazhen
矮脚蕉	aijiaojiao
艾氏剂	aishiji
矮雪轮	aixuelun
暗管	anguan
氨化	anhua
按件记工	anjianjigong
桉树	anshu
氨水	anshui
铵态氮	antaidan
铵态氮肥	antaidanfei
桉叶素	anyesu
螯合剂	aoheji
澳洲坚果	aozhoujianguo
巴旦杏	badanxing
耙地	badi
拔节期	bajieqi
耙田	batian
八位位组	baweiweizu
八位字节	baweizijie
巴西木	baximu
八仙花	baxianhua
白斑病	baibanbing
白扁豆	baibiandou
白菜	baicai
白菜类蔬菜	baicaileishucai
白菜型油菜	baicaixingyoucai
白草	baicao
白喉	baihou
白蝴蝶	baihudie
白化	baihua
白花曼陀罗	baihuamantuoluo
白僵菌	baijiangjun
百菌清	baijunqing
白兰花	bailanhua
白梨	baili
百里香	bailixiang
白米分级	baimifenji
百日草	bairicao
百日菊	bairiju
柏树	baishu
白头翁	baitouweng
白蚁	baiyi
斑点	bandian
半冬性	bandongxing
拌和	banhuo
半寄生物	banjishengwu
半耐寒蔬菜	bannaihanshucai
半数致死量	banshuzhisiliang
半夏	banxia
斑疹伤寒	banzhenshanghan
半知菌	banzhijun
半支莲	banzhilian
拌种机	banzhongji
报春花	baochunhua
包谷秆	baogugan
雹害	baohai
饱和湿度	baoheshidu
保护地	baohudi
保护剂	baohuji
爆粒玉米	baoliyumi
包膜肥料	baomofeiliao
苞片	baopian
曝气池	baoqichi
苞叶	baoye
包衣	baoyi
胞质杂种	baozhizazhong
包装胶带	baozhuangjiaodai
抱子甘蓝	baoziganlan
孢子体	baoziti
被害率	beihailv
倍硫磷	beiliulin
苯达松	bendasong
本国货币	benguohuobi
苯菌灵	benjunling
苯醚甲环唑	benmijiahuanzuo
本生灯	benshengdeng
苯线磷	benxianlin
苯扎溴胺	benzhaxiuan
避病性	bibingxing
吡虫啉	bichonglin
蓖麻	bima
碧桃	bitao
必需元素	bixuyuansu
避役	biyi
边沟	biangou
边际效应	bianjixiaoying
编码员	bianmayuan
扁桃	biantao
变性	bianxing
变异系数	bianyixishu
变异性	bianyixing
标记技术	biaojijishu
表土	biaotu
标准差	biaozhuncha
标准化生产	biaozhunhuashengchan
标准误差	biaozhunwucha
丙草胺	bingcaoan
病虫害监测	bingchonghaijiance
病毒病	bingdubing
饼肥	bingfei
病害	binghai
病害循环	binghaixunhuan
菠菜	bocai
波段	boduan
波尔多液	boerduoye
薄荷	bohe
播量	boliang
菠萝	boluo
菠萝蜜	boluomi
薄壳	boqiao
波斯菊	bosiju
播种机	bozhongji
波状热	bozhuangre
捕虫	buchong
捕虫网	buchongwang
布告牌	bugaopai
步甲	bujia
捕食性天敌	bushixingtiandi
补贴资金	butiezijin
不稳定结构	buwendingjiegou
不育性	buyuxing
补助金	buzhujin
擦米	cami
擦鞋童	caxietong
菜瓜	caigua
菜螟	caiming
彩色合成仪	caisehechengyi
菜薹	caitai
菜园	caiyuan
采摘期	caizhaiqi
菜籽油	caiziyou
蚕蛾	cane
残留	canliu
残留量	canliuliang
参数	canshu
苍耳	canger
草地螟	caodiming
草甸	caodian
草甘膦	caoganlin
草甘磷	caoganlin
草蛉	caoling
草灵	caoling
草莓	caomei
糙米	caomi
草棉	caomian
草木灰	caomuhui
草木樨	caomuxi
草坪栽植	caopingzaizhi
草田轮作	caotianlunzuo
草乌	caowu
操纵子	caozongzi
侧柏	cebai
测交	cejiao
测距器	cejuqi
测验	ceyan
茶短须螨	chaduanxuman
茶二叉蚜	chaerchaya
茶角蜡蚧	chajiaolajie
插接	chajie
插苗	chamiao
查票员	chapiaoyuan
茶梢蛀蛾	chashaozhue
差异显著平准	chayixianzhupingzhun
茶园	chayuan
茶皂素	chazaosu
产量模式	chanliangmoshi
长柄锤	changbingchui
长春花	changchunhua
常春藤	changchunteng
长江中下游	changjiangzhongxiayou
常年包工	changnianbaogong
长日照	changrizhao
长日照型	changrizhaoxing
长山核桃	changshanhetao
长椭圆形	changtuoyuanxing
长效	changxiao
偿债基金	changzhaijijin
超低量喷雾机	chaodiliangpenwuji
超低温	chaodiwen
超低温保存	chaodiwenbaocun
超滤	chaolv
超亲遗传	chaoqinyichuan
超亲优势	chaoqinyoushi
炒青	chaoqing
潮土	chaotu
朝鲜蓟	chaoxianji
