阿贝聚光镜	abeijuguangjing
阿达尔铝合金	adaerlvhejin
阿尔法仪	aerfayi
阿尔米特焊料	aermitehanliao
阿克尔电解槽	akeerdianjiecao
阿克蜡	akela
阿科微型刀片	akeweixingdaopian
阿拉伯树胶	alaboshujiao
阿卢奈兹焊药	alunaizihanyao
阿米多	amiduo
阿米奈特	aminaite
阿姆柯纯铁	amukechuntie
阿姆柯渗铝钢	amukeshenlvgang
阿姆柯铁	amuketie
阿姆斯青铜	amusiqingtong
阿姆斯特朗法	amusitelangfa
阿塞尔轧管机	asaierzhaguanji
阿塞尔辗轧机	asaierzhanzhaji
阿塞姆电阻炉	asaimudianzulu
阿氏土粒分组	ashitulifenzu
阿氏限度	ashixiandu
阿斯曼湿度计	asimanshiduji
阿维斯塔碳钢	aweisitatangang
锕系后元素	axihouyuansu
锕系金属	axijinshu
锕铀	ayou
艾伯蒂炉	aibodilu
艾伯特钢丝绳	aibotegangsisheng
艾德万斯康铜	aidewansikangtong
爱迪生蓄电池	aidishengxudianchi
爱尔郎公式	aierlanggongshi
矮高炉	aigaolu
埃格特比色管	aigetebiseguan
艾吉法	aijifa
埃克曼渗硅法	aikemanshenguifa
爱克米螺纹规	aikemiluowengui
埃克诺莫	aikenuomo
艾克斯假金叶	aikesijiajinye
艾里环	ailihuan
艾里克森试验	ailikesenshiyan
埃里克森值	ailikesenzhi
埃林厄姆	ailinemu
艾龙铝基合金	ailonglvjihejin
埃鲁法	ailufa
矮炉身	ailushen
矮炉身电炉	ailushendianlu
艾伦高铅青铜	ailungaoqianqingtong
埃洛纳反应	ailuonafanying
艾罗纳铸铁	ailuonazhutie
埃梅尔铸铁	aimeierzhutie
爱姆	aimu
爱姆油	aimuyou
爱皮松油	aipisongyou
爱泼斯坦方圈	aipositanfangquan
艾奇逊电阻炉	aiqixundianzulu
艾奇逊炉	aiqixunlu
艾氏冲击	aishichongji
艾氏冲击试验	aishichongjishiyan
艾氏冲击试样	aishichongjishiyang
艾氏冲击值	aishichongjizhi
艾氏切口	aishiqiekou
碍视曲线	aishiquxian
矮竖炉	aishulu
矮竖炉熔炼	aishuluronglian
埃索脆性温度	aisuocuixingwendu
埃瓦尔德球	aiwaerdeqiu
埃瓦黄铜管	aiwahuangtongguan
埃文斯图	aiwensitu
埃延豪森效应	aiyanhaosenxiaoying
矮烟罩电炉	aiyanzhaodianlu
爱因斯坦方程	aiyinsitanfangcheng
爱因斯坦分布	aiyinsitanfenbu
按百分数抽查	anbaifenshuchoucha
鞍背形大梁	anbeixingdaliang
岸崩	anbeng
岸壁	anbi
按比例复制	anbilifuzhi
按比例扩大	anbilikuoda
黯表面	anbiaomian
暗槽	ancao
暗草黄色	ancaohuangse
暗场检验	anchangjianyan
暗场聚光镜	anchangjuguangjing
暗场照明	anchangzhaoming
暗橙黄热	anchenghuangre
暗橙色	anchengse
按尺寸加工	anchicunjiagong
按尺寸修剪	anchicunxiujian
氨处理	anchuli
胺萃取	ancuiqu
胺萃取机理	ancuiqujili
安德雷德蠕变	andeleiderubian
安德森沉降管	andesenchenjiangguan
按电钮点焊	andianniudianhan
暗电阻	andianzu
按定尺剪切	andingchijianqie
暗丁砖	andingzhuan
氨分解器	anfenjieqi
氨分解气体	anfenjieqiti
暗缝	anfeng
安伏欧计	anfuouji
暗辐射	anfushe
氨腐蚀	anfushi
氨工段	angongduan
暗沟排水	angoupaishui
暗光阑显微镜	anguanglanxianweijing
暗褐煤	anhemei
氨合物	anhewu
暗红热	anhongre
胺化	anhua
氨化钴溶液	anhuagurongye
铵化合物	anhuahewu
氨化聚丙烯酸	anhuajubingxisuan
氨化铝	anhualv
氨化溶液	anhuarongye
暗黄色	anhuangse
按或检索	anhuojiansuo
铵基	anji
氨基碘酸盐	anjidiansuanyan
氨基硅烷	anjiguiwan
氨基磺酸盐	anjihuangsuanyan
氨基碱金属	anjijianjinshu
氨基金属	anjijinshu
胺基硫酸氢盐	anjiliusuanqingyan
胺基硫酸盐	anjiliusuanyan
氨基气氛	anjiqifen
氨基氰	anjiqing
氨基塑料	anjisuliao
氨基锌	anjixin
胺基乙醇	anjiyichun
氨基乙醇	anjiyichun
按角度研磨	anjiaoduyanmo
氨解	anjie
氨介质	anjiezhi
氨浸	anjin
氨浸残渣	anjincanzha
胺浸出	anjinchu
氨浸出	anjinchu
氨浸出化	anjinchuhua
氨浸出液	anjinchuye
胺浸法	anjinfa
氨浸法	anjinfa
氨浸供液槽	anjingongyecao
氨浸回路	anjinhuilu
氨浸氢还原法	anjinqinghuanyuanfa
氨浸溶液	anjinrongye
暗浸蚀	anjinshi
氨浸系统	anjinxitong
安卡不锈钢	ankabuxiugang
