阿纳克	anake
安哥拉兔	angelatu
藏鸡	cangji
垂耳兔	chuiertu
纯血马	chunxuema
短角牛	duanjiaoniu
海来	hailai
河曲马	hequma
蒙古马	mengguma
浦东鸡	pudongji
肉鸡	rouji
香猪	xiangzhu
延边牛	yanbianniu
阿富汗猎犬	afuhanliequan
阿拉斯加雪橇犬	alasijiaxueqiaoquan
阿洛西林钠	aluoxilinna
阿莫西林钠	amoxilinna
矮地茶	aidicha
艾克赛德	aikesaide
艾姆氏实验	aimushishiyan
爱斯基摩犬	aisijimoquan
艾叶油	aiyeyou
鞍带石斑鱼	andaishibanyu
安基比林	anjibilin
鮟鱇	ankang
鮟鱇鱼	ankangyu
暗绿绣眼鸟	anlvxiuyanniao
暗色狗鱼	ansegouyu
安汶	anwen
螯虾	aoxia
巴吉度猎犬	bajiduliequan
八角枫	bajiaofeng
八角鱼	bajiaoyu
巴劳鱵	balaozhen
八厘麻	balima
巴斯德消毒	basidexiaodu
白扒鲍鱼	baibabaoyu
白扒鱼翅	baibayuchi
白斑狗鱼	baibangouyu
白斑角鲨	baibanjiaosha
百步蛇	baibushe
白蝶贝	baidiebei
白腹锦鸡	baifujinji
白姑鱼	baiguyu
百花锦蛇	baihuajinshe
白僵蚕	baijiangcan
白屈菜	baiqucai
百蕊草	bairuicao
白条双锯鱼	baitiaoshuangjuyu
白头翁	baitouweng
白鲟	baixun
白眼欧鳊	baiyanoubian
白云花根	baiyunhuagen
半翅目	banchimu
斑点月鱼	bandianyueyu
半裸狼绵鳚	banluolangmianwei
斑蝥	banmao
板鳃类	bansailei
板鳃亚纲	bansaiyagang
斑鳐	banyao
保幼激素	baoyoujisu
北大西洋长尾鳕	beidaxiyangchangweixue
被动扩散	beidongkuosan
北海平鲉	beihaipingyou
北极红点鲑	beijihongdiangui
北极狼	beijilang
贝加尔白鲑	beijiaerbaigui
贝加尔雅罗鱼	beijiaeryaluoyu
北京犬	beijingquan
北梭鱼	beisuoyu
荜澄茄	bichengqie|bichengjia
比格猎犬	bigeliequan
比格犬	bigequan
闭管式循环	biguanshixunhuan
闭壳肌	bikeji
比目鱼	bimuyu
鞭虫	bianchong
鞭毛	bianmao
鳊鱼	bianyu
波兰低地牧羊犬	bolandidimuyangquan
玻璃鱼	boliyu
波美拉尼亚犬	bomeilaniyaquan
勃氏西鲱	boshixifei
波纹唇鱼	bowenchunyu
布偶猫	buoumao
彩虹吸蜜鹦鹉	caihongximiyingwu
彩虹鹦鹉	caihongyingwu
仓鸮	cangxiao
草红藤	caohongteng
草蛉	caoling
草血竭	caoxuejie
侧鳃	cesai
侧生动物	ceshengdongwu
叉牙楔齿七鳃鳗	chayaxiechiqisaiman
豺狗	chaigou
燀苦杏仁	chankuxingren
蝉蜕	chantui
蝉衣	chanyi
蟾鱼	chanyu
长耳太阳鱼	changertaiyangyu
长牡蛎	changmuli
长丝异鳃鲶	changsiyisainian
长体西鲱	changtixifei
长吻梅花鲈	changwenmeihualu
炒白扁豆	chaobaibiandou
炒苍耳子	chaocangerzi
炒茺蔚子	chaochongweizi
炒楮实子	chaochushizi
炒川楝子	chaochuanlianzi
炒稻芽	chaodaoya
炒蜂房	chaofengfang
炒瓜蒌子	chaogualouzi
炒火麻仁	chaohuomaren
炒蒺藜	chaojili
炒鸡内金	chaojineijin
炒芥子	chaojiezi
炒莱菔	chaolaifu
炒蔓荆子	chaomanjingzi
炒没药	chaomeiyao
炒南鹤虱	chaonanheshi
炒内金	chaoneijin
炒牛蒡子	chaoniubangzi
炒牵牛子	chaoqianniuzi
炒青葙子	chaoqingxiangzi
炒乳香	chaoruxiang
炒山桅	chaoshanwei
炒酸枣仁	chaosuanzaoren
朝天罐	chaotianguan
炒葶苈子	chaotinglizi
炒王不留行	chaowangbuliuxing
炒桅子	chaoweizi
炒紫苏子	chaozisuzi
陈佛手	chenfoshou
陈香薷	chenxiangru
称钩风	chenggoufeng
诚信公正	chengxingongzheng
赤膀鸭	chibangya
赤点石斑鱼	chidianshibanyu
赤魟	chihong
赤狐	chihu
赤狼	chilang
赤链蛇	chilianshe
赤梢鱼	chishaoyu
齿舌	chishe
臭灵丹草	choulingdancao
触角窝	chujiaowo
楮实子	chushizi
出芽生殖	chuyashengzhi
川独活	chuanduhuo
川木香	chuanmuxiang
穿破石茄根	chuanposhiqiegen
穿山甲	chuanshanjia
川射干	chuanshegan
川雄	chuanxiong
春晴	chunqing
雌核发育	cihefayu
次生腭	cishenge
刺丝囊	cisinang
刺突	citu
醋艾炭	cuaitan
醋艾叶	cuaiye
醋鳖甲	cubiejia
醋甘遂	cugansui
醋龟甲	cuguijia
醋三棱	cusanleng
醋商陆	cushanglu
醋五味子	cuwuweizi
醋延胡索	cuyanhusuo
醋芫花	cuyuanhua
粗壮红点鲑	cuzhuanghongdiangui
大白熊犬	dabaixiongquan
大丹犬	dadanquan
大豆黄卷	dadouhuangjuan
大肺筋草	dafeijincao
大飞扬草	dafeiyangcao
大海鲢	dahailian
大海马	dahaima
大黄鱼	dahuangyu
大连湾牡蛎	dalianwanmuli
大菱鲆	dalingping
大马哈鱼	damahayu
