更上一层楼	gengshangyicenglou
民以食为天	minyishiweitian
任重而道远	renzhongerdaoyuan
一言以蔽之	yiyanyibizhi
润物细无声	runwuxiwusheng
十年磨一剑	shinianmoyijian
物以稀为贵	wuyixiweigui
咬定青山不放松	yaodingqingshanbufangsong
一年之计在于春	yinianzhijizaiyuchun
弹指一挥间	tanzhiyihuijian
老吾老以及人之老	laowulaoyijirenzhilao
庐山真面目	lushanzhenmianmu
犹抱琵琶半遮面	youbaopipabanzhemian
每逢佳节倍思亲	meifengjiajiebeisiqin
近水楼台先得月	jinshuiloutaixiandeyue
醉翁之意不在酒	zuiwengzhiyibuzaijiu
先天下之忧而忧	xiantianxiazhiyoueryou
难于上青天	nanyushangqingtian
雄关漫道真如铁	xiongguanmandaozhenrutie
后天下之乐而乐	houtianxiazhileerle
有朋自远方来	youpengziyuanfanglai
飞入寻常百姓家	feiruxunchangbaixingjia
术业有专攻	shuyeyouzhuangong
孔雀东南飞	kongquedongnanfei
勿以善小而不为	wuyishanxiaoerbuwei
学而优则仕	xueeryouzeshi
清明时节雨纷纷	qingmingshijieyufenfen
欲速则不达	yusuzebuda
老死不相往来	laosibuxiangwanglai
而今迈步从头越	erjinmaibucongtouyue
养在深闺人未识	yangzaishenguirenweishi
人间正道是沧桑	renjianzhengdaoshicangsang
风景这边独好	fengjingzhebianduhao
幼吾幼以及人之幼	youwuyouyijirenzhiyou
语不惊人死不休	yubujingrensibuxiu
高处不胜寒	gaochubushenghan
春江水暖鸭先知	chunjiangshuinuanyaxianzhi
勿以恶小而为之	wuyiexiaoerweizhi
不拘一格降人才	bujuyigejiangrencai
解铃还须系铃人	jielinghaixuxilingren
春风吹又生	chunfengchuiyousheng
君子之交淡如水	junzizhijiaodanrushui
长江后浪推前浪	changjianghoulangtuiqianlang
行百里者半九十	xingbailizhebanjiushi
铁肩担道义	tiejiandandaoyi
路漫漫其修远兮	lumanmanqixiuyuanxi
长风破浪会有时	changfengpolanghuiyoushi
本是同根生	benshitonggensheng
小桥流水人家	xiaoqiaoliushuirenjia
一览众山小	yilanzhongshanxiao
为有源头活水来	weiyouyuantouhuoshuilai
出淤泥而不染	chuyunierburan
柳暗花明又一村	liuanhuamingyouyicun
忽如一夜春风来	huruyiyechunfenglai
天堑变通途	tianqianbiantongtu
粒粒皆辛苦	lilijiexinku
相煎何太急	xiangjianhetaiji
必先利其器	bixianliqiqi
天涯共此时	tianyagongcishi
风物长宜放眼量	fengwuchangyifangyanliang
工欲善其事	gongyushanqishi
山雨欲来风满楼	shanyuyulaifengmanlou
乱花渐欲迷人眼	luanhuajianyumirenyan
学而不思则罔	xueerbusizewang
直挂云帆济沧海	zhiguayunfanjicanghai
敢教日月换新天	ganjiaoriyuehuanxintian
天涯若比邻	tianyaruobilin
几家欢乐几家愁	jijiahuanlejijiachou
不患寡而患不均	buhuanguaerhuanbujun
思而不学则殆	sierbuxuezedai
