阿尔都塞	aerdusai
阿加德米	ajiademi
阿赖耶识	alaiyeshi
阿里斯托勒斯	alisituolesi
阿摩尼阿斯	amoniasi
阿摩尼阿斯萨卡斯	amoniasisakasi
阿那克萨戈拉	anakesagela
阿那克西曼德	anakeximande
阿纳克西曼德	anakeximande
阿那克西美尼	anakeximeini
阿纳克西美尼	anakeximeini
阿那克西米尼	anakeximini
阿菩黎阿黎	apuliali
阿屯	atun
爱比克泰德	aibiketaide
爱非斯	aifeisi
艾菲索斯	aifeisuosi
爱力	aili
爱利亚派	ailiyapai
爱利亚学派	ailiyaxuepai
艾思奇	aisiqi
爱无寻差	aiwuxuncha
爱智	aizhi
安般守意	anbanshouyi
暗极则光	anjizeguang
安年柯夫	anniankefu
安贫乐道	anpinledao
安时处顺	anshichushun
安世高	anshigao
安提斯泰尼	antisitaini
安性乐命	anxingleming
案兆察迹	anzhaochaji
奥伏赫变	aofuhebian
奥古斯丁	aogusiding
奥勒留	aoleliu
八不中道	babuzhongdao
罢黜百家	bachubaijia
巴枯宁	bakuning
巴曼尼得斯篇	bamannidesipian
巴门尼德	bamennide
巴门尼德毕达哥拉斯	bamennidebidagelasi
八识	bashi
八正	bazheng
八正道	bazhengdao
百代同道	baidaitongdao
白狗黑	baigouhei
捭阖术	baiheshu
白马非马	baimafeima
百姓日用之学	baixingriyongzhixue
百战不殆	baizhanbudai
班固	bangu
般舟三昧	banzhousanmei
抱法处势	baofachushi
葆光	baoguang
保教非尊孔	baojiaofeizunkong
鲍敬言	baojingyan
抱朴子	baopuzi
包世臣	baoshichen
鲍威尔	baoweier
葆真	baozhen
被继承	beijicheng
贝莱	beilai
被誉为	beiyuwei
本根	bengen
本寂	benji
本觉	benjue
本末	benmo
本然	benran
本始	benshi
本体	benti
本无	benwu
本心	benxin
本原	benyuan
本质换出一般	benzhihuanchuyiban
彼岸世界	bianshijie
毕达哥拉斯学派	bidagelasixuepai
比德	bide
辟谷	bigu
壁观	biguan
必开心意	bikaixinyi
比量	biliang
必然王国	biranwangguo
必然性	biranxing
彼是相因	bishixiangyin
比相生	bixiangsheng
彼亦一是非	biyiyishifei
蔽于一曲闇于大理	biyuyiquanyudali
毕沅	biyuan
裨灶	bizao
辨对待	bianduidai
变非不变	bianfeibubian
变故易常	bianguyichang
变古愈尽	bianguyujin
辨合	bianhe
变化气质	bianhuaqizhi
遍计所执性	bianjisuozhixing
便民愈甚	bianminyushen
变器卫道	bianqiweidao
辩说	bianshuo
辩无胜	bianwusheng
辩者二十一事	bianzheershiyishi
辩证否定观	bianzhengfoudingguan
辩证唯物主义	bianzhengweiwuzhuyi
表诠	biaoquan
表现出	biaoxianchu
别材	biecai
别名	bieming
别趣	biequ
别同异	bietongyi
别宥	bieyou
并称为	bingchengwei
冰炭不同器而久	bingtanbutongqierjiu
博爱	boai
博爱哲学	boaizhexue
拨本塞源	bobensaiyuan
伯恩施坦	boenshitan
波菲利	bofeili
帛和	bohe
柏拉图主义	bolatuzhuyi
波罗蜜	boluomi
剥落物欲	boluowuyu
般若	bore
般若无知	borewuzhi
博通能用	botongnengyong
博文约礼	bowenyueli
波昔东尼	boxidongni
博学笃志	boxueduzhi
伯阳父	boyangfu
伯阳甫	boyangfu
博约	boyue
不必担心	bubidanxin
不诚无物	buchengwuwu
布袋和尚	budaiheshang
不得经同	budejingtong
不动心	budongxin
不二	buer
不二法门	buerfamen
布哈林	buhalin
不可使知之	bukeshizhizhi
不可知论	bukezhilun
不可知之事	bukezhizhishi
不空	bukong
布洛赫	buluohe
不平则鸣	bupingzeming
不谴是非以与世俗处	buqianshifeiyiyushisuchu
不忍人之心	burenrenzhixin
卜商	bushang
卜筮	bushi
不是而然	bushierran
不似之似	busizhisi
不徒耳目	butuermu
不为而成	buweiercheng
不行而知	buxingerzhi
不学未必为长夜	buxueweibiweizhangye
不依赖于	buyilaiyu
不以人助天	buyirenzhutian
不豫则废	buyuzefei
不再存在	buzaicunzai
不真空	buzhenkong
不知廉耻	buzhilianchi
不知所以因而自因	buzhisuoyiyinerziyin
不知亦能行	buzhiyinengxing
不知之知	buzhizhizhi
不知之知与不识之知	buzhizhizhiyubushizhizhi
蔡墨	caimo
才情	caiqing
蔡尚思	caishangsi
蔡沈	caishen
才性	caixing
才性合	caixinghe
才性离	caixingli
才性四本	caixingsiben
才性四本论	caixingsibenlun
才性同	caixingtong
才性异	caixingyi
才性异同	caixingyitong
才性之辨	caixingzhibian
才性之学	caixingzhixue
蔡邕	caiyong
蔡元定	caiyuanding
蔡元培	caiyuanpei
参两	canliang
参天两地	cantianliangdi
参伍之道	canwuzhidao
参验	canyan
仓廪实而知礼节	canglinshierzhilijie
曹褒	caobao
曹端	caoduan
操术	caoshu
曹思文	caosiwen
曹植	caozhi|caoa
侧隐之心	ceyinzhixin
曾琦	cengqi
察类	chalei
刹那	chana
察身以知天	chashenyizhitian
察识端倪	chashiduanni
禅定	chanding
禅机	chanji
产生矛盾	chanshengmaodun
阐提	chanti
缠子	chanzi
禅宗美学	chanzongmeixue
昌必有衰	changbiyoushuai
常变	changbian
长春真人	changchunzhenren
常道	changdao
常德	changde
长沮	changju
常名	changming
常权	changquan
常统常变	changtongchangbian
常无有	changwuyou
朝彻	chaoche
晁错	chaocuo
陈白沙	chenbaisha
陈炽	chenchi
陈淳	chenchun
陈独秀	chenduxiu
陈傅良	chenfuliang
陈鼓应	chenguying
陈焕章	chenhuanzhang
陈榥	chenhuang
陈家康	chenjiakang
陈建	chenjian
尘芥六合	chenjieluhe
陈景元	chenjingyuan
陈九川	chenjiuchuan
陈澧	chenli
陈立	chenli
陈立夫	chenlifu
陈亮	chenliang
陈龙川	chenlongchuan
陈骈	chenpian
陈启天	chenqitian
陈虬	chenqiu
陈铨	chenquan
陈确	chenque
陈荣捷	chenrongjie
沉思冥想	chensimingxiang
陈天华	chentianhua
陈同甫	chentongfu
陈抟	chentuan
谶纬	chenwei
陈唯实	chenweishi
陈献章	chenxianzhang
陈祥道	chenxiangdao
陈樱宁	chenyingning
陈元晖	chenyuanhui
陈仲	chenzhong
陈朱之辩	chenzhuzhibian
程端礼	chengduanli
程端蒙	chengduanmeng
惩忿窒欲	chengfenzhiyu
承负	chengfu
成公绥	chenggongsui
澄观	chengguan
程颢	chenghao
澄怀味象	chenghuaiweixiang
成极	chengji
成己成物	chengjichengwu
程门立雪	chengmenlixue
诚明	chengming
程明道	chengmingdao
成天地者气也	chengtiandizheqiye
程廷祚	chengtingzuo
乘物游心	chengwuyouxin
成心	chengxin
成玄英	chengxuanying
程瑶田	chengyaotian
诚意	chengyi
程颐	chengyi
程伊川	chengyichuan
成于乐	chengyule
成中英	chengzhongying
尺棰不尽	chichuibujin
持戒	chijie
崇本息末	chongbenximo
崇本抑末	chongbenyimo
冲决网罗	chongjuewangluo
充满瑕疵	chongmanxiaci
冲气	chongqi
崇尚知识	chongshangzhishi
蹱事增华	chongshizenghua
充实之美	chongshizhimei
崇有	chongyou
处静	chujing
楚狂接舆	chukuangjieyu
触类是道	chuleishidao
出世间	chushijian
储泳	chuyong
传神	chuanshen
传神记	chuanshenji
创造的科学	chuangzaodekexue
纯客观法	chunkeguanfa
纯思维	chunsiwei
慈悲	cibei
雌节	cijie
辞让之心	cirangzhixin
雌雄刚柔之辨	cixionggangrouzhibian
此亦一是非	ciyiyishifei
猝然念得	curanniande
崔浩	cuihao
崔憬	cuijing
粹灵之气	cuilingzhiqi
崔适	cuishi
崔寔	cuishi
