奥陶纪	aotaoji
奥陶系	aotaoxi
巴东组	badongzu
白垩	baie
白垩纪	baieji
白垩系	baiexi
白云母	baiyunmu
白云石	baiyunshi
白云岩	baiyunyan
白云质灰岩	baiyunzhihuiyan
斑晶	banjing
板块	bankuai
板块边界	bankuaibianjie
板块构造学	bankuaigouzaoxue
板块运动	bankuaiyundong
板内地震	banneidizhen
阪泉	banquan
斑铜矿	bantongkuang
斑岩	banyan
板岩	banyan
斑状结构	banzhuangjiegou
饱和度	baohedu
包气带水	baoqidaishui
宝石学	baoshixue
宝塔组	baotazu
雹灾	baozai
钡长石	beichangshi
北回归线	beihuiguixian
背斜	beixie
本初子午线	benchuziwuxian
崩坡积	bengpoji
毕钵罗窟	biboluoku
边国	bianguo
变质岩	bianzhiyan
变质作用	bianzhizuoyong
辫状河	bianzhuanghe
标贯	biaoguan
标准贯入	biaozhunguanru
冰川	bingchuan
冰川学	bingchuanxue
冰川作用	bingchuanzuoyong
冰砾泥	binglini
冰碛	bingqi
冰山	bingshan
波浪侵蚀	bolangqinshi
薄煤层	bomeiceng|baomeiceng
剥蚀	boshi
补给区	bugeiqu
捕虏体	buluti
不透水岩	butoushuiyan
不整合	buzhenghe
采取率	caiqulv
残积层	canjiceng
残积土	canjitu
残积物	canjiwu
残坡积	canpoji
残余应变	canyuyingbian
草甸	caodian
草绘等高线	caohuidenggaoxian
漕矩咤国	caojuzhaguo
测井	cejing
层底高程	cengdigaocheng
层间水	cengjianshui
层理	cengli
层位	cengwei
层序	cengxu
差异应力	chayiyingli
产状	chanzhuang
常年洪水位	changnianhongshuiwei
长兴组	changxingzu
长周期地震仪	changzhouqidizhenyi
超覆	chaofu
潮滩	chaotan
沉积盖层	chenjigaiceng
沉积建造	chenjijianzao
沉积水	chenjishui
沉积物	chenjiwu
沉积相	chenjixiang
沉积岩	chenjiyan
承压地下水	chengyadixiashui
承压含水层	chengyahanshuiceng
承压水	chengyashui
成岩作用	chengyanzuoyong
持水度	chishuidu
赤铁矿	chitiekuang
冲断层	chongduanceng
冲沟	chonggou
冲洪积	chonghongji
冲击变质作用	chongjibianzhizuoyong
冲积层	chongjiceng
冲积扇	chongjishan
冲积物	chongjiwu
冲刷	chongshua
抽水试验	choushuishiyan
储层	chuceng
磁赤铁矿	cichitiekuang
磁化	cihua
磁黄铁矿	cihuangtiekuang
磁经纬仪	cijingweiyi
磁性地层学	cixingdicengxue
粗粒砂岩	culishayan
粗玄岩	cuxuanyan
大地点	dadidian
大地构造学	dadigouzaoxue
大峰山	dafengshan
大理岩	daliyan
大隆组	dalongzu
大陆	dalu
