暗带	andai
巴纳德星	banadexing
北斗七	beidouqi
北斗七星	beidouqixing
北斗五	beidouwu
北斗星	beidouxing
北斗一	beidouyi
北斗一星	beidouyixing
北河	beihe
北河三	beihesan
北极星	beijixing
北落师门	beiluoshimen
奔离点	benlidian
毕宿	bisu
毕宿五	bisuwu
参宿	cansu
参宿七	cansuqi
参宿四	cansusi
超新星	chaoxinxing
大角	dajiao
大陵	daling
大陵五	dalingwu
分星	fenxing
勾陈	gouchen
河鼓	hegu
河鼓二	heguer
恒星	hengxing
红巨星	hongjuxing
激变变星	jibianbianxing
角宿	jiaosu
角宿一	jiaosuyi
聚星	juxing
巨星	juxing
开阳	kaiyang
开阳星	kaiyangxing
老人	laoren
老人星	laorenxing
类星射电源	leixingshedianyuan
马腹	mafu
马腹一	mafuyi
脉冲星	maichongxing
南河	nanhe
南河三	nanhesan
牛郎	niulang
牛郎星	niulangxing
牵牛	qianniu
牵牛星	qianniuxing
球状体	qiuzhuangti
十字架	shizijia
十字架二	shizijiaer
水委一	shuiweiyi
天鼓	tiangu
天狼	tianlang
天狼星	tianlangxing
天权	tianquan
天权星	tianquanxing
天枢	tianshu
天枢星	tianshuxing
天玑	tianji
天玑星	tianjixing
天璇	tianxuan
天璇星	tianxuanxing
沃尔夫拉叶星	woerfulayexing
五车	wuche
五车二	wucheer
新星	xinxing
心宿	xinxiu|xinsu
心宿二	xinsuer
星风	xingfeng
星际尘埃	xingjichenai
星云	xingyun
星族	xingzu
轩辕	xuanyuan
轩辕十四	xuanyuanshisi
耀星	yaoxing
银河系	yinhexi
银盘	yinpan
银心	yinxin
玉衡	yuheng
玉衡星	yuhengxing
织女	zhinv
织女星	zhinvxing
织女一	zhinvyi
中子星	zhongzixing
主星	zhuxing
昴宿四	maosusi
昴宿增十二	maosuzengshier
阿贝比长仪	abeibichangyi
阿波罗型	aboluoxing
艾达	aida
矮星	aixing
暗能	anneng
暗物质	anwuzhi
奥尔特云	aoerteyun
白道	baidao
白洞	baidong
半影	banying
背景辐射	beijingfushe
北天极	beitianji
本初子午线	benchuziwuxian
本影	benying
变象管	bianxiangguan
标度因子	biaoduyinzi
标高	biaogao
不明飞行物	bumingfeixingwu
不透明度	butoumingdu
测光	ceguang
测光系统	ceguangxitong
长蛇	changshe
常数	changshu
赤道仪	chidaoyi
虫洞	chongdong
船帆	chuanfan
大冲	dachong
大红斑	dahongban
大气透明度	daqitoumingdu
大气吸收	daqixishou
导星镜	daoxingjing
等高仪	denggaoyi
等效温度	dengxiaowendu
等值焦距	dengzhijiaoju
第二宇宙速度	dieryuzhousudu
地方时	difangshi
地固坐标系	diguzuobiaoxi
地极	diji
地平圈	dipingquan
地平星	dipingxing
地球定向参数	diqiudingxiangcanshu
地球自转参数	diqiuzizhuancanshu
地球坐标系	diqiuzuobiaoxi
第三宇宙速度	disanyuzhousudu
地心引力常数	dixinyinlichangshu
第一宇宙速度	diyiyuzhousudu
地支	dizhi
电磁波谱	diancibopu
电荷耦合器件	dianheouheqijian
电子照相机	dianzizhaoxiangji
定标	dingbiao
短尺	duanchi
对流层	duiliuceng
多普勒频移	duopulepinyi
二十八宿	ershibaxiu
二十四节气	ershisijieqi
反射镜	fanshejing
反射望远镜	fanshewangyuanjing
方位角	fangweijiao
辐射带	fushedai
辐射点	fushedian
辐射温度	fushewendu
盖天说	gaitianshuo
拱线	gongxian
公转	gongzhuan
