阿拉伯花饰	alabohuashi
阿拉伯式柱头	alaboshizhutou
爱奥尼亚柱式	aiaoniyazhushi
埃特板	aiteban
暗藏灯带	ancangdengdai
暗插销	anchaxiao
暗撑	ancheng
暗灯	andeng
按地电阻值	andidianzuzhi
暗敷	anfu
暗管	anguan
暗涵	anhan
暗合页	anheye
暗间	anjian
安静休息区	anjingxiuxiqu
暗梁	anliang
暗炉片	anlupian
按摩室	anmoshi
安全出口	anquanchukou
安全出口灯	anquanchukoudeng
安全出口灯出线口	anquanchukoudengchuxiankou
安全岛	anquandao
安全阀门调试记录	anquanfamentiaoshijilu
安全防范设施	anquanfangfansheshi
安全管理	anquanguanli
安全接地	anquanjiedi
安全警报系统	anquanjingbaoxitong
安全设施	anquansheshi
安全疏散线路	anquanshusanxianlu
安全梯	anquanti
安全性	anquanxing
安全照明	anquanzhaoming
暗室	anshi
暗视觉	anshijue
暗适应	anshiying
安藤忠雄	antengzhongxiong
暗线	anxian
按效果图	anxiaoguotu
暗轴	anzhou
暗柱	anzhu
暗装	anzhuang
暗装空调器	anzhuangkongtiaoqi
安装容量	anzhuangrongliang
暗装散热器	anzhuangsanreqi
凹入式顶灯	aorushidingdeng
芭蕾舞剧院	baleiwujuyuan
扒梁	baliang
巴洛克建筑	baluokejianzhu
巴洛克式园林	baluokeshiyuanlin
八铺作	bapuzuo
拔气罩	baqizhao
拔磉	basang
扒山廊	bashanlang
八掾袱	bayuanfu
白炽灯	baichideng
白炽灯头	baichidengtou
白炽灯照明	baichidengzhaoming
百分比收费	baifenbishoufei
百货商店	baihuoshangdian
白水泥	baishuini
百页窗	baiyechuang
百叶窗	baiyechuang
百叶式出气口	baiyeshichuqikou
百叶式进气口	baiyeshijinqikou
百叶型风口	baiyexingfengkou
白噪声	baizaosheng
拜占庭建筑	baizhantingjianzhu
板材吊顶	bancaidiaoding
半常绿植物	banchanglvzhiwu
半岛园	bandaoyuan
板底	bandi
板底钢筋	bandigangjin
半地下室	bandixiashi
板吊顶	bandiaoding
板顶	banding
板顶钢筋	bandinggangjin
办公建筑	bangongjianzhu
办公楼	bangonglou
办公区	bangongqu
办公桌	bangongzhuo
板厚	banhou
半间接照明	banjianjiezhaoming
板筋	banjin
板面	banmian
板面筋	banmianjin
半耐寒植物	bannaihanzhiwu
板配筋	banpeijin
板配筋图	banpeijintu
板墙筋	banqiangjin
半穹顶	banqiongding
半球形穹顶	banqiuxingqiongding
伴热管	banreguan
板上铁	banshangtie
板石	banshi
板式换热器	banshihuanreqi
板式楼梯	banshilouti
板式散热器	banshisanreqi
板式住宅	banshizhuzhai
板条	bantiao
板条吊顶	bantiaodiaoding
板条抹灰	bantiaomohui
板条抹灰吊顶	bantiaomohuidiaoding
板瓦	banwa
板岩	banyan
斑叶植物	banyezhiwu
半硬质塑料	banyingzhisuliao
半永久性建筑	banyongjiuxingjianzhu
半圆券	banyuanquan
半圆形壁龛	banyuanxingbikan
半直接照明	banzhijiezhaoming
板柱结构	banzhujiegou
绑筋	bangjin
邦克楼	bangkelou
棒球场	bangqiuchang
棒影图	bangyingtu
绑扎	bangza
保安系统	baoanxitong
薄壁杆系	baobiganxi
薄壁钢管	baobigangguan
薄壁型钢	baobixinggang
抱鼓石	baogushi
饱和空气温度	baohekongqiwendu
饱和水蒸气压力	baoheshuizhengqiyali
饱和土	baohetu
刨痕	baohen
保护层	baohuceng
保护防爆灯具	baohufangbaodengju
保护平板法	baohupingbanfa
保护区	baohuqu
保护热箱法	baohurexiangfa
刨花板	baohuaban
抱角石	baojiaoshi
包金属皮	baojinshupi
报警阀	baojingfa
报警蜂鸣器	baojingfengmingqi
报警设备	baojingshebei
抱框	baokuang
宝丽板	baoliban
保龄球场	baolingqiuchang
保留地	baoliudi|baoliude
保密工程	baomigongcheng
保姆室	baomushi
刨平	baoping
刨平顶紧	baopingdingjin
保税区	baoshuiqu
抱头梁	baotouliang
保温	baowen
保温板	baowenban
保温材料	baowencailiao
保温层	baowenceng
保温门	baowenmen
保险电梯	baoxiandianti
报验申请表	baoyanshenqingbiao
保养间	baoyangjian
包子铺	baozipu
备餐间	beicanjian
备餐室	beicanshi
被动式太阳房	beidongshitaiyangfang
被抚养人口	beifuyangrenkou
杯架	beijia
碑碣	beijie
背景噪声	beijingzaosheng
背景照明	beijingzhaoming
背景种植	beijingzhongzhi
背立面	beilimian
北立面	beilimian
北配楼	beipeilou
备用电源	beiyongdianyuan
备用发电机	beiyongfadianji
备用房间	beiyongfangjian
备用照明	beiyongzhaoming
苯磺酰氯	benhuangxianlv
泵房	bengfang
泵坑	bengkeng
壁板	biban
壁橱	bichu
壁灯	bideng
壁灯架	bidengjia
壁挂	bigua
壁挂式小便器	biguashixiaobianqi
壁柜	bigui
壁柜吊挂装置	biguidiaoguazhuangzhi
闭合电器	bihedianqi
闭架管理	bijiaguanli
壁龛	bikan
避雷	bilei
避雷带	bileidai
避雷器	bileiqi
避雷设计	bileisheji
避雷系统	bileixitong
避雷针	bileizhen
比例尺	bilichi
壁炉	bilu
闭路电视系统	biludianshixitong
闭门器	bimenqi
壁球场	biqiuchang
壁泉	biquan
比热	bire
壁上拱廊	bishanggonglang
比湿	bishi
壁毯	bitan
必要生活空间	biyaoshenghuokongjian
壁柱	bizhu
变标高	bianbiaogao
变电间	biandianjian
变电所	biandiansuo
变风量系统	bianfengliangxitong
扁钢	biangang
变更通告单	biangengtonggaodan
变更通知	biangengtongzhi
变截面	bianjiemian
边界条件	bianjietiaojian
边界种植	bianjiezhongzhi
边框梁	biankuangliang
边框柱	biankuangzhu
边篱	bianli
边梁	bianliang
边幕	bianmu
编目室	bianmushi
变配电室	bianpeidianshi
变配电站	bianpeidianzhan
边挺	bianting
边梃	bianting
变形缝	bianxingfeng
变形集中	bianxingjizhong
变压器容量	bianyaqirongliang
变压器室	bianyaqishi
变压器组	bianyaqizu
边缘构件	bianyuangoujian
边缘吻合	bianyuanwenhe
边缘效应	bianyuanxiaoying
边缘种植	bianyuanzhongzhi
变赭	bianzhe
编制依据	bianzhiyiju
边支座	bianzhizuo
边柱	bianzhu
标高	biaogao
裱糊与软包	biaohuyuruanbao
表面剥落	biaomianboluo
表面结露	biaomianjielu
表面片落	biaomianpianluo
表面起泡	biaomianqipao
表面温度	biaomianwendu
标枪投掷区	biaoqiangtouzhiqu
表现主义	biaoxianzhuyi
表演区	biaoyanqu
表演艺术中心	biaoyanyishuzhongxin
标语牌	biaoyupai
标志照明系统	biaozhizhaomingxitong
标准层	biaozhunceng
标准层平面	biaozhuncengpingmian
标准大样	biaozhundayang
标准冻深	biaozhundongshen
标准分项	biaozhunfenxiang
标准构件	biaozhungoujian
标准光源	biaozhunguangyuan
标准截面	biaozhunjiemian
标准设计	biaozhunsheji
标准时	biaozhunshi
标准图	biaozhuntu
标准一览表	biaozhunyilanbiao
标准有效温度	biaozhunyouxiaowendu
标准噪声源	biaozhunzaoshengyuan
标准值	biaozhunzhi
标准住宅	biaozhunzhuzhai
标准撞击器	biaozhunzhuangjiqi
标准组合	biaozhunzuhe
濒危植物	binweizhiwu
病床电梯	bingchuangdianti
冰球场	bingqiuchang
