安永	anyong
安元	anyuan
安贞	anzhen
安政	anzheng
白雉	baizhi
保安	baoan
宝德	baode
宝龟	baogui
宝历	baoli
保延	baoyan
宝永	baoyong
保元	baoyuan
宝治	baozhi
长保	changbao
长承	changcheng
长德	changde
长和	changhe
长久	changjiu
长宽	changkuan
长历	changli
长禄	changlu
昌泰	changtai
长享	changxiang
长元	changyuan
长治	changzhi
承安	chengan
承保	chengbao
承德	chengde
承和	chenghe
承久	chengjiu
承历	chengli
承平	chengping
承应	chengying
承元	chengyuan
大宝	dabao
大化	dahua
大同	datong
大永	dayong
大正	dazheng
大治	dazhi
德治	dezhi
观应	guanying
和铜	hetong
弘安	hongan
弘长	hongchang
弘和	honghe
弘化	honghua
弘仁	hongren
弘治	hongzhi
嘉保	jiabao
嘉承	jiacheng
嘉吉	jiaji
嘉历	jiali
嘉禄	jialu
嘉庆	jiaqing
嘉祥	jiaxiang
嘉应	jiaying
嘉永	jiayong
嘉元	jiayuan
嘉祯	jiazhen
建保	jianbao
建长	jianchang
建德	jiande
建久	jianjiu
建历	jianli
建仁	jianren
建武	jianwu
建永	jianyong
建治	jianzhi
久安	jiuan
久寿	jiushou
康安	kangan
康保	kangbao
康和	kanghe
康历	kangli
康平	kangping
康应	kangying
康永	kangyong
康元	kangyuan
康正	kangzheng
康治	kangzhi
宽保	kuanbao
宽德	kuande
宽和	kuanhe
宽弘	kuanhong
宽平	kuanping
宽仁	kuanren
宽文	kuanwen
宽喜	kuanxi
宽延	kuanyan
宽永	kuanyong
宽元	kuanyuan
宽政	kuanzheng
宽正	kuanzheng
宽治	kuanzhi
历仁	liren
历应	liying
灵龟	linggui
明德	mingde
明和	minghe
明历	mingli
明应	mingying
明治	mingzhi
平成	pingcheng
平治	pingzhi
齐衡	qiheng
乾元	qianyuan
庆安	qingan
庆长	qingchang
庆应	qingying
庆云	qingyun
仁安	renan
仁和	renhe
仁平	renping
仁寿	renshou
仁治	renzhi
神龟	shengui
神护景云	shenhujingyun
寿永	shouyong
天安	tianan
天保	tianbao
天长	tianchang
天承	tiancheng
天德	tiande
天福	tianfu
天和	tianhe|tianhu
天历	tianli
天禄	tianlu
天明	tianming
天平	tianping
天平宝字	tianpingbaozi
天平感宝	tianpingganbao
天平神护	tianpingshenhu
天平胜宝	tianpingshengbao
天庆	tianqing
天仁	tianren
天授	tianshou
天文	tianwen
天喜	tianxi
天延	tianyan
天养	tianyang
天应	tianying
天永	tianyong
天元	tianyuan
天正	tianzheng
天治	tianzhi
万寿	wanshou
万延	wanyan
万治	wanzhi
文安	wenan
文保	wenbao
文龟	wengui
文和	wenhe
文化	wenhua
文久	wenjiu
文历	wenli
文禄	wenlu
文明	wenming
文应	wenying
文永	wenyong
文政	wenzheng
文正	wenzheng
文治	wenzhi
文中	wenzhong
享保	xiangbao
享德	xiangde
享和	xianghe
享禄	xianglu
兴国	xingguo
延宝	yanbao
延长	yanchang
延德	yande
延久	yanjiu
延历	yanli
延庆	yanqing
延文	yanwen
延喜	yanxi
延享	yanxiang
延应	yanying
延元	yanyuan
养和	yanghe
养老	yanglao
应安	yingan
应保	yingbao
应长	yingchang
应德	yingde
应和	yinghe
应仁	yingren
应永	yingyong
永保	yongbao
永长	yongchang
永承	yongcheng
永德	yongde
永观	yongguan
永和	yonghe
永久	yongjiu
永历	yongli
永禄	yonglu
永仁	yongren
永万	yongwan
永享	yongxiang
永延	yongyan
永正	yongzheng
永治	yongzhi
永祚	yongzuo
元德	yuande
元龟	yuangui
元和	yuanhe
元亨	yuanheng
元弘	yuanhong
元久	yuanjiu
元历	yuanli
元禄	yuanlu
元庆	yuanqing
元仁	yuanren
元文	yuanwen
元应	yuanying
元永	yuanyong
元治	yuanzhi
元中	yuanzhong
昭和	zhaohe
贞观	zhenguan
贞和	zhenhe
贞享	zhenxiang
贞应	zhenying
贞永	zhenyong
贞元	zhenyuan
贞治	zhenzhi
正安	zhengan
正保	zhengbao
正长	zhengchang
正德	zhengde
正和	zhenghe
正嘉	zhengjia
正历	zhengli
正平	zhengping
正庆	zhengqing
正应	zhengying
正元	zhengyuan
正治	zhengzhi
正中	zhengzhong
治安	zhian
治承	zhicheng
至德	zhide
治历	zhili
朱鸟	zhuniao
八岛	badao
大国主神	daguozhushen
大海	dahai
大山津见神	dashanjinjianshen
淡岛	dandao
风神	fengshen
夫妻反目	fuqifanmu
高天原	gaotianyuan
