摆缝	baifeng
背带裤	beidaiku
背心	beixin
背心裙	beixinqun
蝙蝠袖	bianfuxiu
驳口	bokou
插袋	chadai
超短裙	chaoduanqun
衬衫	chenshan
衬衫领	chenshanling
衬衫袖	chenshanxiu
衬衫袖口	chenshanxiukou
成衣	chengyi
串口	chuankou
搭门	damen
大袖	daxiu
大衣	dayi
袋盖	daigai
单排扣	danpaikou
单嵌线袋	danqianxiandai
倒挂领	daogualing
灯笼裤	denglongku
灯笼袖	denglongxiu
底边	dibian
底领	diling
吊袋	diaodai
吊袢	diaopan
定制服装	dingzhifuzhuang
翻领	fanling
方领	fangling
方领口	fanglingkou
风琴袋	fengqindai
服饰	fushi
服装	fuzhuang
服装款式	fuzhuangkuanshi
挂面	guamian
滚条	guntiao
滚眼	gunyan
海军领	haijunling
荷叶边领	heyebianling
后袖缝	houxiufeng
花瓣袖	huabanxiu
化纤服装	huaxianfuzhuang
鸡心领口	jixinlingkou
尖领	jianling
肩缝	jianfeng
肩袢	jianpan
军便服	junbianfu
卡袋	kadai
开袋	kaidai
扣位	kouwei
扣眼	kouyan
喇叭裤	labaku
喇叭袖	labaxiu
里袋	lidai
里襟	lijin
立领	liling
连肩袖	lianjianxiu
连袖	lianxiu
连衣裤	lianyiku
连衣裙	lianyiqun
两用领	liangyongling
猎装	liezhuang
领豁口	linghuokou
领里口	linglikou
领袢	lingpan
领上口	lingshangkou
领外口	lingwaikou
领下口	lingxiakou
领嘴	lingzui
罗纹袖口	luowenxiukou
马裤	maku
毛呢服装	maonifuzhuang
门襟	menjin
棉袄	mianao
棉布服装	mianbufuzhuang
明裥袋	mingjiandai
男装	nanzhuang
牛仔服	niuzaifu
泡泡袖	paopaoxiu
披风	pifeng
平驳头	pingbotou
旗袍	qipao
旗袍裙	qipaoqun
前袖缝	qianxiufeng
戗驳头	qiangbotou
茄克	qieke
青果领	qingguoling
裘革服装	qiugefuzhuang
裙裤	qunku
手巾袋	shoujindai
双排扣	shuangpaikou
双嵌线袋	shuangqianxiandai
双袖头	shuangxiutou
睡袍	shuipao
睡衣裤	shuiyiku
丝绸服装	sichoufuzhuang
塔克	take
套装	taozhuang
贴袋	tiedai
西服	xifu
西裤	xiku
线袢	xianpan
小袖	xiaoxiu
新娘礼服	xinnianglifu
胸部	xiongbu
袖衩条	xiuchatiao
袖开衩	xiukaicha
袖口	xiukou
袖窿	xiulong
袖袢	xiupan
袖头	xiutou
袖中缝	xiuzhongfeng
压条	yatiao
眼镜袋	yanjingdai
眼距	yanju
燕尾服	yanweifu
燕子领	yanziling
腰带	yaodai
腰节	yaojie
腰袢	yaopan
夜礼服	yelifu
一字领口	yizilingkou
鱼尾裙	yuweiqun
羽绒服	yurongfu
羽绒服装	yurongfuzhuang
圆领	yuanling
圆领口	yuanlingkou
扎结领	zhajieling
褶裙	zhequn
止口	zhikou
中缝连袖	zhongfenglianxiu
中山服领	zhongshanfuling
