安全监控	anquanjiankong
安全监控系统图	anquanjiankongxitongtu
安全评估	anquanpinggu
安全系数	anquanxishu
安全载荷	anquanzaihe
安装维修	anzhuangweixiu
凹面	aomian
凹面符号	aomianfuhao
耙头	batou
耙装机	bazhuangji
摆动从动件	baidongcongdongjian
摆动从动件凸轮机构	baidongcongdongjiantulunjigou
摆动导杆机构	baidongdaoganjigou
摆线齿轮	baixianchilun
摆线齿形	baixianchixing
摆线运动规律	baixianyundongguilv
半精车	banjingche
半精珩磨内孔	banjinghengmoneikong
板料冲压	banliaochongya
半圆键	banyuanjian
保持架	baochijia
包角	baojiao
背对背安装	beiduibeianzhuang
背锥	beizhui
背锥角	beizhuijiao
背锥距	beizhuiju
比例	bili
比例尺	bilichi
闭链机构	bilianjigou
闭式链	bishilian
变幅小车牵引机构	bianfuxiaocheqianyinjigou
变速	biansu
变速器	biansuqi
变速箱	biansuxiang
变速箱体	biansuxiangti
变位齿轮	bianweichilun
变位系数	bianweixishu
变形	bianxing
变形力	bianxingli
表面传热系数	biaomianchuanrexishu
表面粗糙度	biaomiancucaodu
表面硬度	biaomianyingdu
表面质量系数	biaomianzhiliangxishu
标题栏	biaotilan
标准齿轮	biaozhunchilun
标准公差	biaozhungongcha
标准件	biaozhunjian
标准型弹簧垫圈	biaozhunxingtanhuangdianquan
标准直齿轮	biaozhunzhichilun
并联机构	binglianjigou
并联式组合	binglianshizuhe
并联组合机构	binglianzuhejigou
并行设计	bingxingsheji
波发生器	bofashengqi
波数	boshu
步进电机	bujindianji
不可见棱边线	bukejianlengbianxian
不可见轮廓线	bukejianlunkuoxian
不平衡	bupingheng
不平衡量	bupinghengliang
不平衡相位	bupinghengxiangwei
不完全齿轮机构	buwanquanchilunjigou
擦图片	catupian
采煤二队	caimeierdui
采煤一队	caimeiyidui
残余应力	canyuyingli
槽轮	caolun
槽轮机构	caolunjigou
槽数	caoshu
槽凸轮	caotulun
操纵及控制装置	caozongjikongzhizhuangzhi
侧垂面	cechuimian
恻垂线	cechuixian
侧立投影面	celitouyingmian
侧平面	cepingmian
侧平线	cepingxian
侧隙	cexi
插齿	chachi
