爱之蔓	aizhiman
八宝景天	babaojingtian
八千代	baqiandai
白凤	baifeng
百合科	baiheke
百惠	baihui
白菊	baiju
柏科	baike
白鹭	bailu
白牡丹	baimudan
白首乌	baishouwu
白檀	baitan
白雪姬	baixueji
豹皮花	baopihua
奔龙	benlong
碧桃	bitao
碧玉莲	biyulian
变色龙	bianselong
冰莓	bingmei
般若	bore
灿烂	canlan
长寿花	changshouhua
初恋	chulian
垂盆草	chuipencao
唇形科	chunxingke
春莺啭	chunyingzhuan
大和锦	dahejin
大戟科	dajike
达利	dali
大卫	dawei
蒂亚	diya
杜鹃花科	dujuanhuake
多肉植物	duorouzhiwu
阿房宫	epanggong
番杏	fanxing
粉蚧	fenjie
佛甲草	fojiacao
佛珠	fozhu
观音莲	guanyinlian
光棍树	guanggunshu
龟甲龙	guijialong
黑法师	heifashi
黑王子	heiwangzi
红雀珊瑚	hongqueshanhu
红爪	hongzhao
红稚莲	hongzhilian
虎耳草科	huercaoke
黄丽	huangli
火祭	huoji
火星人	huoxingren
蒺藜科	jilike
吉娃莲	jiwalian
吉娃娃	jiwawa
剑麻	jianma
金琥	jinhu
锦晃星	jinhuangxing
金钱木	jinqianmu
金狮子	jinshizi
金手指	jinshouzhi
金枝玉叶	jinzhiyuye
巨人柱	jurenzhu
菊丸	juwan
蓝豆	landou
劳尔	laoer
雷神	leishen
莲花掌	lianhuazhang
楝科	lianke
猎户座	liehuzuo
龙角牡丹	longjiaomudan
龙鳞	longlin
胧月	longyue
芦荟	luhui
鹿角	lujiao
鹿角海棠	lujiaohaitang
鲁氏	lushi
罗密欧	luomiou
萝藦	luomo
绿爪	lvzhao
马鞭草科	mabiancaoke
马齿苋	machixian
马兜铃科	madoulingke
玛丽安	malian
米兰达	milanda
明镜	mingjing
牡丹	mudan
木麒麟	muqilin
女雏	nvchu
皮氏	pishi
葡萄科	putaoke
漆树科	qishuke
钱串	qianchuan
蔷薇科	qiangweike
情人泪	qingrenlei
青铜龙	qingtonglong
秋丽	qiuli
伞形科	sanxingke
沙漠玫瑰	shamomeigui
山地玫瑰	shandimeigui
神童	shentong
生石花	shengshihua
石莲	shilian
十字星	shizixing
十字星锦	shizixingjin
双子座	shuangzizuo
松绿	songlv
粟米草	sumicao
塔松	tasong
昙花	tanhua
檀香科	tanxiangke
唐印	tangyin
桃美人	taomeiren
天龙	tianlong
瓦松	wasong
万重山	wanchongshan
万象	wanxiang
卧牛	woniu
无患子科	wuhuanzike
五加科	wujiake
梧桐科	wutongke
仙人球	xianrenqiu
仙人掌	xianrenzhang
弦月	xianyue
小天狗	xiaotiangou
小头	xiaotou
小玉	xiaoyu
星球	xingqiu
熊童子	xiongtongzi
修女	xiunv
秀女	xiunv
虚空藏	xukongcang
玄参科	xuanshenke
雪光	xueguang
雪莲	xuelian
蚜虫	yachong
雅乐之舞	yayuezhiwu
鸭跖草	yazhicao
银冠	yinguan
银虎	yinhu
银剑	yinjian
银霜	yinshuang
银星	yinxing
玉蝶	yudie
玉露	yulu
玉树	yushu
玉坠	yuzhui
月兔耳	yuetuer
月影	yueying
朱莲	zhulian
子宝	zibao
紫葳科	ziweike
紫玄月	zixuanyue
紫珍珠	zizhenzhu
醉龙	zuilong
阿克泰	aketai
阿维	awei|aa
