按跷	anqiao
案扤	anwu
百会	baihui
辟谷	bigu
壁观	biguan
不生不灭	bushengbumie
长功	changgong
畅外	changwai
朝彻	chaoche
成佛作祖	chengfozuozu
重置	chongzhi
存想	cunxiang
存一	cunyi
大决	dajue
打天钟	datianzhong
道心惟微	daoxinweiwei
定慧	dinghui
定静	dingjing
动功	donggong
督脉	dumai
断惑证真	duanhuozhengzhen
法水	fashui
反指	fanzhi
焚修	fenxiu
符箓	fulu
服日	furi
凫浴	fuyu
干浴	ganyu
功法	gongfa
公积	gongji
关窍	guanqiao
归一	guiyi
互跪	hugui
虎戏	huxi
幻听	huanting
黄帝内经	huangdineijing
混元	hunyuan
混元气	hunyuanqi
击天磬	jitianqing
渐悟	jianwu
降心	jiangxin
挢引	jiaoyin
静功	jinggong
精气神	jingqishen
叩齿	kouchi
拉气	laqi
炼精化气	lianjinghuaqi
炼气化神	lianqihuashen
炼神还虚	lianshenhaixu|lianshenhuanxu
灵静	lingjing
灵枢	lingshu
鹿戏	luxi
密宗	mizong
鸣天鼓	mingtiangu
明心见性	mingxinjianxing
内化	neihua
内聚	neiju
内视	neishi
念咒	nianzhou
鸟戏	niaoxi
偏执	pianzhi
歧伯	qibo
气场	qichang
气机	qiji
奇经八脉	qijingbamai
气血	qixue
气穴	qixue
任脉	renmai
人心惟危	renxinweiwei
三部九候	sanbujiuhou
三彭	sanpeng
散气	sanqi
上腭	shange
尚有	shangyou
摄入	sheru
尸居	shiju
时空	shikong
食气	shiqi
识神	shishen
施术	shishu
守寸	shoucun
收视返听	shoushifanting
树突	shutu
四惑	sihuo
四气	siqi
素问	suwen
胎食	taishi
恬惔虚无	tiantanxuwu
天耳通	tianertong
调息	tiaoxi
通臂拳	tongbiquan
吐纳	tuna
吞气	tunqi
外物	waiwu
顽空	wankong
王气	wangqi
卫气	weiqi
唯识	weishi
我执	wozhi
武当	wudang
无明	wuming
无始无终	wushiwuzhong
无欲	wuyu
五贼	wuzei
习定	xiding
下德	xiade
行禅	xingchan
性命双修	xingmingshuangxiu
形神庄	xingshenzhuang
形松意充	xingsongyichong
形意拳	xingyiquan
熊戏	xiongxi
修持	xiuchi
虚静	xujing
嘘吸	xuxi
咽唾	yantuo
养和	yanghe
遥视	yaoshi
以德为本	yideweiben
一门	yimen
引气	yinqi
营气	yingqi
迎气	yingqi
映象	yingxiang
有志之士	youzhizhishi
瑜珈	yujia
元精	yuanjing
元神	yuanshen
允执厥中	yunzhijuezhong
脏真	zangzhen
增息	zengxi
占位	zhanwei
真息	zhenxi
正心	zhengxin
止观	zhiguan
中宫	zhonggong
组场	zuchang
