阿姆斯里克	amusilike
暗娼	anchang
按份共有	anfengongyou
按份赔偿责任	anfenpeichangzeren
按份责任	anfenzeren
案件受理费	anjianshoulifei
按揭	anjie
按揭贷款	anjiedaikuan
案卷	anjuan
安乐死	anlesi
暗示对证言的影响	anshiduizhengyandeyingxiang
暗哑人	anyaren
安置人口	anzhirenkou
奥古斯丁	aogusiding
澳门特别行政区基本法	aomentebiexingzhengqujibenfa
奥斯丁	aosiding
颁布法律	banbufalv
办公室	bangongshi
般规律	banguilv
搬迁合同	banqianhetong
版权	banquan
版权侵权行为	banquanqinquanxingwei
版权转让	banquanzhuanrang
版权转让合同	banquanzhuanranghetong
版式权	banshiquan
版税	banshui
帮助犯	bangzhufan
包办婚姻	baobanhunyin
包庇罪	baobizui
保单倒签	baodandaoqian
保底条款	baoditiaokuan
保兑	baodui
保兑信用证	baoduixinyongzheng
报复陷害罪	baofuxianhaizui
保付支票	baofuzhipiao
保管	baoguan
保管合同	baoguanhetong
保管人的义务	baoguanrendeyiwu
保函	baohan
保函效力	baohanxiaoli
保护工业产权巴黎公约	baohugongyechanquanbaligongyue
保护现场	baohuxianchang
保护作品完整权	baohuzuopinwanzhengquan
暴力干涉婚姻自由罪	baoliganshehunyinziyouzui
保密协议	baomixieyi
保密义务	baomiyiwu
保全措施的解除	baoquancuoshidejiechu
保人	baoren
保释	baoshi
保守主义	baoshouzhuyi
保税仓库	baoshuicangku
保卫部	baoweibu
保险标的	baoxianbiaodi
保险代理	baoxiandaili
保险代理人	baoxiandailiren
保险代位权	baoxiandaiweiquan
保险单	baoxiandan
保险法	baoxianfa
保险范围	baoxianfanwei
保险费	baoxianfei
保险合同	baoxianhetong
保险价值的确定	baoxianjiazhidequeding
保险金额	baoxianjine
保险经纪人	baoxianjingjiren
保险理赔	baoxianlipei
保险利益	baoxianliyi
保险免责条款	baoxianmianzetiaokuan
保险赔偿	baoxianpeichang
保险赔偿金	baoxianpeichangjin
保险期间	baoxianqijian
保险期限	baoxianqixian
保险契约让与	baoxianqiyuerangyu
保险人	baoxianren
保险事故	baoxianshigu
保险受益人	baoxianshouyiren
保险危险	baoxianweixian
保险责任	baoxianzeren
保险责任范围	baoxianzerenfanwei
保险种类	baoxianzhonglei
包销合同	baoxiaohetong
保修合同	baoxiuhetong
爆炸罪	baozhazui
保障措施条例	baozhangcuoshitiaoli
保证	baozheng
保证保险	baozhengbaoxian
保证合同	baozhenghetong
保证金	baozhengjin
保证期间	baozhengqijian
保证责任的变更	baozhengzerendebiangeng
包装装潢	baozhuangzhuanghuang
被保险人	beibaoxianren
被代理人死亡	beidailirensiwang
被告	beigao
被告人	beigaoren
被害人	beihairen
背叛祖国罪	beipanzuguozui
被收养人	beishouyangren
背书	beishu
背书不连续	beishubulianxu
背书转让	beishuzhuanrang
备忘录	beiwanglu
备用信用证	beiyongxinyongzheng
本案争议	benanzhengyi
本案中的主张	benanzhongdezhuzhang
本票	benpiao
本诉	bensu
逼供信	bigongxin
庇护	bihu
逼奸	bijian
比较广告	bijiaoguanggao
笔名	biming
避难权	binanquan
避碰措施	bipengcuoshi
避碰规则	bipengguize
必然因果关系	biranyinguoguanxi
逼人自杀	birenzisha
避险不得已	bixianbudeyi
避险不适时	bixianbushishi
避险过当	bixianguodang
避险限度	bixianxiandu
必要的共犯	biyaodegongfan
必要技术特征	biyaojishutezheng
变更	biangeng
变更产权	biangengchanquan
变更登记	biangengdengji
变更企业性质	biangengqiyexingzhi
辩护	bianhu
辩护词	bianhuci
辩护权	bianhuquan
辩护人	bianhuren
辩护士	bianhushi
辩护制度	bianhuzhidu
辩护职能	bianhuzhineng
编辑作品	bianjizuopin
卞建林	bianjianlin
边界纠纷	bianjiejiufen
变劣发明	bianliefaming
辩论主义	bianlunzhuyi
变卖	bianmai
边沁	bianqin
编委会	bianweihui
编造	bianzao
变造公文证件印章罪	bianzaogongwenzhengjianyinzhangzui
变造国家货币	bianzaoguojiahuobi
标的额	biaodie
标的物	biaodiwu
表见代理	biaojiandaili
表示的错误	biaoshidecuowu
表示行为	biaoshixingwei
表现犯	biaoxianfan
表演使用许可合同	biaoyanshiyongxukehetong
表演者权	biaoyanzhequan
别除权	biechuquan
并案管辖	binganguanxia
秉公执法	binggongzhifa
兵役法	bingyifa
博登海默	bodenghaimo
剥夺公权	boduogongquan
剥夺勋章奖章和荣誉称号	boduoxunzhangjiangzhangherongyuchenghao
剥夺政治权利	boduozhengzhiquanli
播放	bofang
拨改贷	bogaidai
驳回	bohui
驳回起诉	bohuiqisu
驳回申请回避的决定	bohuishenqinghuibidejueding
柏拉图	bolatu
波普尔	bopuer
波斯那	bosina
波斯纳	bosina
泊位合同	boweihetong
播映权	boyingquan
不安抗辩权	buankangbianquan
补偿贸易	buchangmaoyi
补偿损失	buchangsunshi
不成文法	buchengwenfa
补充鉴定	buchongjianding
补充是事后行为	buchongshishihouxingwei
补充协议	buchongxieyi
不纯正渎职罪	buchunzhengduzhizui
布丹	budan
不当得利	budangdeli
不定值保险合同	budingzhibaoxianhetong
不动产	budongchan
不动产买卖	budongchanmaimai
不法侵害	bufaqinhai
不法行为	bufaxingwei
不法状态	bufazhuangtai
部分不能	bufenbuneng
部分抄袭	bufenchaoxi
部分履行	bufenlvxing
部分侵权	bufenqinquan
不告不理	bugaobuli
不顾证据真实性与否	buguzhengjuzhenshixingyufou
不合常理	buhechangli
不记名提单	bujimingtidan
不间断原则	bujianduanyuanze
补救措施	bujiucuoshi
布坎南	bukannan
不可撤销的保函	bukechexiaodebaohan
不可撤销的担保	bukechexiaodedanbao
不可撤销信用证	bukechexiaoxinyongzheng
不可撤消信用证	bukechexiaoxinyongzheng
不可代替物	bukedaitiwu
不可分物	bukefenwu
不可分之债	bukefenzhizhai
不可抗力	bukekangli
不可消耗物	bukexiaohaowu
布莱克	bulaike
不立案决定	bulianjueding
不履行	bulvxing
部门法	bumenfa
部门管辖	bumenguanxia
部门越权	bumenyuequan
不能	buneng
不能犯	bunengfan
不能犯未遂	bunengfanweisui
不歧视待遇	buqishidaiyu
不起诉	buqisu
不起诉决定书	buqisujuedingshu
不确定期限	buquedingqixian
不确定事实	buquedingshishi
不融通物	burongtongwu
不适当履行	bushidanglvxing
不适航	bushihang
不适拖	bushituo
不适载	bushizai
不同法律关系的主体	butongfalvguanxidezhuti
不同质的选择构成	butongzhidexuanzegoucheng
不完全履行	buwanquanlvxing
不相符合	buxiangfuhe
不要式法律行为	buyaoshifalvxingwei
不要式合同	buyaoshihetong
不要式行为	buyaoshixingwei
不予受理	buyushouli
不真正不作为犯	buzhenzhengbuzuoweifan
不真正的身份犯	buzhenzhengdeshenfenfan
不真正连带债务	buzhenzhengliandaizhaiwu
不真正亲手犯	buzhenzhengqinshoufan
不知情	buzhiqing
不作为	buzuowei
不作为的结果犯	buzuoweidejieguofan
不作为的作为犯	buzuoweidezuoweifan
不作为犯	buzuoweifan
财产保全	caichanbaoquan
财产保险	caichanbaoxian
财产查封	caichanchafeng
财产罚	caichanfa
财产犯罪	caichanfanzui
财产分割	caichanfenge
财产关系	caichanguanxi
财产权	caichanquan
财产确权	caichanquequan
财产损害赔偿	caichansunhaipeichang
财产刑	caichanxing
裁定	caiding
裁定书	caidingshu
采光权	caiguangquan
采矿权	caikuangquan
彩礼	caili
裁判	caipan
彩票	caipiao
财团抵押	caituandiya
财团法人	caituanfaren
