阿达马变换	adamabianhuan
安平	anping
安平精度	anpingjingdu
岸台	antai
奥米伽海图	aomigahaitu
靶道工程测量	badaogongchengceliang
坝址勘查	bazhikancha
摆动锤投影	baidongchuitouying
摆仪	baiyi
颁岔放样	banchafangyang
半导体激光器	bandaotijiguangqi
半日潮港	banrichaogang
半色调	bansediao
半站型测距经纬仪	banzhanxingcejujingweiyi
饱和度	baohedu
包括专题要素	baokuozhuantiyaosu
被动式遥感	beidongshiyaogan
北极星任意时角法	beijixingrenyishijiaofa
背景辨别	beijingbianbie
北京坐标系	beijingzuobiaoxi
贝塞尔	beisaier
贝塞尔大地主题解算公式	beisaierdadizhutijiesuangongshi
贝塞尔法	beisaierfa
贝塞尔椭球	beisaiertuoqiu
贝叶斯分类	beiyesifenlei
本初子午线	benchuziwuxian
比高点	bigaodian
闭合差	bihecha
闭合导线	bihedaoxian
闭合水准路线	biheshuizhunluxian
比较地图学	bijiaodetuxue
比例尺	bilichi
比例量表	bililiangbiao
比例误差	biliwucha
比值变换	bizhibianhuan
比值增强	bizhizengqiang
变比例投影	bianbilitouying
边长中误差	bianchangzhongwucha
边垂线标定	bianchuixianbiaoding
变换光束测图	bianhuanguangshucetu
编绘	bianhui
编绘原图	bianhuiyuantu
编辑大纲	bianjidagang
边角测量	bianjiaoceliang
边交会法	bianjiaohuifa
边角交会法	bianjiaojiaohuifa
边角网	bianjiaowang
边界角	bianjiejiao
边坡稳定性观测	bianpowendingxingguance
边坡桩测设	bianpozhuangceshe
变色海水	biansehaishui
编图	biantu
变线仪	bianxianyi
变形观测	bianxingguance
变形观测控制网	bianxingguancekongzhiwang
变形椭圆	bianxingtuoyuan
边缘检测	bianyuanjiance
边缘增强	bianyuanzengqiang
标称精度	biaochengjingdu
标尺	biaochi
标高	biaogao
标高差改正	biaogaochagaizheng
标界测量	biaojieceliang
表示扰动位	biaoshiraodongwei
表示三角	biaoshisanjiao
标志灯	biaozhideng
标准差	biaozhuncha
标准检定场	biaozhunjiandingchang
标准配置点	biaozhunpeizhidian
标准纬线	biaozhunweixian
冰后回弹	binghouhuitan
并记录时刻	bingjilushike
波茨坦重力系统	bocitanzhonglixitong
波带板	bodaiban
波浪补偿	bolangbuchang
波浪补偿器	bolangbuchangqi
波罗	boluo
波罗一科普原理	boluoyikepuyuanli
波谱测定仪	bopucedingyi
