按劳分配为主体	anlaofenpeiweizhuti
安全防控体系	anquanfangkongtixi
按生产要素分配	anshengchanyaosufenpei
八荣八耻	barongbachi
办实事	banshishi
邦联制	banglianzhi
保持清醒头脑	baochiqingxingtounao
保民生	baominsheng
暴民政治	baominzhengzhi
保稳定	baowending
保增长	baozengzhang
保障人民各项权益	baozhangrenmingexiangquanyi
保障社会公平正义	baozhangshehuigongpingzhengyi
保障性	baozhangxing
被统治阶级	beitongzhijieji
比境界	bijingjie
必须顺应	bixushunying
必须与弘扬时代精神相结合	bixuyuhongyangshidaijingshenxiangjiehe
必要性	biyaoxing
辩证法	bianzhengfa
辩证否定观	bianzhengfoudingguan
辩证关系	bianzhengguanxi
辩证思维	bianzhengsiwei
不断改善人民生活	buduangaishanrenminshenghuo
不同政见	butongzhengjian
不懈奋斗	buxiefendou
财政收入	caizhengshouru
财政支出	caizhengzhichu
残酷镇压	cankuzhenya
参议院	canyiyuan
参政议政	canzhengyizheng
差异性明显增强	chayixingmingxianzengqiang
长治久安	changzhijiuan
常抓不懈	changzhuabuxie
城邦社会	chengbangshehui
程序化	chengxuhua
崇尚法律	chongshangfalv
崇尚法制	chongshangfazhi
崇尚法治	chongshangfazhi
出国旅游	chuguolvyou
传统文化的特点记忆	chuantongwenhuadetedianjiyi
创新公共服务体制	chuangxingonggongfuwutizhi
创新思维	chuangxinsiwei
创新形式	chuangxinxingshi
次要矛盾	ciyaomaodun
村民自治	cunminzizhi
大发展	dafazhan
大繁荣	dafanrong
打防结合	dafangjiehe
大好局面	dahaojumian
大局意识	dajuyishi
大声疾呼	dashengjihu
党的监督	dangdejiandu
党和国家的生命线	dangheguojiadeshengmingxian
道德问题	daodewenti
敌对分子	diduifenzi
敌对势力	diduishili
独裁统治	ducaitongzhi
独裁者	ducaizhe
独裁政权	ducaizhengquan
独裁制度	ducaizhidu
独立自主	dulizizhu
对立统一体	duilitongyiti
多变性	duobianxing
多党	duodang
多党民主	duodangminzhu
多数党	duoshudang
多数派	duoshupai
多元	duoyuan
多元化	duoyuanhua
多元政体	duoyuanzhengti
多元政治	duoyuanzhengzhi
恩格斯主义	engesizhuyi
发挥人民首创精神	fahuirenminshouchuangjingshen
法律监督工作	falvjiandugongzuo
法律监督能力建设	falvjiandunenglijianshe
法西斯	faxisi
法西斯统治	faxisitongzhi
法西斯政权	faxisizhengquan
发扬光大	fayangguangda
发展的普遍性	fazhandepubianxing
发展观	fazhanguan
发展好	fazhanhao
发展取向	fazhanquxiang
法制	fazhi
法治	fazhi
法治思想	fazhisixiang
反对党	fanduidang
反对派	fanduipai
反对统治	fanduitongzhi
反腐倡廉建设	fanfuchanglianjianshe
方法论	fangfalun
方法论意义	fangfalunyiyi
防范性管理	fangfanxingguanli
非公有制经济	feigongyouzhijingji
分工合理	fengongheli
封建专制主义	fengjianzhuanzhizhuyi
服务大局	fuwudaju
服务党和国家工作大局	fuwudangheguojiagongzuodaju
服务完善	fuwuwanshan
服务性管理	fuwuxingguanli
腐朽文化	fuxiuwenhua
改革步伐	gaigebufa
改革创新	gaigechuangxin
改革创新精神	gaigechuangxinjingshen
改革发展稳定	gaigefazhanwending
改革开放	gaigekaifang
改革取向	gaigequxiang
感情认同	ganqingrentong
干扰办案	ganraobanan
敢抓敢管	ganzhuaganguan
各级党组织	gejidangzuzhi
革命反革命	gemingfangeming
革命批判精神	gemingpipanjingshen
个人独裁	gerenducai
各生产要素按贡献参与分配	geshengchanyaosuangongxiancanyufenpei
根本保证	genbenbaozheng
根本利益	genbenliyi
根本任务	genbenrenwu
根本要求	genbenyaoqiu
根本指针	genbenzhizhen
更充分	gengchongfen
更广泛	gengguangfan
更真实	gengzhenshi
共产	gongchan
共产暴政	gongchanbaozheng
共产帝国	gongchandiguo
共产主义	gongchanzhuyi
巩固成果	gongguchengguo
巩固政权	gongguzhengquan
共和党	gonghedang
共和国	gongheguo
共和制	gonghezhi
公民权利和义务	gongminquanliheyiwu
公民政治生活	gongminzhengzhishenghuo
公平正义	gongpingzhengyi
