生产储备	shengchanchubei
卖方剩余	maifangshengyu
洼地效应	wadixiaoying
租金收入	zujinshouru
财政专户	caizhengzhuanhu
财税顾问	caishuiguwen
价值指标	jiazhizhibiao
管道运输	guandaoyunshu
组织智慧	zuzhizhihui
上缴利润	shangjiaolirun
变动资本	biandongziben
设计评审	shejipingshen
蓝海理论	lanhaililun
综合收益	zongheshouyi
经济批量	jingjipiliang
经济监督	jingjijiandu
能源开发	nengyuankaifa
隐形经济	yinxingjingji
教育结构	jiaoyujiegou
集约发展	jiyuefazhan
联合运输	lianheyunshu
公益投资	gongyitouzi
经营收益	jingyingshouyi
住房保险	zhufangbaoxian
政府外债	zhengfuwaizhai
能源节约	nengyuanjieyue
能源区划	nengyuanquhua
科技机构	kejijigou
流通储备	liutongchubei
失业经济	shiyejingji
能源选择	nengyuanxuanze
两权分离	liangquanfenli
复式预算	fushiyusuan
政府收费	zhengfushoufei
收入管理	shouruguanli
运输计划	yunshujihua
罚款分离	fakuanfenli
账面净值	zhangmianjingzhi
现代管理	xiandaiguanli
业务决策	yewujuece
收缴分离	shoujiaofenli
价格补贴	jiagebutie
供给法则	gongjifaze
合理运输	heliyunshu
能源计划	nengyuanjihua
会计委派	kuaijiweipai
运输能力	yunshunengli
基金收入	jijinshouru
资产收益	zichanshouyi
税制概览	shuizhigailan
刚性融资	gangxingrongzi
权益融资	quanyirongzi
功能组织	gongnengzuzhi
类比计算	leibijisuan
集团管控	jituanguankong
保护贸易	baohumaoyi
财政	caizheng
财政赤字	caizhengchizi
长线产品	changxianchanpin
粗放经营	cufangjingying
贷款	daikuan
第三产业	disanchanye
第四产业	disichanye
短线产品	duanxianchanpin
对外开放	duiwaikaifang
多国公司	duoguogongsi
个体经济	getijingji
公司	gongsi
工业布局	gongyebuju
公债	gongzhai
国家决算	guojiajuesuan
国家预算	guojiayusuan
国民经济	guominjingji
国营企业	guoyingqiye
海关	haiguan
黄金储备	huangjinchubei
黄金市场	huangjinshichang
货币	huobi
货币贬值	huobibianzhi
基础设施	jichusheshi
计划经济	jihuajingji
积累基金	jileijijin
集体经济	jitijingji
集约经营	jiyuejingying
价值规律	jiazhiguilv
结算	jiesuan
金融	jinrong
金融市场	jinrongshichang
经济	jingji
经济范畴	jingjifanchou
经济杠杆	jingjiganggan
经济规律	jingjiguilv
经济合同	jingjihetong
经济机制	jingjijizhi
经济特区	jingjitequ
经济体制	jingjitizhi
经济危机	jingjiweiji
经济系统	jingjixitong
经济效益	jingjixiaoyi
经济新闻	jingjixinwen
经济学	jingjixue
经济政策	jingjizhengce
经济指数	jingjizhishu
经济周期	jingjizhouqi
经营权	jingyingquan
跨国公司	kuaguogongsi
劳动	laodong
劳动对象	laodongduixiang
劳动力	laodongli
利改税	ligaishui
利息	lixi
利用外资	liyongwaizi
联产计酬	lianchanjichou
农业结构	nongyejiegou
农业新闻	nongyexinwen
期货市场	qihuoshichang
企业集团	qiyejituan
人民币	renminbi
瑞典模式	ruidianmoshi
三角债	sanjiaozhai
商品	shangpin
商品经济	shangpinjingji
商业利润	shangyelirun
生产	shengchan
生产方式	shengchanfangshi
生产工具	shengchangongju
生产关系	shengchanguanxi
生产结构	shengchanjiegou
生产力	shengchanli
生产资料	shengchanziliao
市场经济	shichangjingji
世界市场	shijieshichang
双轨制	shuangguizhi
税收	shuishou
通货膨胀	tonghuopengzhang
投资资讯	touzizixun
外汇牌价	waihuipaijia
无形贸易	wuxingmaoyi
现金管理	xianjinguanli
消费	xiaofei
消费结构	xiaofeijiegou
消费信贷	xiaofeixindai
信贷	xindai
信贷控制	xindaikongzhi
信用	xinyong
信用卡	xinyongka
银根紧缩	yingenjinsuo
硬通货	yingtonghuo
营业税	yingyeshui
再生产	zaishengchan
治理整顿	zhilizhengdun
智能经济	zhinengjingji
滞胀	zhizhang
专业户	zhuanyehu
资本	ziben
自然经济	ziranjingji
租赁	zulin
最高限价	zuigaoxianjia
阿比银行	abiyinhang
爱建证券	aijianzhengquan
安达信	andaxin
安徽新兴	anhuixinxing
按揭	anjie
按揭财产	anjiecaichan
按揭贷款	anjiedaikuan
按揭抵押	anjiediya
按揭借款	anjiejiekuan
按揭利息	anjielixi
按揭人	anjieren
