阿老	alao
阿越	ayue
艾麟	ailin
艾民有	aiminyou
艾启蒙	aiqimeng
爱斯基摩艺术	aisijimoyishu
安昌奎	anchangkui
暗橙	ancheng
安德义	andeyi
安鼎文	andingwen
安敦礼	andunli
暗粉	anfen
暗粉红	anfenhong
安宏	anhong
暗绛红	anjianghong
暗兰	anlan
安良发	anliangfa
暗麦绿	anmailv
安明阳	anmingyang
暗水绿	anshuilv
安铁军	antiejun
安阳宋墓壁画	anyangsongmubihua
安耀华	anyaohua
暗夜蓝	anyelan
安毅	anyi
安正中	anzhengzhong
奥费主义	aofeizhuyi
凹凸光	aotuguang
巴达荣桂	badaronggui
八幡关太郎	bafanguantailang
八方行笔	bafangxingbi
巴光明	baguangming
巴荒	bahuang
巴黎画派	balihuapai
巴洛克美术	baluokemeishu
巴洛克艺术	baluokeyishu
巴山蜀水壁画	bashanshushuibihua
白嗄力	baiali
白伯骅	baibohua
拜城克孜尔石窟壁画	baichengkeziershikubihua
白春禹	baichunyu
柏芳景	baifangjing
白丰中	baifengzhong
柏恒	baiheng
柏佳甫	baijiafu
白建强	baijianqiang
白建涛	baijiantao
白君红	baijunhong
百美争艳图	baimeizhengyantu
白米色	baimise
白描	baimiao
白浅橙	baiqiancheng
白仁海	bairenhai
白沙宋墓壁画	baishasongmubihua
白蛇传壁画	baishezhuanbihua
白实	baishi
柏树法	baishufa
白塔子村辽墓壁画	baitazicunliaomubihua
白文斌	baiwenbin
白新城	baixincheng
白亚林	baiyalin
白彦尔登辽墓壁画	baiyanerdengliaomubihua
白燕楼	baiyanlou
白燕堂主人	baiyantangzhuren
白宜芳	baiyifang
白宜洛	baiyiluo
白音敖包辽墓壁画	baiyinaobaoliaomubihua
白羽平	baiyuping
白云迷寺图	baiyunmisitu
拜占庭美术	baizhantingmeishu
白展望	baizhanwang
白仲霞	baizhongxia
瓣根	bangen
斑痕画家	banhenhuajia
瓣尖	banjian
半漂	banpiao
半漂白	banpiaobai
班学俭	banxuejian
宝贝蓝	baobeilan
包福生	baofusheng
宝兰	baolan
包林	baolin
包少先	baoshaoxian
包胜军	baoshengjun
包首	baoshou
鲍卫兵	baoweibing
抱瓮主人	baowengzhuren
鲍岳庭	baoyueting
鲍云进	baoyunjin
包泽伟	baozewei
鲍震	baozhen
鲍振	baozhen
鲍智明	baozhiming
包忠	baozhong
鲍竹青	baozhuqing
北京百万庄辽墓壁画	beijingbaiwanzhuangliaomubihua
北京大慧寺壁画	beijingdahuisibihua
北京法海寺壁画	beijingfahaisibihua
北京国际机场壁画	beijingguojijichangbihua
北京密云元墓壁画	beijingmiyunyuanmubihua
北京墙纸壁画	beijingqiangzhibihua
北京斋堂辽墓壁画	beijingzhaitangliaomubihua
背临	beilin
北齐高润墓壁画	beiqigaorunmubihua
北齐库狄回洛墓壁画	beiqikudihuiluomubihua
北齐娄睿墓壁画	beiqilouruimubihua
北齐校书图	beiqixiaoshutu
北三家村号辽墓壁画	beisanjiacunhaoliaomubihua
北燕冯素弗墓壁画	beiyanfengsufumubihua
北游集	beiyouji
北镇庙壁画	beizhenmiaobihua
北周杜欢墓壁画	beizhouduhuanmubihua
本白	benbai
本厂白	benchangbai
本厂黑	benchanghei
本厂克	benchangke
本生图	benshengtu
笔操于人	bicaoyuren
笔断意连	biduanyilian
笔法	bifa
笔腹	bifu
毕闳	bihong
毕敬虎	bijinghu
笔墨	bimo
笔墨常存	bimochangcun
笔墨丹青	bimodanqing
笔墨技巧	bimojiqiao
笔墨意境	bimoyijing
笔墨章	bimozhang
毕沙罗	bishaluo
笔山驾驭	bishanjiayu
笔受腕	bishouwan
毕晓冬	bixiaodong
毕新育	bixinyu
毕颐生	biyisheng
