磁山文化	cishanwenhua
大地湾文化	dadiwanwenhua
大汶口文化	dawenkouwenhua
二里岗文化	erligangwenhua
二里头文化	erlitouwenhua
河姆渡文化	hemuduwenhua
红山文化	hongshanwenhua
环境考古	huanjingkaogu
辉卫文化	huiweiwenhua
贾湖文化	jiahuwenhua
金沙文化	jinshawenhua
旧石器时代	jiushiqishidai
卡约文化	kayuewenhua
良渚文化	liangzhuwenhua
龙山文化	longshanwenhua
芦山峁	lushanmao
马家坡文化	majiapowenhua
庙底沟文化	miaodigouwenhua
盘龙城	panlongcheng
裴李岗文化	peiligangwenhua
彭头山文化	pengtoushanwenhua
齐家文化	qijiawenhua
秦汉考古	qinhankaogu
屈家岭文化	qujialingwenhua
三星堆文化	sanxingduiwenhua
沙井文化	shajingwenhua
上山文化	shangshanwenhua
石家河文化	shijiahewenhua
石峁	shimao
四坝文化	sibawenhua
寺洼文化	siwawenhua
夏家店上层	xiajiadianshangceng
夏家店文化	xiajiadianwenhua
夏家店下层	xiajiadianxiaceng
下七垣文化	xiaqiyuanwenhua
夏商周考古	xiashangzhoukaogu
先商文化辉卫型	xianshangwenhuahuiweixing
小双桥期	xiaoshuangqiaoqi
辛店文化	xindianwenhua
新石器时代	xinshiqishidai
新砦文化	xinzhaiwenhua
兴隆洼文化	xinglongwawenhua
仰韶文化	yangshaowenhua
殷墟文化	yinxuwenhua
岳石文化	yueshiwenhua
朱开沟文化	zhukaigouwenhua
缠枝纹	chanzhiwen
铜敦	tongdun
阿房宫遗址	epanggongyizhi
霍去病墓	huoqubingmu
大明宫遗址	daminggongyizhi
汉长安城遗址	hanchanganchengyizhi
天字罐	tianziguan
梨壶	lihu
鸡心碗	jixinwan
博山炉	boshanlu
金田起义地址	jintianqiyidizhi
铜觯	tongzhi
手铲	shouchan
弦纹	xianwen
折腰碗	zheyaowan
稷山青龙寺壁画	jishanqinglongsibihua
辽上京遗址	liaoshangjingyizhi
铜簠	tongfu
太白尊	taibaizun
铜罍	tonglei
半坡遗址	banpoyizhi
铜觚	tonggu
铜釜	tongfu
宫碗	gongwan
铜甗	tongyan
曾侯乙墓	zenghouyimu
宏佛塔	hongfota
白沙宋墓	baishasongmu
篦纹	biwen
天发神谶碑	tianfashenchenbei
维琪奥桥	weiqiaoqiao
商代木抬盘	shangdaimutaipan
青铜礼器	qingtongliqi
通艺录	tongyilu
韭花帖	jiuhuatie
象纹	xiangwen
石象生	shixiangsheng
金铜佛造像	jintongfozaoxiang
普贤菩萨像	puxianpusaxiang
