中士	zhongshi
下士	xiashi
少尉	shaowei
中尉	zhongwei
上尉	shangwei
大尉	dawei
少校	shaoxiao
中校	zhongxiao
上校	shangxiao
大校	daxiao
准将	zhunjiang
少将	shaojiang
中将	zhongjiang
上将	shangjiang
大将	dajiang
元帅	yuanshuai
将军	jiangjun
医士	yishi
护士	hushi
医师	yishi
律师	lvshi
教员	jiaoyuan
编审	bianshen
教授	jiaoshou
讲师	jiangshi
助教	zhujiao
译审	yishen
翻译	fanyi
技师	jishi
技士	jishi
药师	yaoshi
研究员	yanjiuyuan
实验师	shiyanshi
实验员	shiyanyuan
农艺师	nongyishi
兽医师	shouyishi
畜牧师	xumushi
经济师	jingjishi
经济员	jingjiyuan
会计师	kuaijishi
会计员	kuaijiyuan
统计师	tongjishi
统计员	tongjiyuan
药剂师	yaojishi
助产士	zhuchanshi
副教授	fujiaoshou
副译审	fuyishen
副编审	fubianshen
美术员	meishuyuan
管理员	guanliyuan
工程师	gongchengshi
技术员	jishuyuan
副研究员	fuyanjiuyuan
一级教师	yijijiaoshi
二级教师	erjijiaoshi
三级教师	sanjijiaoshi
主治医师	zhuzhiyishi
主任医师	zhurenyishi
主任护师	zhurenhushi
主管护师	zhuguanhushi
主管药师	zhuguanyaoshi
高级记者	gaojijizhe
主任记者	zhurenjizhe
助理记者	zhulijizhe
高级编辑	gaojibianji
主任编辑	zhurenbianji
助理编辑	zhulibianji
助理翻译	zhulifanyi
播音指导	boyinzhidao
技术编辑	jishubianji
一级校对	yijijiaodui
二级校对	erjijiaodui
三级校对	sanjijiaodui
一级演员	yijiyanyuan
二级演员	erjiyanyuan
三级演员	sanjiyanyuan
四级演员	sijiyanyuan
舞台技师	wutaijishi
国际裁判	guojicaipan
主任技师	zhurenjishi
主管技师	zhuguanjishi
特级厨师	tejichushi
助理研究员	zhuliyanjiuyuan
研究实习员	yanjiushixiyuan
高级实验师	gaojishiyanshi
助理实验师	zhulishiyanshi
高级农艺师	gaojinongyishi
助理农艺师	zhulinongyishi
农业技术员	nongyejishuyuan
助理兽医师	zhulishouyishi
高级畜牧师	gaojixumushi
助理畜牧师	zhulixumushi
高级经济师	gaojijingjishi
助理经济师	zhulijingjishi
高级会计师	gaojikuaijishi
助理会计师	zhulikuaijishi
高级统计师	gaojitongjishi
助理统计师	zhulitongjishi
主任播音员	zhurenboyinyuan
一级播音员	yijiboyinyuan
二级播音员	erjiboyinyuan
三级播音员	sanjiboyinyuan
技术设计员	jishushejiyuan
工艺美术师	gongyimeishushi
工艺美术员	gongyimeishuyuan
舞美设计员	wumeishejiyuan
副主任医师	fuzhurenyishi
副主任护师	fuzhurenhushi
副主任药师	fuzhurenyaoshi
高级工程师	gaojigongchengshi
助理工程师	zhuligongchengshi
副主任技师	fuzhurenjishi
主任舞台技师	zhurenwutaijishi
中国象棋大师	zhongguoxiangqidashi
高级工艺美术师	gaojigongyimeishushi
助理工艺美术师	zhuligongyimeishushi
高级实习指导教师	gaojishixizhidaojiaoshi
一级实习指导教师	yijishixizhidaojiaoshi
二级实习指导教师	erjishixizhidaojiaoshi
三级实习指导教师	sanjishixizhidaojiaoshi
