傣族泼水节	daizuposhuijie
姑娘节	guniangjie
吉佳姆	jijiamu
郎扎热甲节	langzharejiajie
拜日望	bairiwang
俄喜节	exijie
地藏节	dizangjie
翻经节	fanjingjie
插种节	chazhongjie
绕三灵	raosanling
添仓节	tiancangjie
达玛节	damajie
关门节	guanmenjie
姑姑节	gugujie
斗牛节	douniujie
三月街	sanyuejie
晾桥节	liangqiaojie
虫王节	chongwangjie
阔时节	kuoshijie
龙王会	longwanghui
耍歌堂节	shuagetangjie
马奶节	manaijie
卡雀哇	kaquewa
仙女节	xiannvjie
响浪节	xianglangjie
天贶节	tiankuangjie
开门节	kaimenjie
祝著节	zhuzhujie
上九节	shangjiujie
赶秋节	ganqiujie
晒衣节	shaiyijie
回甲节	huijiajie
上巳节	shangsijie
干巴节	ganbajie
酥油花灯节	suyouhuadengjie
花炮节	huapaojie
查干萨仁	chagansaren
新米节	xinmijie
祭祖节	jizujie
鲜花节	xianhuajie
回婚节	huihunjie
驱鬼节	quguijie
中和节	zhonghejie
库尔班节	kuerbanjie
朝山会	chaoshanhui
盍司节	hesijie
农具会	nongjuhui
刀杆节	daoganjie
耍海会	shuahaihui
娅拜节	yabaijie
澡塘会	zaotanghui
