被动语态	beidongyutai
比较级	bijiaoji
贬义	bianyi
标点符号	biaodianfuhao
表语	biaoyu
表语从句	biaoyucongju
宾补	binbu
宾格	binge
宾语	binyu
宾语从句	binyucongju
并列	binglie
并列复合句	bingliefuheju
并列句	binglieju
并列连词	binglielianci
不定代词	budingdaici
不定冠词	budingguanci
不定式	budingshi
不定式短语	budingshiduanyu
部分倒装	bufendaozhuang
不规则动词	buguizedongci
不规则形式	buguizexingshi
不及物动词	bujiwudongci
不可数名词	bukeshumingci
补语	buyu
层次	cengci
插入成分	charuchengfen
插入语	charuyu
陈述句	chenshuju
陈述语气	chenshuyuqi
程度副词	chengdufuci
重复	chongfu
抽象名词	chouxiangmingci
词法	cifa
词根	cigen
词类	cilei
词性	cixing
词缀法	cizhuifa
词组	cizu
从句	congju
从属	congshu
从属句	congshuju
从属连词	congshulianci
存在句	cunzaiju
错综条件句	cuozongtiaojianju
代词	daici
单纯词	danchunci
单词	danci
单数形式	danshuxingshi
倒装	daozhuang
倒装语序	daozhuangyuxu
地点副词	didianfuci
地点状语从句	didianzhuangyucongju
第二人称	dierrencheng
第三人称	disanrencheng
第一人称	diyirencheng
定冠词	dingguanci
定语	dingyu
定语从句	dingyucongju
动词	dongci
动词的主要形式	dongcidezhuyaoxingshi
动词短语	dongciduanyu
动名词	dongmingci
动态动词	dongtaidongci
逗号	douhao
独立成分	dulichengfen
独立结构	dulijiegou
短语	duanyu
短语动词	duanyudongci
反身代词	fanshendaici
反义词	fanyici
反义疑问句	fanyiyiwenju
反意疑问句	fanyiyiwenju
方式副词	fangshifuci
方式状语从句	fangshizhuangyucongju
非限定动词	feixiandingdongci
非限制	feixianzhi
非真实条件状语从句	feizhenshitiaojianzhuangyucongju
非正式文体	feizhengshiwenti
分词	fenci
分词短语	fenciduanyu
分号	fenhao
分数词	fenshuci
分数数词	fenshushuci
讽刺	fengci
否定	fouding
否定范围	foudingfanwei
否定句	foudingju
副词	fuci
复合宾语	fuhebinyu
复合词	fuheci
复合句	fuheju
复合谓语	fuheweiyu
附加成分	fujiachengfen
附加疑问句	fujiayiwenju
复数形式	fushuxingshi
概念一致	gainianyizhi
感官动词	ganguandongci
感情色彩	ganqingsecai
感叹词	gantanci
感叹号	gantanhao
感叹句	gantanju
感叹疑问句	gantanyiwenju
个体名词	getimingci
构词法	goucifa
冠词	guanci
关系代词	guanxidaici
关系副词	guanxifuci
规则动词	guizedongci
规则形式	guizexingshi
过去分词	guoqufenci
过去将来进行时	guoqujianglaijinxingshi
过去将来时	guoqujianglaishi
过去将来完成时	guoqujianglaiwanchengshi
过去进行时	guoqujinxingshi
过去完成进行时	guoquwanchengjinxingshi
过去完成时	guoquwanchengshi
过去形式	guoquxingshi
含蓄条件句	hanxutiaojianju
合成法	hechengfa
后置修饰	houzhixiushi
后缀	houzhui
呼语	huyu
基本句型	jibenjuxing
集合名词	jihemingci
基数词	jishuci
集体名词	jitimingci
及物动词	jiwudongci
简单句	jiandanju
简单谓语	jiandanweiyu
间接宾语	jianjiebinyu
间接引语	jianjieyinyu
降调	jiangdiao
将来进行时	jianglaijinxingshi
将来完成进行时	jianglaiwanchengjinxingshi
将来完成时	jianglaiwanchengshi
降升调	jiangshengdiao
介词	jieci
介词短语	jieciduanyu
结构	jiegou
结果状语从句	jieguozhuangyucongju
静态动词	jingtaidongci
就近原则	jiujinyuanze
局部否定	jubufouding
句法	jufa
句法关系	jufaguanxi
句号	juhao
具体名词	jutimingci
句型的转换	juxingdezhuanhuan
句子	juzi
句子成分	juzichengfen
句子分析	juzifenxi
可数名词	keshumingci
肯定句	kendingju
口语	kouyu
括号	kuohao
连词	lianci
连接副词	lianjiefuci
连接性副词	lianjiexingfuci
连系动词	lianxidongci
连字号	lianzihao
冒号	maohao
美国英语	meiguoyingyu
描绘性定语	miaohuixingdingyu
名词	mingci
名词从句	mingcicongju
名词的分类	mingcidefenlei
名词性物主代词	mingcixingwuzhudaici
目的状语从句	mudizhuangyucongju
派生词	paishengci
派生法	paishengfa
撇号	piehao
频度副词	pindufuci
破折号	pozhehao
普通格	putongge
普通名词	putongmingci
祈使句	qishiju
祈使语气	qishiyuqi
前置修饰	qianzhixiushi
前缀	qianzhui
强调	qiangdiao
情态动词	qingtaidongci
全部倒装	quanbudaozhuang
全部否定	quanbufouding
让步状语从句	rangbuzhuangyucongju
人称	rencheng
人称代词	renchengdaici
升调	shengdiao
省字号	shengzihao
实词	shici
时间副词	shijianfuci
时间状语从句	shijianzhuangyucongju
时态	shitai
时态的呼应	shitaidehuying
使役动词	shiyidongci
实义动词	shiyidongci
数词	shuci
双宾语	shuangbinyu
双重限制	shuangchongxianzhi
所有格	suoyouge
所有格号	suoyougehao
套语	taoyu
特殊疑问句	teshuyiwenju
条件状语从句	tiaojianzhuangyucongju
同位语	tongweiyu
同位语从句	tongweiyucongju
通性	tongxing
同义词	tongyici
同源宾语	tongyuanbinyu
挖苦	waku
