八平	baping
变二	bianer
变例	bianli
长兵器	changbingqi
陈富杰	chenfujie
陈寒峰	chenhanfeng
程鸣	chengming
董旭彬	dongxubin
伏马	fuma
葛维蒲	geweipu
过肋	guolei
黑如	heiru
横车	hengche
红炮	hongpao
红棋子	hongqizi
红胜	hongsheng
洪智	hongzhi
胡荣华	huronghua
计时钟	jishizhong
吉翔	jixiang
将死	jiangsi
将一个	jiangyige
金海英	jinhaiying
金松	jinsong
九尾龟	jiuweigui
卷下	juanxia
开局	kaiju
控局	kongju
李鸿嘉	lihongjia
李来群	lilaiqun
李群	liqun
李雪松	lixuesong
李智屏	lizhiping
连环炮	lianhuanpao
两头蛇	liangtoushe
林宏敏	linhongmin
柳大华	liudahua
刘殿中	liudianzhong
路车	luche
吕钦	lvqin
马后炮	mahoupao
马炮	mapao
马前卒	maqianzu
梅花谱	meihuapu
闷杀	mensha
末着	mozhao
平八	pingba
平四	pingsi
平一	pingyi
骑河	qihe
前马	qianma
前炮	qianpao
牵制战术	qianzhizhanshu
杀法	shafa
闪露	shanlu
双兵	shuangbing
陶汉明	taohanming
铁门栓	tiemenshuan
王斌	wangbin
汪洋	wangyang
卧槽马	wocaoma
仙人指路	xianrenzhilu
徐超	xuchao
徐天红	xutianhong
许银川	xuyinchuan
寓守于攻	yushouyugong
于幼华	yuyouhua
约恩	yueen
战略思维	zhanluesiwei
张申宏	zhangshenhong
张学潮	zhangxuechao
赵庆阁	zhaoqingge
赵鑫鑫	zhaoxinxin
制中	zhizhong
中兵	zhongbing
中局	zhongju
庄玉庭	zhuangyuting
