巴洛克时期	baluokeshiqi
八三拍	basanpai
八音	bayin
北狄乐	beidile
倍减	beijian
倍增	beizeng
变宫	biangong
变徵	bianzhi
标准音	biaozhunyin
成相	chengxiang
纯八度	chunbadu
纯四度	chunsidu
纯一度	chunyidu
大二度	daerdu
大六度	daliudu
大七度	daqidu
大三度	dasandu
大三和弦	dasanhexian
大小七和弦	daxiaoqihexian
大字组	dazizu
单符干	danfugan
单拍子	danpaizi
但曲	danqu
导音	daoyin
第三潮流音乐	disanchaoliuyinyue
二二拍	ererpai
二连音	erlianyin
房中乐	fangzhongle|fangzhongyue
附点音符	fudianyinfu
符干	fugan
复拍子	fupaizi
副三和弦	fusanhexian
符头	futou
符尾	fuwei
副音级	fuyinji
钢伴	gangban
歌剧	geju
歌舞戏	gewuxi
宫商角徵羽	gongshangjuezhiyu
鼓吹	guchui
古典主义时期	gudianzhuyishiqi
固定调唱名法	gudingtiaochangmingfa
横吹	hengchui
华尔兹	huaerzi
黄钟	huangzhong
混合拍子	hunhepaizi
基本音级	jibenyinji
践耳	jianer
减七和弦	jianqihexian
减三和弦	jiansanhexian
减三声	jiansansheng
减五度	jianwudu
减小七和弦	jianxiaoqihexian
简约音乐	jianyueyinyue
教坊	jiaofang
交响曲	jiaoxiangqu
结束语	jieshuyu
京房十六律	jingfangshiliulv
九歌	jiuge
九和弦	jiuhexian
浪漫主义时期	langmanzhuyishiqi
李重光	lichongguang
练耳	lianer
临时变拍	linshibianpai
六代乐舞	liudaiyuewu
六连音	liulianyin
流徵	liuzheng
南吕	nanlv
南音	nanyin
偶然音乐	ouranyinyue
拼贴音乐	pintieyinyue
谱表	pubiao
谱号	puhao
骑吹	qichui
七和弦	qihexian
七连音	qilianyin
七声调式	qishengdiaoshi
切分音	qiefenyin
清唱剧	qingchangju
清角	qingjiao
清商曲	qingshangqu
三分损益法	sanfensunyifa
三和弦	sanhexian
上波音	shangboyin
上滑音	shanghuayin
上主音	shangzhuyin
神剧	shenju
视唱	shichang
十二律吕	shierlvlv
世界音乐	shijieyinyue
十连音	shilianyin
室内乐	shineiyue
首调唱名法	shoutiaochangmingfa
属音	shuyin
数字低音	shuzidiyin
双符干	shuangfugan
四二拍	sierpai
四六和弦	siliuhexian
四四拍	sisipai
四夷之乐	siyizhile|siyizhiyue
颂乐	songle
套曲	taoqu
听音	tingyin
同宫系统	tonggongxitong
同主音大小调	tongzhuyindaxiaodiao
通奏低音	tongzoudiyin
微分音音乐	weifenyinyinyue
未来主义音乐	weilaizhuyiyinyue
唯音音乐	weiyinyinyue|weiyinyinle
稳定音	wendingyin
五连音	wulianyin
五声调式	wushengdiaoshi
吴声歌	wushengge
西曲歌	xiquge
下波音	xiaboyin
下滑音	xiahuayin
下属音	xiashuyin
下中音	xiazhongyin
仙吕	xianlv
相和歌	xianghege
相和三调	xianghesantiao
小二度	xiaoerdu
小六度	xiaoliudu
小七度	xiaoqidu
小七和弦	xiaoqihexian
小三度	xiaosandu
小三和弦	xiaosanhexian
小舞	xiaowu
小字组	xiaozizu
谐虐曲	xienuequ
新调性音乐	xindiaoxingyinyue
新古典主义音乐	xingudianzhuyiyinyue
新浪漫主义音乐	xinlangmanzhuyiyinyue
序列音乐	xulieyinyue
旋宫	xuangong
宣叙调	xuanxudiao
雅乐	yayue
咽音	yanyin
燕乐	yanle|yanyue
夜曲	yequ
音级	yinji
印象主义时期	yinxiangzhuyishiqi
音乐剧	yinyueju
咏叹调	yongtandiao
圆舞曲	yuanwuqu
增三和弦	zengsanhexian
增四度	zengsidu
正宫	zhenggong
正三和弦	zhengsanhexian
郑卫之音	zhengweizhiyin
正音级	zhengyinji
中吕	zhonglv
重属和弦	zhongshuhexian
中音	zhongyin
主音	zhuyin
转调	zhuandiao
转位	zhuanwei
自由拍子	ziyoupaizi
组曲	zuqu
