处女	chunv
太监	taijian
万人骑	wanrenqi
绿帽	lvmao
背叛	beipan
神雕	shendiao
斗气	douqi
魔法	mofa
念力	nianli
灵力	lingli
神力	shenli
内力	neili
炼体	lianti
炼体	lianti
修仙	xiuxian
修神	xiushen
修真	xiuzhen
筑基	zhuji
融合	ronghe
心动	xindong
灵寂	lingji
元婴	yuanying
出窍	chuqiao
分神	fenshen
合体	heti
度劫	dujie
度劫	dujie
大乘	dacheng
结丹	jiedan
功法	gongfa
斗气	douqi
斗气	douqi
剑师	jianshi
剑圣	jiansheng
剑神	jianshen
斗者	douzhe
斗师	doushi
大斗师	dadoushi
斗灵	douling
斗王	douwang
斗皇	douhuang
斗宗	douzong
斗尊	douzun
斗圣	dousheng
斗帝	doudi
内视	neishi
异能	yineng
一击毙命	yijibiming
秒杀	miaosha
异界	yijie
魔导士	modaoshi
禁咒	jinzhou
武者	wuzhe
