挨白眼	aibaiyan
爱比较	aibijiao
爱别人	aibieren
挨耳光	aierguang
爱尔兰	aierlan
爱发呆	aifadai
爱搞笑	aigaoxiao
挨过饿	aiguoe
捱过来	aiguolai
爱好者	aihaozhe
爱喝茶	aihecha
爱火花	aihuohua
爱极了	aijile
爱讲话	aijianghua
爱浪漫	ailangman
爱男人	ainanren
爱女人	ainvren
爱情片	aiqingpian
爱情事	aiqingshi
爱人生	airensheng
爱死人	aisiren
爱他吗	aitama
爱惜我	aixiwo
爱行善	aixingshan
爱炫耀	aixuanyao
矮一点	aiyidian
爱一个	aiyige
爱张扬	aizhangyang
爱折腾	aizheteng
爱之后	aizhihou
挨嘴巴	aizuiba
暗不见	anbujian
暗疮性	anchuangxing
按电灯	andiandeng
安顿好	andunhao
安个家	angejia
黯红颜	anhongyan
按计划	anjihua
按理说	anlishuo
安眠药	anmianyao
安排在	anpaizai
安全带	anquandai
安全感	anquangan
安徒生	antusheng
安慰人	anweiren
暗下来	anxialai
暗下里	anxiali
按一下	anyixia
暗语着	anyuzhe
熬到了	aodaole
熬过了	aoguole
熬尽了	aojinle
奥斯卡	aosika
八角屋	bajiaowu
拔起来	baqilai
巴士站	bashizhan
八音盒	bayinhe
白衬衫	baichenshan
白吃饭	baichifan
白瓷砖	baicizhuan
摆地摊	baiditan
摆渡到	baidudao
拜读过	baiduguo
摆渡人	baiduren
百分百	baifenbai
白骨精	baigujing
百合花	baihehua
白桦林	baihualin
白了去	bailequ
白茫茫	baimangmang
白毛巾	baimaojin
白玫瑰	baimeigui
白棉线	baimianxian
白头发	baitoufa
白西装	baixizhuang
败下阵	baixiazhen
百褶裙	baizhequn
白纸包	baizhibao
半包烟	banbaoyan
半边天	banbiantian
扮不来	banbulai
搬出来	banchulai
半个眼	bangeyan
半个圆	bangeyuan
办公桌	bangongzhuo
搬过来	banguolai
搬进来	banjinlai
半句多	banjuduo
扮开朗	bankailang
扮可爱	bankeai
半空中	bankongzhong
半路上	banlushang
搬起来	banqilai
半人高	banrengao
伴随着	bansuizhe
半天高	bantiangao
半透明	bantouming
半湾月	banwanyue
半小时	banxiaoshi
扮演者	banyanzhe
搬运到	banyundao
板着脸	banzhelian
伴奏曲	banzouqu
帮帮忙	bangbangmang
棒棒糖	bangbangtang
帮不了	bangbuliao
帮点忙	bangdianmang
帮个忙	banggemang
薄薄的	baobaode
抱持着	baochizhe
保存得	baocunde
抱定了	baodingle
饱含在	baohanzai
宝盒中	baohezhong
保护神	baohushen
保护下	baohuxia
抱来了	baolaile
报了仇	baolechou
爆冷门	baolengmen
煲靓汤	baoliangtang
保留了	baoliule
暴露地	baoludi
暴露在	baoluzai
爆米花	baomihua
爆鸣声	baomingsheng
保平安	baopingan
包起来	baoqilai
抱歉说	baoqianshuo
包上了	baoshangle
保时捷	baoshijie
包围中	baoweizhong
保险杠	baoxiangang
保险金	baoxianjin
保险箱	baoxianxiang
褒义词	baoyici
抱一下	baoyixia
保质期	baozhiqi
抱走了	baozoule
被暗杀	beiansha
被包养	beibaoyang
被传染	beichuanran
被刺破	beicipo
被钉死	beidingsi
被动的	beidongde
贝多芬	beiduofen
被发酵	beifajiao
被焚烧	beifenshao
被辐射	beifushe
被告席	beigaoxi
背过身	beiguoshen
背回家	beihuijia
被击得	beijide
被激愤	beijifen
被搅拌	beijiaoban
被揭发	beijiefa
被拦在	beilanzai
被迷醉	beimizui
被逆转	beinizhuan
背叛了	beipanle
被骗了	beipianle
背起包	beiqibao
被切断	beiqieduan
被去掉	beiqudiao
被认可	beirenke
背台词	beitaici
被掏空	beitaokong
被淘汰	beitaotai
卑微者	beiweizhe
被误解	beiwujie
被驯养	beixunyang
被遗弃	beiyiqi
被照顾	beizhaogu
被蒸发	beizhengfa
被追上	beizhuishang
本地人	bendiren
本能的	bennengde
奔跑在	benpaozai
本质上	benzhishang
比爱短	biaiduan
比比看	bibikan
比不了	bibuliao
必不是	bibushi
逼出来	bichulai
彼此间	bicijian
逼得人	bideren
比得上	bideshang
逼过来	biguolai
笔记本	bijiben
避免了	bimianle
比你强	biniqiang
比起来	biqilai
避绕过	biraoguo
比赛场	bisaichang
闭上了	bishangle
闭上眼	bishangyan
比我强	biwoqiang
必修课	bixiuke
必需的	bixude
必须听	bixuting
避一避	biyibi
避孕套	biyuntao
闭着眼	bizheyan
鼻子里	bizili
鼻子酸	bizisuan
便不能	bianbuneng
遍地开	biandikai
变黑白	bianheibai
变换着	bianhuanzhe
便可以	biankeyi
便利店	bianlidian
边练习	bianlianxi
变卖后	bianmaihou
辨认着	bianrenzhe
变深海	bianshenhai
便逃离	biantaoli
便跳灭	biantiaomie
编舞蹈	bianwudao
编一编	bianyibian
贬义词	bianyici
便这般	bianzheban
编织成	bianzhicheng
表白了	biaobaile
表达在	biaodazai
飙高音	biaogaoyin
表露在	biaoluzai
表面化	biaomianhua
表演了	biaoyanle
表演者	biaoyanzhe
标准化	biaozhunhua
别打断	biedaduan
别打扰	biedarao
别见怪	biejianguai
别趴下	biepaxia
别忘了	biewangle
别小瞧	biexiaoqiao
别样香	bieyangxiang
别以为	bieyiwei
憋住话	biezhuhua
别做梦	biezuomeng
并不长	bingbuchang
并不大	bingbuda
并不多	bingbuduo
并不高	bingbugao
并不好	bingbuhao
冰点屋	bingdianwu
病痛时	bingtongshi
剥不开	bobukai
波尔卡	boerka
泊近于	bojinyu
波浪上	bolangshang
玻璃窗	bolichuang
剥离掉	bolidiao
玻璃缸	boligang
玻璃间	bolijian
玻璃瓶	boliping
玻璃樽	bolizun
波斯湾	bosiwan
拨通了	botongle
脖子上	bozishang
不安分	buanfen
不安全	buanquan
不罢休	bubaxiu
不般配	bubanpei
不抱怨	bubaoyuan
不绷紧	bubengjin
不必说	bubishuo
不必提	bubiti
不必要	bubiyao
不操心	bucaoxin
不曾想	bucengxiang
不插电	buchadian
不插嘴	buchazui
不常见	buchangjian
不承担	buchengdan
不诚恳	buchengken
不成双	buchengshuang
不出门	buchumen
不传奇	buchuanqi
不存在	bucunzai
不打佯	budayang
不胆小	budanxiao
不得了	budeliao
不定中	budingzhong
不对味	buduiwei
不反对	bufandui
不妨碍	bufangai
不方便	bufangbian
不妨说	bufangshuo
不放心	bufangxin
不飞扬	bufeiyang
不否认	bufouren
不肤浅	bufuqian
不该丢	bugaidiu
不改口	bugaikou
不该说	bugaishuo
不敢说	buganshuo
不敢问	buganwen
不甘心	buganxin
不隔音	bugeyin
不攻下	bugongxia
不够多	bugouduo
不够深	bugoushen
不管用	buguanyong
不规范	buguifan
不规则	buguize
不过时	buguoshi
不过问	buguowen
不害怕	buhaipa
不好看	buhaokan
不好了	buhaole
不好说	buhaoshuo
不合格	buhege
不合算	buhesuan
不和谐	buhexie
不化妆	buhuazhuang
不会变	buhuibian
不回答	buhuida
不回家	buhuijia
不会说	buhuishuo
不急促	bujicu
不计较	bujijiao
不及时	bujishi
