暗香袭人	anxiangxiren
巴东有巫山窈窕神女颜	badongyouwushanyaotiaoshennvyan
白白净净	baibaijingjing
白白嫩嫩	baibainennen
百般难描	baibannanmiao
白璧无暇	baibiwuxia
白发斑斑	baifabanban
白发如霜	baifarushuang
白发如银	baifaruyin
白巾翠袖	baijincuixiu
白净	baijing
白净细腻	baijingxini
白里透红	bailitouhong
白嫩	bainen
白嫩嫩	bainennen
白腻	baini
百年难遇	bainiannanyu
白皙	baixi
白皙细嫩	baixixinen
般般入画	banbanruhua
班姬续史之姿谢庭咏雪之态	banjixushizhizixietingyongxuezhitai
半妆美人	banzhuangmeiren
贝齿	beichi
笨拙	benzhuo
鼻尖扁平	bijianbianping
鼻孔饱满	bikongbaoman
鼻孔朝天	bikongchaotian
鼻梁挺直	biliangtingzhi
鼻青脸肿	biqinglianzhong
鼻似弯钩	bisiwangou
鼻头微勾	bitouweigou
鼻歪脸肿	biwailianzhong
碧眼盈波	biyanyingbo
闭月羞花	biyuexiuhua
鼻子	bizi
鼻子扁阔	bizibiankuo
鼻子粗短	bizicuduan
鼻子端正	biziduanzheng
辫子	bianzi
瘪嘴薄唇	biezuibochun
鬓角	binjiao
鬓云乱洒酥胸半掩	binyunluansasuxiongbanyan
鬓云欲度香腮雪	binyunyuduxiangsaixue
冰肌莹彻	bingjiyingche
冰肌玉肤	bingjiyufu
冰肌玉肤滑腻似酥	bingjiyufuhuanisisu
冰清玉洁	bingqingyujie
薄粉敷面	bofenfumian
步伐矫健	bufajiaojian
步履蹒跚	bulvpanshan
步履轻盈珊珊作响	bulvqingyingshanshanzuoxiang
步履维艰	bulvweijian
不施粉黛而颜色如朝霞映雪	bushifendaieryanseruzhaoxiayingxue
灿如春华皎如秋月	canruchunhuajiaoruqiuyue
苍白	cangbai
侧目而视	cemuershi
长安水边多丽人	changanshuibianduoliren
长辫垂胸	changbianchuixiong
长眉拂面	changmeifumian
长眉连娟微睇绵藐	changmeilianjuanweidimianmiao
长眉似雪	changmeisixue
长颦减翠瘦绿消红	changpinjiancuishoulvxiaohong
朝天鼻	chaotianbi
沉鱼落雁	chenyuluoyan
齿如含贝	chiruhanbei
愁眉不展	choumeibuzhan
愁眉泪眼	choumeileiyan
愁眉锁眼	choumeisuoyan
楚楚动人	chuchudongren
楚楚衣衫	chuchuyishan
出水芙蓉	chushuifurong
吹箫引凤	chuixiaoyinfeng
春半桃花	chunbantaohua
唇方口正	chunfangkouzheng
春光外泄	chunguangwaixie
唇红齿白	chunhongchibai
唇红如血	chunhongruxue
唇焦口燥	chunjiaokouzao
唇如胭脂	chunruyanzhi
唇色朱樱一点	chunsezhuyingyidian
慈眉善目	cimeishanmu
慈眉善眼	cimeishanyan
慈眉笑眼	cimeixiaoyan
慈眉秀目	cimeixiumu
刺猬头	ciweitou
慈祥	cixiang
粗糙	cucao
粗长	cuchang
粗大	cuda
粗黑	cuhei
粗硬	cuying
粗壮	cuzhuang
黛眉开娇横远岫绿鬓淳浓染春烟	daimeikaijiaohengyuanxiulvbinchunnongranchunyan
呆滞	daizhi
丹唇列素齿翠彩发蛾眉	danchunliesuchicuicaifaemei
丹凤眼	danfengyan
丹铅其面	danqianqimian
淡扫蛾眉	dansaoemei
单衫杏子红	danshanxingzihong
淡雅脱俗	danyatuosu
灯前目被底足帐中音	dengqianmubeidizuzhangzhongyin
滴溜溜	diliuliu
滴溜溜的	diliuliude
点额寿阳	dianeshouyang
点染曲眉	dianranqumei
东山窈窕娘幽梦恼襄王	dongshanyaotiaoniangyoumengnaoxiangwang
斗鸡眼	doujiyan
豆蔻华年	doukouhuanian
端丽冠绝	duanliguanjue
端正阔大	duanzhengkuoda
端庄秀丽	duanzhuangxiuli
娥娥理红妆纤纤抬素手	eelihongzhuangxianxiantaisushou
婀娜小蛮	enuoxiaoman
耳垂	erchui
耳聪目明	ercongmuming
耳朵	erduo
耳廓	erkuo
耳轮	erlun
耳鸣眼花	ermingyanhua
耳目失灵	ermushiling
耳目一新	ermuyixin
发辫	fabian
翻紫摇红	fanziyaohong
芳菲妩媚	fangfeiwumei
方面大耳	fangmiandaer
芳情惜花踏月	fangqingxihuatayue
方桃譬李	fangtaopili
芳香袭人	fangxiangxiren
芳香已盈路	fangxiangyiyinglu
芳馨满体	fangxinmanti
肥大	feida
绯红	feihong
肥头大耳	feitoudaer
粉白黛绿	fenbaidailv
粉红	fenhong
粉腻酥融娇欲滴	fennisurongjiaoyudi
粉腮红润秀眸惺忪	fensaihongrunxiumouxingsong
粉藻其姿	fenzaoqizi
粉妆玉琢	fenzhuangyuzhuo
丰标不凡	fengbiaobufan
凤钗头上风	fengchaitoushangfeng
风吹仙袂飘飘举	fengchuixianmeipiaopiaoju
风风韵韵	fengfengyunyun
风鬟雾鬓	fenghuanwubin
风髻雾鬓	fengjiwubin
风娇水媚	fengjiaoshuimei
风流尔雅	fengliuerya
风流蕴藉	fengliuyunjie
风情万种	fengqingwanzhong
丰容靓饰	fengrongliangshi
丰润白皙	fengrunbaixi
丰神冶丽	fengshenyeli
凤眼	fengyan
凤眼流盼	fengyanliupan
丰盈窈窕	fengyingyaotiao
丰腴	fengyu
丰姿绰约	fengzichuoyue
丰姿尽展	fengzijinzhan
丰姿冶丽	fengziyeli
浮翠流丹	fucuiliudan
傅粉施朱	fufenshizhu
芙蓉出水	furongchushui
绀黛羞春华	gandaixiuchunhua
绀发浓于沐	ganfanongyumu
干裂	ganlie
干瘦	ganshou
干燥	ganzao
高鼻梁	gaobiliang
隔户杨柳弱袅袅恰似十五女儿腰	gehuyangliuruoniaoniaoqiasishiwunveryao
拱梁大鼻	gongliangdabi
古碌碌	gululu
顾盼神飞	gupanshenfei
顾盼生辉撩人心怀	gupanshenghuiliaorenxinhuai
顾盼生神	gupanshengshen
顾倾人国	guqingrenguo
古铜色	gutongse
关切	guanqie
光滑	guanghua
光滑洁白	guanghuajiebai
光滑细腻	guanghuaxini
光洁	guangjie
光溜溜	guangliuliu
光艳逼人	guangyanbiren
瑰姿艳逸	guiziyanyi
国色天香	guosetianxiang
蛤蟆眼	hamayan
海棠标韵	haitangbiaoyun
含娇细语	hanjiaoxiyu
含娇倚榻	hanjiaoyita
汗津津	hanjinjin
含情凝睇	hanqingningdi
皓齿星眸	haochixingmou
好风南来轻摇纨扇	haofengnanlaiqingyaowanshan
皓如凝脂	haoruningzhi
鹤发	hefa
鹤发童颜	hefatongyan
黑乎乎	heihuhu
黑亮亮的	heiliangliangde
黑油油	heiyouyou
恒敛千金笑长垂双玉啼	henglianqianjinxiaochangchuishuangyuti
横眉冷眼	hengmeilengyan
红唇	hongchun
红粉青蛾	hongfenqinge
红华曼理	honghuamanli
红润	hongrun
红润透亮	hongruntouliang
红袖添香	hongxiutianxiang
厚实	houshi
蝴蝶髻	hudieji
花钿委地无人收方是真饰缘	huadianweidiwurenshoufangshizhenshiyuan
滑腻柔软	huanirouruan
花颜月貌	huayanyuemao
花遮柳掩	huazheliuyan
花枝招展	huazhizhaozhan
画中娇	huazhongjiao
怀恨阿娇	huaihenajiao
环肥燕瘦	huanfeiyanshou
回顾千万一笑千金	huiguqianwanyixiaoqianjin
回眸一笑百媚丛生	huimouyixiaobaimeicongsheng
回眸一笑百媚生	huimouyixiaobaimeisheng
回身举步恰似柳摇花笑润初妍	huishenjubuqiasiliuyaohuaxiaorunchuyan
慧眼	huiyan
浑浊	hunzhuo
火眼金睛	huoyanjinjing
肌理细腻骨肉匀	jilixinigurouyun
肌妙肤弱骨纤形	jimiaofuruoguxianxing
肌肉发达	jiroufada
肌肉隆起	jiroulongqi
肌若凝脂气若幽兰	jiruoningzhiqiruoyoulan
佳丽	jiali
坚定	jianding
剑眉	jianmei
剑眉倒竖	jianmeidaoshu
肩若削成腰若约素	jianruoxiaochengyaoruoyuesu
坚实	jianshi
坚硬	jianying
剪着平头	jianzhepingtou
绛唇映日	jiangchunyingri
绛紫	jiangzi
皎皎洁妇	jiaojiaojiefu
姣丽蛊媚	jiaoligumei
娇嫩丰盈	jiaonenfengying
皎若秋月	jiaoruoqiuyue
娇小玲珑	jiaoxiaolinglong
娇音萦萦	jiaoyinyingying
娇莺初啭微风振箫	jiaoyingchuzhuanweifengzhenxiao
狡诈	jiaozha
洁白无暇	jiebaiwuxia
芥芳沤郁	jiefangouyu
结结实实	jiejieshishi
结实	jieshi
结实有力	jieshiyouli
金钗十二	jinchaishier
金刚怒目	jingangnumu
筋骨嶙峋	jingulinxun
金莲凤头	jinlianfengtou
金色眉	jinsemei
紧缩锁	jinsuosuo
金屋藏娇	jinwucangjiao
金鱼眼	jinyuyan
金瓒玉珥	jinzanyuer
金针倒拈绣屏斜倚	jinzhendaonianxiupingxieyi
金枝玉叶	jinzhiyuye
静如处女	jingruchunv
睛若秋波	jingruoqiubo
镜中貌月下影隔帘形睡初醒	jingzhongmaoyuexiayinggelianxingshuichuxing
经珠不动凝两眉铅华销尽见天真	jingzhubudongningliangmeiqianhuaxiaojinjiantianzhen
炯炯有神	jiongjiongyoushen
酒微醺妆半卸	jiuweixunzhuangbanxie
酒糟鼻	jiuzaobi
卷发	juanfa
绝代佳人	juedaijiaren
绝色盖世	juesegaishi
绝色难求	juesenanqiu
绝一代之丽	jueyidaizhili
俊目	junmu
开颜发艳	kaiyanfayan
空谷幽兰	kongguyoulan
枯瘦	kushou
款步姗姗	kuanbushanshan
宽大	kuanda
蜡黄	lahuang
蜡黄色	lahuangse
懒起画蛾眉	lanqihuaemei
兰心蕙性	lanxinhuixing
兰熏桂馥	lanxunguifu
朗目	langmu
朗目疏眉	langmushumei
老花眼	laohuayan
老眼昏花	laoyanhunhua
泪痕尚尤在笑靥自然开	leihenshangyouzaixiaoyezirankai
棱角分明	lengjiaofenming
梨花带雨蝉露秋枝	lihuadaiyuchanluqiuzhi
丽女盛饰	linvshengshi
丽雪红妆	lixuehongzhuang
丽质仙娥生月殿	lizhixianeshengyuedian
莲花仙子	lianhuaxianzi
两鬓苍苍	liangbincangcang
凉冰冰	liangbingbing
两耳垂肩	liangerchuijian
两颊笑涡霞光荡漾	liangjiaxiaowoxiaguangdangyang
亮晶晶	liangjingjing
两眉入鬓	liangmeirubin
两眼发呆	liangyanfadai
两眼放光	liangyanfangguang
两眼如灯	liangyanrudeng
寥若晨星	liaoruochenxing
临去秋波那一转	linquqiubonayizhuan
凌波玉足	lingboyuzu
灵活	linghuo
凌乱	lingluan
灵巧	lingqiao
六朝粉黛	liuchaofendai
流风之回雪轻云之蔽日	liufengzhihuixueqingyunzhibiri
流光溢彩	liuguangyicai
刘海	liuhai
刘海儿	liuhaier
柳眉淡描	liumeidanmiao
柳眉倒竖	liumeidaoshu
柳眉如烟	liumeiruyan
柳眉杏眼	liumeixingyan
柳叶眉	liuyemei
留着背头	liuzhebeitou
龙眉凤眼	longmeifengyan
隆起	longqi
隆突	longtu
楼少女弄瑶瑟一曲未终坐长叹	loushaonvnongyaoseyiquweizhongzuochangtan
罗绮文秀	luoqiwenxiu
罗帷绮箔脂粉香	luoweiqibozhifenxiang
罗袖初单	luoxiuchudan
绿叶醉桃	lvyezuitao
满手老茧	manshoulaojian
貌似天仙	maositianxian
貌婉心娴	maowanxinxian
美不胜收	meibushengshou
眉将柳而争绿面共桃而竞红	meijiangliuerzhenglvmiangongtaoerjinghong
眉来眼去	meilaiyanqu
眉毛	meimao
美目	meimu
眉目传情	meimuchuanqing
眉目如画	meimuruhua
眉清目秀	meiqingmuxiu
美人才调信纵横非将此骨眉公卿	meirencaitiaoxinzonghengfeijiangcigumeigongqing
美人在时花满堂至今三载留余香	meirenzaishihuamantangzhijinsanzailiuyuxiang
美人在时花满堂至今三载闻余香	meirenzaishihuamantangzhijinsanzaiwenyuxiang
眉如春山	meiruchunshan
眉如卧蚕	meiruwocan
眉如新月	meiruxinyue
眉若远山	meiruoyuanshan
眉蔬目朗	meishumulang
眉似新月	meisixinyue
眉耸春山	meisongchunshan
媚态如风	meitairufeng
眉同翠羽	meitongcuiyu
媚眼	meiyan
眉宇	meiyu
朦胧惺忪	menglongxingsong
眯缝眼	mifengyan
面如冠玉	mianruguanyu
面赛芙蓉	miansaifurong
面相交映	mianxiangjiaoying
敏锐	minrui
名嫒美姝	mingaimeishu
名花倾国两相欢	minghuaqingguoliangxianghuan
明亮	mingliang
明媚妖娆	mingmeiyaorao
明眸皓齿	mingmouhaochi
明眸善睐	mingmoushanlai
明眸秀眉	mingmouxiumei
明艳端庄	mingyanduanzhuang
墨黑	mohei
眸含秋水	mouhanqiushui
眸清似水	mouqingsishui
目不转睛	mubuzhuanjing
目光如炬	muguangruju
目光深邃	muguangshensui
耐磨	naimo
袅袅娜娜	niaoniaonuonuo
凝视	ningshi
浓淡适中修短合度	nongdanshizhongxiuduanhedu
弄粉调朱	nongfentiaozhu
浓黑	nonghei
浓眉打眼	nongmeidayan
浓眉如炭	nongmeirutan
浓桃艳李	nongtaoyanli
浓重	nongzhong
浓妆艳裹	nongzhuangyanguo
女中丈夫	nvzhongzhangfu
潘鬓沈腰	panbinshenyao
胖乎乎	panghuhu
蓬蓬松松	pengpengsongsong
蓬松	pengsong
披肩发	pijianfa
翩若惊鸿婉若游龙	pianruojinghongwanruoyoulong
翩若轻云出岫	pianruoqingyunchuxiu
破裂	polie
铺红叠翠	puhongdiecui
普天壤其无俪旷千载而特生	putianrangqiwulikuangqianzaiertesheng
奇服旷世骨像应图	qifukuangshiguxiangyingtu
琪花瑶草自是风流	qihuayaocaozishifengliu
千朝回盼万载流芳	qianchaohuipanwanzailiufang
千娇百媚	qianjiaobaimei
纤手	qianshou
俏丽俊逸	qiaolijunyi
螓首蛾眉	qinshouemei
青白	qingbai
清澈明亮	qingchemingliang
清脆圆滑	qingcuiyuanhua
情多累美人	qingduoleimeiren
青光眼	qingguangyan
倾国倾城	qingguoqingcheng
清喉娇啭	qinghoujiaozhuan
青筋暴露	qingjinbaolu
青眉如黛	qingmeirudai
清眸流盼	qingmouliupan
轻云出岫	qingyunchuxiu
青紫	qingzi
琼林玉树	qionglinyushu
琼姿花貌	qiongzihuamao
秋波	qiubo
秋娘渡与秦娘桥	qiuniangduyuqinniangqiao
秋水伊人	qiushuiyiren
全露天真	quanlutianzhen
群芳难逐天香国艳	qunfangnanzhutianxiangguoyan
裙拖八幅湘江水	quntuobafuxiangjiangshui
人面桃花情致两饶	renmiantaohuaqingzhiliangrao
柔滑	rouhua
柔美飘逸	roumeipiaoyi
柔嫩	rounen
柔情绰态	rouqingchuotai
柔桡轻曼妩媚纤弱	rouraoqingmanwumeixianruo
柔弱无骨	rouruowugu
柔心弱骨	rouxinruogu
如短如长弗浓弗细	ruduanruchangfunongfuxi
如花似玉	ruhuasiyu
弱柳扶风	ruoliufufeng
弱水三千靓女如云	ruoshuisanqianliangnvruyun
腮晕潮红羞娥凝绿	saiyunchaohongxiueninglv
扫眉才女	saomeicainv
扫帚眉	saozhoumei
色艺双全	seyishuangquan
色艺无双	seyiwushuang
稍染腥红	shaoranxinghong
韶颜雅容	shaoyanyarong
深不可测	shenbukece
深沉睿智	shenchenruizhi
神清骨秀	shenqingguxiu
身轻如燕	shenqingruyan
深邃	shensui
深邃犀利	shensuixili
盛服浓妆	shengfunongzhuang
盛颜仙姿	shengyanxianzi
湿润	shirun
失望	shiwang
狮子鼻	shizibi
手可生花	shoukeshenghua
手如柔荑颜如舜华	shoururoutiyanrushunhua
瘦弱	shouruo
守身如玉	shoushenruyu
瘦削	shouxue
淑丽韶好	shulishaohao
鼠目寸光	shumucunguang
淑女才情	shunvcaiqing
淑逸闲华	shuyixianhua
双鬓隔香红	shuangbingexianghong
双鬓鸦雏色	shuangbinyachuse
双珥照夜煜煜垂晖	shuangerzhaoyeyuyuchuihui
双眉高挑	shuangmeigaotiao
双目澄澈	shuangmuchengche
双目传神	shuangmuchuanshen
双目似箭	shuangmusijian
双瞳剪水	shuangtongjianshui
水晶晶的	shuijingjingde
水灵灵的	shuilinglingde
水汪汪	shuiwangwang
水汪汪的	shuiwangwangde
睡眼惺忪	shuiyanxingsong
水月观音	shuiyueguanyin
四方阔口	sifangkuokou
四肢匀称	sizhiyunchen
松塌塌	songtata
素齿朱唇	suchizhuchun
素服花下	sufuhuaxia
蒜头鼻	suantoubi
所谓伊人在水一方	suoweiyirenzaishuiyifang
塌鼻子	tabizi
踏五色祥云捧灿烂花枝	tawusexiangyunpengcanlanhuazhi
态浓意远淑且真	tainongyiyuanshuqiezhen
炭黑	tanhei
桃花玉面	taohuayumian
桃腮杏面	taosaixingmian
桃羞李让	taoxiulirang
桃之夭夭灼灼其华	taozhiyaoyaozhuozhuoqihua
天寒翠袖薄日暮倚修竹	tianhancuixiuborimuyixiuzhu
天女散花	tiannvsanhua
天生丽质	tianshenglizhi
天香国色	tianxiangguose
眺望	tiaowang
挺鼻如峰	tingbirufeng
婷婷玉立	tingtingyuli
挺直	tingzhi
通红	tonghong
头发	toufa
头上倭堕髻耳中明月珠	toushangwoduojierzhongmingyuezhu
腿脚利索	tuijiaolisuo
腕白肌红细圆无节	wanbaijihongxiyuanwujie
宛丘淑媛	wanqiushuyuan
婉转双蛾远山色	wanzhuanshuangeyuanshanse
望眼欲穿	wangyanyuchuan
为含金柳为芳兰芷为雨前茶	weihanjinliuweifanglanzhiweiyuqiancha
微翘	weiqiao
微施粉泽	weishifenze
委委佗佗美也皆佳丽美艳之貌	weiweituotuomeiyejiejialimeiyanzhimao
微晕红潮一线拂向桃腮红	weiyunhongchaoyixianfuxiangtaosaihong
温柔	wenrou
温柔之至	wenrouzhizhi
温婉柔顺	wenwanroushun
温雅含蓄	wenyahanxu
卧蚕眉	wocanmei
乌发如云	wufaruyun
乌黑	wuhei
乌黑油亮	wuheiyouliang
乌黑有神	wuheiyoushen
舞尽霓裳	wujinnichang
雾里看花水中望望月云边探竹	wulikanhuashuizhongwangwangyueyunbiantanzhu
乌亮	wuliang
乌溜溜的	wuliuliude
巫女洛神	wunvluoshen
舞态生风	wutaishengfeng
细长	xichang
西川紫姑	xichuanzigu
细眉长睫	ximeichangjie
细眯眼	ximiyan
细嫩	xinen
细嫩温柔	xinenwenrou
细腻	xini
细腻丰满	xinifengman
细皮嫩肉	xipinenrou
细巧挺秀	xiqiaotingxiu
细润如脂粉光若腻	xirunruzhifenguangruoni
纤长	xianchang
娴静端庄	xianjingduanzhuang
鲜嫩	xiannen
纤巧	xianqiao
纤细	xianxi
纤纤细细	xianxianxixi
纤纤玉手	xianxianyushou
纤指拈棋	xianzhinianqi
仙姿玉色	xianziyuse
香草美人	xiangcaomeiren
香簟爽眠幽韵撩人	xiangdianshuangmianyouyunliaoren
香闺秀阁	xiangguixiuge
香肌玉体	xiangjiyuti
香娇玉嫩	xiangjiaoyunen
湘纹飘逸	xiangwenpiaoyi
香消玉殒	xiangxiaoyuyun
相携踏青绣履遗香	xiangxietaqingxiulvyixiang
香艳夺目	xiangyanduomu
小白长红越女腮	xiaobaichanghongyuenvsai
笑比褒姒	xiaobibaosi
小窗凝坐独幽情	xiaochuangningzuoduyouqing
小巧	xiaoqiao
小巧玲珑	xiaoqiaolinglong
斜抱云和	xiebaoyunhe
携佳人兮步迟迟	xiejiarenxibuchichi
斜视眼	xieshiyan
斜眼	xieyan
新月如佳人出海初弄色	xinyuerujiarenchuhaichunongse
新月如佳人潋潋初弄月	xinyuerujiarenlianlianchunongyue
杏儿眼	xingeryan
杏面桃腮	xingmiantaosai
星眸	xingmou
星眸微嗔	xingmouweichen
杏眼	xingyan
杏眼明仁	xingyanmingren
修长	xiuchang
修长美丽	xiuchangmeili
修耳隆鼻	xiuerlongbi
秀眉	xiumei
秀美	xiumei
修眉联娟	xiumeilianjuan
秀目	xiumu
秀目黛眉	xiumudaimei
秀色可餐	xiusekecan
秀外慧中	xiuwaihuizhong
修项秀颈	xiuxiangxiujing
秀靥艳比花娇	xiuyeyanbihuajiao
蓄着分头	xuzhefentou
雪肤花貌	xuefuhuamao
血盆大口	xuependakou
学生发	xueshengfa
眼大无神	yandawushen
眼花缭乱	yanhualiaoluan
眼睛	yanjing
眼睛贼亮	yanjingzeiliang
艳绝一时	yanjueyishi
艳美绝伦	yanmeijuelun
艳美绝俗	yanmeijuesu
艳美无敌	yanmeiwudi
嫣然巧笑	yanranqiaoxiao
艳如桃李	yanrutaoli
颜如渥丹	yanruwodan
颜如玉气如兰	yanruyuqirulan
眼若流星	yanruoliuxing
艳若桃李	yanruotaoli
艳色绝世	yansejueshi
颜炜含荣	yanweihanrong
艳冶柔媚	yanyeroumei
掩映生姿	yanyingshengzi
燕语莺啼	yanyuyingti
燕支多美女走马轻风雪	yanzhiduomeinvzoumaqingfengxue
艳妆华服	yanzhuanghuafu
燕子楼空佳人何在	yanziloukongjiarenhezai
妍姿俏丽	yanziqiaoli
妍姿妖艳	yanziyaoyan
仰抚云鬓俯弄芳菲	yangfuyunbinfunongfangfei
仰抚云髻俯弄芳荣	yangfuyunjifunongfangrong
羊角辫	yangjiaobian
药栏花榭生妙龄	yaolanhuaxieshengmiaoling
耀如春华	yaoruchunhua
