白发	baifa
白发斑斑	baifabanban
白发苍苍	baifacangcang
白发如银	baifaruyin
斑白	banbai
斑斑白发	banbanbaifa
辫儿	bianer
辫子	bianzi
辫子短粗	bianziduancu
鬓发	binfa
鬓发斑白	binfabanbai
鬓脚	binjiao
鬓角	binjiao
鬓角斑白	binjiaobanbai
鬓角花白	binjiaohuabai
鬓如银霜	binruyinshuang
鬓若刀裁	binruodaocai
鬓若银霜	binruoyinshuang
波浪发式	bolangfashi
波浪起伏	bolangqifu
波浪式	bolangshi
长辫	changbian
长辫垂胸	changbianchuixiong
长发披肩	changfapijian
垂髫	chuitiao
刺猬头	ciweitou
粗硬	cuying
短辫	duanbian
发白如银	fabairuyin
发辫	fabian
发不遮顶	fabuzheding
发茬粗黑	fachacuhei
发髻	faji
发如乱麻	faruluanma
钢丝发	gangsifa
皓首白发	haoshoubaifa
鹤发	hefa
鹤发童颜	hefatongyan
黑鬓	heibin
黑发	heifa
黑发如云	heifaruyun
黑色瀑布	heisepubu
黑油油	heiyouyou
红颜银须	hongyanyinxu
蝴蝶髻	hudieji
鹄发	hufa
花白	huabai
华发	huafa
华发苍颜	huafacangyan
灰白	huibai
金发	jinfa
金发碧眼	jinfabiyan
卷发	juanfa
卷毛发	juanmaofa
两鬓斑白	liangbinbanbai
两鬓苍苍	liangbincangcang
两鬓染霜	liangbinranshuang
亮泽	liangze
刘海儿	liuhaier
乱发	luanfa
乱蓬蓬	luanpengpeng
绿鬓	lvbin
绿发	lvfa
马尾辫	maweibian
满头飞絮	mantoufeixu
满头青丝	mantouqingsi
满头银发	mantouyinfa
满头银丝	mantouyinsi
墨玉	moyu
奶毛	naimao
浓黑	nonghei
浓密	nongmi
浓密柔润	nongmirourun
盘桓髻	panhuanji
庞眉皓发	pangmeihaofa
蓬松	pengsong
蓬松卷发	pengsongjuanfa
蓬松如云	pengsongruyun
蓬松自然	pengsongziran
披肩长发	pijianchangfa
披肩发	pijianfa
披肩散发	pijiansanfa
披头散发	pitousanfa
齐耳短发	qierduanfa
齐眉刘海	qimeiliuhai
青丝	qingsi
染霜	ranshuang
茸茸短发	rongrongduanfa
柔软	rouruan
柔软光洁	rouruanguangjie
深黑	shenhei
丝丝白发	sisibaifa
胎发	taifa
胎毛	taimao
烫发	tangfa
头发	toufa
头发描写词	toufamiaoxieci
头发浓密	toufanongmi
头发蓬乱	toufapengluan
头发稀疏	toufaxishu
头髻	touji
透亮	touliang
秃顶	tuding
乌鬓	wubin
乌发	wufa
乌黑	wuhei
乌黑长发	wuheichangfa
乌黑光洁	wuheiguangjie
乌黑光亮	wuheiguangliang
乌亮	wuliang
稀散	xisan
稀疏	xishu
纤细长辫	xianxichangbian
小辫儿	xiaobianer
小平头	xiaopingtou
秀发柔美	xiufaroumei
须发皆白	xufajiebai
须发如银	xufaruyin
须髯飘飘	xuranpiaopiao
宣发	xuanfa
漩涡发式	xuanwofashi
学生发	xueshengfa
雅髻	yaji
羊角辫	yangjiaobian
一绺头发	yiliutoufa
银鬓	yinbin
银发	yinfa
银髯飘拂	yinranpiaofu
银丝	yinsi
油亮	youliang
油亮光洁	youliangguangjie
圆圆发髻	yuanyuanfaji
云鬓	yunbin
云髻	yunji
