暗黄的脸	anhuangdelian
白白净净	baibaijingjing
白净	baijing
白净柔嫩	baijingrounen
白蜡	baila
白里透红	bailitouhong
白脸	bailian
白嫩	bainen
白皙	baixi
白玉	baiyu
苞米脸	baomilian
扁脸	bianlian
扁平脸	bianpinglian
病黄	binghuang
病容	bingrong
菜色	caise
惨白	canbai
苍白	cangbai
苍白的脸	cangbaidelian
长方脸	changfanglian
长相	changxiang|zhangxiang
潮红	chaohong
赤黑	chihei
赤红	chihong
愁眉苦脸	choumeikulian
愁云满面	chouyunmanmian
大花脸	dahualian
鹅蛋脸	edanlian
方脸	fanglian
方面大耳	fangmiandaer
飞红	feihong
绯红	feihong
妃色	feise
粉白	fenbai
粉不叽叽	fenbujiji
粉丹丹	fendandan
粉嘟嘟	fendudu
粉红	fenhong
粉红脸	fenhonglian
粉乎乎	fenhuhu
粉脸	fenlian
粉脸含春	fenlianhanchun
粉面桃腮	fenmiantaosai
粉扑扑	fenpupu
粉润润	fenrunrun
粉团团	fentuantuan
粉盈盈	fenyingying
浮肿的脸	fuzhongdelian
古铜色	gutongse
瓜子脸	guazilian
怪脸	guailian
国字脸	guozilian
褐色	hese
和颜悦色	heyanyuese
黑不溜秋	heibuliuqiu
黑红	heihong
黑乎乎	heihuhu
黑黄色	heihuangse
黑里透红	heilitouhong
黑色	heise
红白相间	hongbaixiangjian
红嘟嘟	hongdudu
红光满面	hongguangmanmian
红栗色	honglise
红脸	honglian
红脸蛋	hongliandan
红喷喷	hongpenpen
红扑扑	hongpupu
红润	hongrun
红润润	hongrunrun
红堂堂	hongtangtang
红腾腾	hongtengteng
红铜色	hongtongse
红彤彤	hongtongtong
红晕	hongyun
红晕消失	hongyunxiaoshi
红中透黑	hongzhongtouhei
红中透紫	hongzhongtouzi
猴子脸	houzilian
虎头虎脑	hutouhunao
花红	huahong
黄褐色	huanghese
黄里透青	huanglitouqing
黄脸	huanglian
黄瘦	huangshou
灰白	huibai
灰黄	huihuang
饥色	jise
尖脸	jianlian
尖下巴	jianxiaba
酱紫色	jiangzise
焦黄	jiaohuang
窘红	jionghong
酒红	jiuhong
酒窝	jiuwo
酒靥	jiuye
口红	kouhong
愧色	kuise
蜡黄	lahuang
蜡黄的脸	lahuangdelian
冷峻	lengjun
黎黑	lihei
黧黑	lihei
脸蛋	liandan
脸蛋儿	liandaner
脸蛋子	liandanzi
脸儿浑圆	lianerhunyuan
脸儿晕红	lianeryunhong
脸红	lianhong
脸颊	lianjia
脸面	lianmian
脸盘儿	lianpaner
脸庞	lianpang
脸庞儿	lianpanger
脸庞描写词	lianpangmiaoxieci
脸庞清秀	lianpangqingxiu
脸如玫瑰	lianrumeigui
脸色	lianse
脸色惨白	liansecanbai
脸色苍白	liansecangbai
脸色干黄	lianseganhuang
脸色红润	liansehongrun
脸色灰黄	liansehuihuang
脸色蜡黄	lianselahuang
脸色如蜡	lianserula
脸色煞白	lianseshabai
脸色铁青	liansetieqing
脸色黝黑	lianseyouhei
脸膛	liantang
脸膛赤黑	liantangchihei
脸膛儿	liantanger
脸膛棕红	liantangzonghong
两颊	liangjia
两颊绯红	liangjiafeihong
驴面	lvmian
马脸	malian
麻脸	malian
马面	mamian
满脸横肉	manlianhengrou
满脸胡茬	manlianhucha
满面春风	manmianchunfeng
满面红光	manmianhongguang
玫瑰红	meiguihong
眉眼高低	meiyangaodi
面红耳赤	mianhongerchi
面黄肌瘦	mianhuangjishou
面颊	mianjia
面孔	miankong
面阔口方	miankuokoufang
面貌	mianmao
面目	mianmu
面庞	mianpang
面庞白净	mianpangbaijing
面容	mianrong
面容憔悴	mianrongqiaocui
面容清癯	mianrongqingqu
面容清瘦	mianrongqingshou
面如菜色	mianrucaise
面如土色	mianrutuse
面如重枣	mianruzhongzao
面若鹅卵	mianruoeluan
面若傅朱	mianruofuzhu
面若敷朱	mianruofuzhu
面若银盆	mianruoyinpen
面色	mianse
面色灰黄	miansehuihuang
面无血色	mianwuxuese
面颜	mianyan
面有赧色	mianyounanse
墨面	momian
木然	muran
模样	muyang
难色	nanse
胖脸	panglian
皮泡脸肿	pipaolianzhong
苹果脸	pingguolian
平头正脸	pingtouzhenglian
气色	qise
青黄	qinghuang
青灰色	qinghuise
穷酸相	qiongsuanxiang
颧骨高耸	quangugaosong
容光	rongguang
容光焕发	rongguanghuanfa
容貌	rongmao
容颜	rongyan
容颜苍老	rongyancanglao
容颜枯槁	rongyankugao
肉红	rouhong
肉色	rouse
腮帮子	saibangzi
腮红	saihong
腮颊	saijia
腮颊窝瘪	saijiawobie
三角脸	sanjiaolian
神采	shencai
神采飞扬	shencaifeiyang
神采奕奕	shencaiyiyi
神气	shenqi
神情	shenqing
神色	shense
神态	shentai
声色	shengse
瘦猴脸	shouhoulian
瘦黄	shouhuang
瘦脸	shoulian
四方脸	sifanglian
四方脸膛	sifangliantang
桃花脸	taohualian
桃色	taose
铁青	tieqing
通红	tonghong
透红	touhong
土红色	tuhongse
椭圆	tuoyuan
椭圆脸	tuoyuanlian
瓦刀脸	wadaolian
娃娃脸	wawalian
微黑	weihei
五官端正	wuguanduanzheng
妩媚	wumei
喜笑颜开	xixiaoyankai
喜形于色	xixingyuse
下巴	xiaba
下巴颏儿	xiabakeer
下颌	xiahe
相貌	xiangmao
笑涡	xiaowo
笑窝	xiaowo
笑靥	xiaoye
杏脸桃腮	xingliantaosai
杏仁小脸	xingrenxiaolian
杏腮桃脸	xingsaitaolian
羞红	xiuhong
鸭蛋脸	yadanlian
颜面	yanmian
胭脂红	yanzhihong
洋红	yanghong
洋娃娃	yangwawa
仪容	yirong
银盆脸	yinpenlian
黝黑	youhei
玉颜	yuyan
