百般难描	baibannanmiao
白璧无暇	baibiwuxia
白巾翠袖	baijincuixiu
百年难遇	bainiannanyu
般般入画	banbanruhua
班姬续史之姿	banjixushizhizi
半妆美人	banzhuangmeiren
贝齿	beichi
鬓云乱洒酥胸半掩	binyunluansasuxiongbanyan
鬓云欲度香腮雪	binyunyuduxiangsaixue
冰肌莹彻	bingjiyingche
冰肌玉肤	bingjiyufu
薄粉敷面	bofenfumian
步履轻盈	bulvqingying
才貌双绝	caimaoshuangjue
蝉露秋枝	chanluqiuzhi
长安水边多丽人	changanshuibianduoliren
长垂双玉啼	changchuishuangyuti
长颦减翠	changpinjiancui
呈皓腕于轻纱	chenghaowanyuqingsha
澄妆影于歌扇	chengzhuangyingyugeshan
齿如编贝	chirubianbei
齿如含贝	chiruhanbei
齿如齐贝	chiruqibei
楚楚动人	chuchudongren
楚楚衣衫	chuchuyishan
出水芙蓉	chushuifurong
传金翠杯于素手	chuanjincuibeiyusushou
春半桃花	chunbantaohua
春光外泄	chunguangwaixie
唇红齿白	chunhongchibai
唇色朱樱一点	chunsezhuyingyidian
翠彩发蛾眉	cuicaifaemei
丹唇列素齿	danchunliesuchi
丹唇外朗	danchunwailang
丹铅其面	danqianqimian
淡扫蛾眉	dansaoemei
单衫杏子红	danshanxingzihong
淡雅如仙	danyaruxian
淡雅脱俗	danyatuosu
点额寿阳	dianeshouyang
点染曲眉	dianranqumei
东山窈窕娘	dongshanyaotiaoniang
豆蔻华年	doukouhuanian
端丽冠绝	duanliguanjue
多情善感	duoqingshangan
娥娥理红妆	eelihongzhuang
婀娜多姿	enuoduozi|enaduozi
婀娜小蛮	enuoxiaoman
二八年华	erbanianhua
耳中明月珠	erzhongmingyuezhu
耳著明月铛	erzhumingyuedang
翻紫摇红	fanziyaohong
芳菲妩媚	fangfeiwumei
芳情惜花踏月	fangqingxihuatayue
方桃譬李	fangtaopili
芳香已盈路	fangxiangyiyinglu
非将此骨眉公卿	feijiangcigumeigongqing
粉白黛黑	fenbaidaihei
粉白黛绿	fenbaidailv
粉腻酥融娇欲滴	fennisurongjiaoyudi
粉藻其姿	fenzaoqizi
丰标不凡	fengbiaobufan
凤钗头上风	fengchaitoushangfeng
风吹仙袂飘飘举	fengchuixianmeipiaopiaoju
风风韵韵	fengfengyunyun
风髻雾鬓	fengjiwubin
风娇水媚	fengjiaoshuimei
风流尔雅	fengliuerya
风流蕴藉	fengliuyunjie
风情万种	fengqingwanzhong
丰容靓饰	fengrongliangshi
丰神冶丽	fengshenyeli
丰盈窈窕	fengyingyaotiao
丰姿绰约	fengzichuoyue
丰姿尽展	fengzijinzhan
丰姿冶丽	fengziyeli
浮翠流丹	fucuiliudan
傅粉施朱	fufenshizhu
俯弄芳荣	funongfangrong
拂向桃腮红	fuxiangtaosaihong
绀黛羞春华眉	gandaixiuchunhuamei
绀发浓于沐	ganfanongyumu
隔户杨柳弱袅袅	gehuyangliuruoniaoniao
骨像应图	guxiangyingtu
光艳逼人	guangyanbiren
瑰姿艳逸	guiziyanyi
国色天香	guosetianxiang
海棠标韵	haitangbiaoyun
含娇细语	hanjiaoxiyu
含娇倚榻	hanjiaoyita
含情凝睇	hanqingningdi
皓齿内鲜	haochineixian
皓齿星眸	haochixingmou
皓如凝脂	haoruningzhi
恒敛千金笑	henglianqianjinxiao
红粉青蛾	hongfenqinge
红华曼理	honghuamanli
滑腻似酥	huanisisu
花颜月貌	huayanyuemao
花遮柳掩	huazheliuyan
花枝招展	huazhizhaozhan
怀恨阿娇	huaihenajiao
环肥燕瘦	huanfeiyanshou
回顾千万	huiguqianwan
回眸一笑百媚生	huimouyixiaobaimeisheng
蕙质兰心	huizhilanxin
肌理细腻骨肉匀	jilixinigurouyun
肌妙肤	jimiaofu
肌若凝脂	jiruoningzhi
肩若削成	jianruoxiaocheng
绛唇映日	jiangchunyingri
皎皎洁妇	jiaojiaojiefu
姣丽蛊媚	jiaoligumei
娇嫩丰盈	jiaonenfengying
皎若秋月	jiaoruoqiuyue
娇小玲珑	jiaoxiaolinglong
娇莺初啭	jiaoyingchuzhuan
洁白素衣清幽淡雅	jiebaisuyiqingyoudanya
芥芳沤郁	jiefangouyu
金钗十二	jinchaishier
巾帼风姿	jinguofengzi
金莲凤头	jinlianfengtou
金瓒玉珥	jinzanyuer
金针倒拈绣屏斜倚	jinzhendaonianxiupingxieyi
金枝玉叶	jinzhiyuye
精妙世无双	jingmiaoshiwushuang
静如处女	jingruchunv
酒微醺妆半卸	jiuweixunzhuangbanxie
