孙权	sunquan
晋代魏	jindaiwei
黄巾起义	huangjinqiyi
三国局面	sanguojumian
中平六年	zhongpingliunian
灵帝死	lingdisi
刘辩	liubian
少帝	shaodi
何太后	hetaihou
何进	hejin
袁绍	yuanshao
八校尉兵	baxiaoweibing
蹇硕	jianshuo
董卓	dongzhuo
为援	weiyuan
尽揽朝政	jinlanchaozheng
另立	lingli
刘协	liuxie
为帝	weidi
东汉朝臣	donghanchaochen
牧守	mushou
东郡太守	dongjuntaishou
桥瑁	qiaomao
关东	guandong
州郡	zhoujun
纷纷响应	fenfenxiangying
初平元年	chupingyuannian
西迁长安	xiqianchangan
关东联军	guandonglianjun
乌合之众	wuhezhizhong
初平三年	chupingsannian
长安兵变	changanbingbian
韩遂	hansui
马腾	mateng
公孙瓒	gongsunzan
公孙度	gongsundu
陶谦	taoqian
刘备	liubei
吕布	lvbu
袁术	yuanshu
刘璋	liuzhang
张鲁	zhanglu
道教	daojiao
魏武帝	weiwudi
陈留	chenliu
聚兵反抗	jubingfankang
济北	jibei
诱降	youxiang
黄巾军	huangjinjun
三十万众	sanshiwanzhong
青州兵	qingzhoubing
建安元年	jiananyuannian
许县	xuxian
以蓄军资	yixujunzi
建安五年	jiananwunian
两军进行	liangjunjinxing
官渡之战	guanduzhizhan
邺城	yecheng
中原地区	zhongyuandiqu
乌桓	wuhuan
刘琮	liucong
鲁肃	lusu|lua
商讨对策	shangtaoduice
诸葛亮	zhugeliang|zhugea
柴桑	chaisang
共抗曹军	gongkangcaojun
孙刘联军	sunliulianjun
以少胜多	yishaoshengduo
赤壁	chibi
长江南岸	changjiangnanan
三国鼎立	sanguodingli
赤壁之战	chibizhizhan
关中	guanzhong
陇西	longxi
关羽	guanyu|guana
称帝	chengdi
魏文帝	weiwendi
都洛阳	douluoyang
蜀汉	shuhan
蜀军	shujun
吴军	wujun
夷陵	yiling
陆逊	luxun|lua
吴大帝	wudadi
建业	jianye
建康	jiankang
鼎足之势	dingzuzhishi
戊己校尉	wujixiaowei
南部诸州	nanbuzhuzhou
大渡河	daduhe
世家大族	shijiadazu
名士	mingshi
或者在	huozhezai
讥议	jiyi
边让	bianrang
士大夫	shidafu
赘阉遗丑	zhuiyanyichou
文武官员	wenwuguanyuan
通谋	tongmou
唯才是举	weicaishiju
拔用	bayong
名教	mingjiao
真正准则	zhenzhengzhunze
陈群	chenqun|chena
稳定局势	wendingjushi
租调制	zutiaozhi
人头税	rentoushui
大族豪强	dazuhaoqiang
庇荫佃客	biyindianke
苍天已死	cangtianyisi
黄天当立	huangtiandangli
岁在甲子	suizaijiazi
天下大吉	tianxiadaji
天下大势	tianxiadashi
分久必合	fenjiubihe
合久必分	hejiubifen
阿会喃	ahuinan
鲍信	baoxin
鲍忠	baozhong
鲍隆	baolong
鲍素	baosu
边洪	bianhong
卞喜	bianxi
卞氏	bianshi
步骘	buzhi
步阐	buchan
邴原	bingyuan
卑衍	beiyan
毕轨	bigui
白寿	baishou
陈蕃	chenfan
陈耽	chendan
陈琳	chenlin
陈宫	chengong|chena
陈翔	chenxiang
陈生	chensheng
陈登	chendeng|chena
陈炜	chenwei
陈武	chenwu
陈兰	chenlan
陈珪	chengui
陈纪	chenji
陈震	chenzhen
陈横	chenheng
陈孙	chensun
陈氏	chenshi
陈就	chenjiu
陈矫	chenjiao
陈应	chenying
陈式	chenshi
陈造	chenzao
陈泰	chentai
陈骞	chenqian
陈俊	chenjun
陈元	chenyuan
程旷	chengkuang
程远志	chengyuanzhi
程普	chengpu
程昱	chengyu|chenga
程秉	chengbing
程咨	chengzi
