阿忽察	ahucha
阿里不哥	alibuge
阿速吉八	asujiba
阿速台	asutai
爱育黎拔力八达	aiyulibalibada
八赤蛮	bachiman
拔都	badu
北元	beiyuan
伯颜	boyan
常遇春	changyuchun
长子军西征	zhangzijunxizheng
成吉思汗	chengjisihan
大汗	dahan
大元	dayuan
段兴智	duanxingzhi
伏尔加河	fuerjiahe
高太样	gaotaiyang
鬼力赤	guilichi
贵由	guiyou
海山	haishan
汗王	hanwang
和林	helin
和世剌	heshila
忽必烈	hubilie
皇太子	huangtaizi
监国	jianguo
金史	jinshi
开平	kaiping
阔阔术	kuokuoshu
李真常	lizhenchang
辽史	liaoshi
临安	linan
刘秉忠	liubingzhong
刘福通	liufutong
陆秀夫	luxiufu
蒙哥	mengge
蒙哥汗	menggehan
蒙古高原	menggugaoyuan
明宗	mingzong
摩河罗峻	moheluojun
漠北	mobei
南坡	nanpo
钦察首领	qinchashouling
三史	sanshi
善阐	shanchan
上都	shangdou
赦段兴智	sheduanxingzhi
世祖	shizu
顺帝	shundi
硕德八剌	shuodebala
宋恭帝	songgongdi
宋史	songshi
泰定帝	taidingdi
太宗	taizong
太祖	taizu
天光帝	tianguangdi
天顺帝	tianshundi
铁木真	tiemuzhen
铁穆耳	tiemuer
帖哥	tiege
魏初	weichu
文宗	wenzong
窝阔台	wokuotai
窝阔台汗	wokuotaihan
吴激	wuji
吴镇	wuzhen
西辽	xiliao
西夏	xixia
鲜于枢	xianyushu
谢太后	xietaihou
谢应芳	xieyingfang
行端	xingduan
行汉法	xinghanfa
徐再思	xuzaisi
许衡	xuheng
许谦	xuqian
许有壬	xuyouren
薛兰英	xuelanying
燕公楠	yangongnan
杨朝英	yangchaoying
杨果	yangguo
杨维桢	yangweizhen
杨载	yangzai
姚燧	yaosui
耶律楚材	yelvchucai
也孙铁木儿	yesuntiemuer
尹志平	yinzhiping
英宗	yingzong
应天	yingtian
于立	yuli
虞集	yuji
虞荐发	yujianfa
俞和	yuhe
宇文虚中	yuwenxuzhong
元成宗	yuanchengzong
元明宗	yuanmingzong
元宁宗	yuanningzong
元仁宗	yuanrenzong
元上都	yuanshangdu
元世祖	yuanshizu
元统	yuantong
元文宗	yuanwenzong
元武宗	yuanwuzong
元遗山	yuanyishan
元英宗	yuanyingzong
元贞	yuanzhen
掌斡脱	zhangwotuo
掌帑藏	zhangtangcang
至顺	zhishun
至元	zhiyuan
至正	zhizheng
中书省	zhongshusheng
中统	zhongtong
朱元璋	zhuyuanzhang
追尊	zhuizun
宗王	zongwang
孛儿只斤	beierzhijin
孛儿只斤铁木真	beierzhijintiemuzhen
孛兰合剌孙	beilanhelasun
孛鲁合	beiluhe
睿宗	ruizong
