拜月亭	baiyueting
汴河冤	bianheyuan
并头莲	bingtoulian
不当差	budangcha
不及父	bujifu
藏阄会	cangjiuhui
春衫记	chunshanji
打李焕	dalihuan
打吕胥	dalvxu
打瓦罐	dawaguan
单刀会	dandaohui
狄梁公	dilianggong
东墙记	dongqiangji
斗鸡会	doujihui
窦娥冤	doueyuan
对玉钗	duiyuchai
贩扬州	fanyangzhou
绯衣梦	feiyimeng
凤皇船	fenghuangchuan
凤凰儿	fenghuanger
复勘赃	fukanzang
复落娼	fuluochang
干请俸	ganqingfeng
赶江江	ganjiangjiang
鬼团圆	guituanyuan
害夫人	haifuren
后庭花	houtinghua
蝴蝶梦	hudiemeng
谎秀才	huangxiucai
荐马周	jianmazhou
江梅怨	jiangmeiyuan
浇花旦	jiaohuadan
金凤钗	jinfengchai
金线池	jinxianchi
锦帆舟	jinfanzhou
进西施	jinxishi
救风尘	jiufengchen
救亚子	jiuyazi
救周勃	jiuzhoubo
绝缨会	jueyinghui
开哑禅	kaiyachan
勘龙衣	kanlongyi
看钱奴	kanqiannu
哭存孝	kucunxiao
哭韩信	kuhanxin
哭魏徵	kuweizheng
哭香囊	kuxiangnang
哭昭君	kuzhaojun
兰昌宫	lanchanggong
酹江月	leijiangyue
立宣帝	lixuandi
丽春园	lichunyuan
梁山伯	liangshanbo
料到底	liaodaodi
凌波梦	lingbomeng
刘夫人	liufuren
刘耍和	liushuahe
流红叶	liuhongye
柳丝亭	liusiting
鲁斋郎	luzhailang
栾城驿	luanchengyi
论杜康	lundukang
骂上元	mashangyuan
牡丹园	mudanyuan
闹衡州	naohengzhou
琵琶怨	pipayuan
牵龙舟	qianlongzhou
钱塘梦	qiantangmeng
乔教学	qiaojiaoxue
青陵台	qinglingtai
穷风月	qiongfengyue
瘸马记	quemaji
忍字记	renziji
认先皇	renxianhuang
蕊珠宫	ruizhugong
三告状	sangaozhuang
三撇嵌	sanpieqian
渑池会	mianchihui
双赴梦	shuangfumeng
双驾车	shuangjiache
双教化	shuangjiaohua
双弃瓢	shuangqipiao
双献头	shuangxiantou
送寒衣	songhanyi
谇范睢	suifansui
锁水母	suoshuimu
铜瓦记	tongwaji
万花堂	wanhuatang
王公绰	wanggongchuo
王皇后	wanghuanghou
望江亭	wangjiangting
梧桐雨	wutongyu
五侯宴	wuhouyan
惜春堂	xichuntang
襄阳会	xiangyanghui
谢天香	xietianxiang
幸月宫	xingyuegong
宣华妃	xuanhuafei
谒鲁肃	yelusu
姻缘簿	yinyuanbu
银筝怨	yinzhengyuan
玉镜台	yujingtai
玉堂春	yutangchun
玉簪记	yuzanji
遇上皇	yushanghuang
遇云英	yuyunying
斩白蛇	zhanbaishe
赵太祖	zhaotaizu
鹧鸪天	zhegutian
赚兰亭	zhuanlanting
走樊城	zoufancheng
华清宫	huaqinggong
芭蕉雨	bajiaoyu
白头吟	baitouyin
贬黄州	bianhuangzhou
贬夜郎	bianyelang
别虞姬	bieyuji
秉烛旦	bingzhudan
病杨雄	bingyangxiong
不伏老	bufulao
草庵歌	caoange
错勘赃	cuokanzang
错立身	cuolishen
大拜门	dabaimen
钉一钉	dingyiding
东坡梦	dongpomeng
度柳翠	duliucui
多月亭	duoyueting
饿刘友	eliuyou
泛浮槎	fanfucha
贩茶船	fanchachuan
风光好	fengguanghao
芙蓉亭	furongting
负桂英	fuguiying
关山怨	guanshanyuan
鬼风月	guifengyue
醢彭越	haipengyue
韩退之	hantuizhi
汉宫秋	hangongqiu
合汗衫	hehanshan
黑旋风	heixuanfeng
红绡驿	hongxiaoyi
红衣怪	hongyiguai
虎头牌	hutoupai
黄粱梦	huangliangmeng
祭浐水	jichanshui
荐福碑	jianfubei
鉴湖亭	jianhuting
锦香亭	jinxiangting
进梅谏	jinmeijian
酒德颂	jiudesong
救孝子	jiuxiaozi
勘吉平	kanjiping
勘头巾	kantoujin
哭周瑜	kuzhouyu
酷寒亭	kuhanting
老生儿	laoshenger
老收心	laoshouxin
李夫人	lifuren
立中宗	lizhongzong
丽春堂	lichuntang
鲁义姑	luyigu
驴皮记	lvpiji
吕无双	lvwushuang
罗李郎	luolilang
马丹阳	madanyang
孟浩然	menghaoran
牡丹亭	mudanting
霓裳怨	nichangyuan
怕媳妇	paxifu
劈华山	pihuashan
劈华岳	pihuayue
破窑记	poyaoji
破雨伞	poyusan
戚夫人	qifuren
气英布	qiyingbu
乔断案	qiaoduanan
青衫泪	qingshanlei
秋莲梦	qiulianmeng
秋千记	qiuqianji
秋香怨	qiuxiangyuan
曲江池	qujiangchi
劝丈夫	quanzhangfu
任风子	renfengzi
三夺槊	sanduoshuo
赏黄花	shanghuanghua
射金钱	shejinqian
生金阁	shengjinge
师婆旦	shipodan
石守信	shishouxin
石州慢	shizhouman
弑齐君	shiqijun
受禅台	shoushantai
双蕖怨	shuangquyuan
松阴梦	songyinmeng
岁寒亭	suihanting
叹骷髅	tankulou
探狐洞	tanhudong
提头鬼	titougui
题红怨	tihongyuan
天子班	tianziban
推车旦	tuichedan
玩江楼	wanjianglou
玩江亭	wanjiangting
王孙贾	wangsunjia
五丈原	wuzhangyuan
武三思	wusansi
夕阳楼	xiyanglou
西厢记	xixiangji
细柳营	xiliuying
相府院	xiangfuyuan
潇湘雨	xiaoxiangyu
小刘屠	xiaoliutu
小秦王	xiaoqinwang
薛仁贵	xuerengui
雪香亭	xuexiangting
哑观音	yaguanyin
眼睛记	yanjingji
杨贵妃	yangguifei
玉壶春	yuhuchun
远波亭	yuanboting
岳阳楼	yueyanglou
斋后钟	zhaihouzhong
斩邓通	zhandengtong
斩韩信	zhanhanxin
斩吕布	zhanlvbu
张天师	zhangtianshi
珍珠旗	zhenzhuqi
镇凶宅	zhenxiongzhai
郑庄公	zhengzhuanggong
竹窗雨	zhuchuangyu
紫云亭	ziyunting
走昭君	zouzhaojun
包待制	baodaizhi
阿房宫	epanggong
抱妆盒	baozhuanghe
采莲舟	cailianzhou
草园阁	caoyuange
村学堂	cunxuetang
鼎镬谏	dinghuojian
东堂老	dongtanglao
冻苏秦	dongsuqin
杜韦娘	duweiniang
逢故人	fengguren
凤凰楼	fenghuanglou
剐王莽	guawangmang
韩太师	hantaishi
红梨花	honglihua
