唐虞时代	tangyushidai
西周文化	xizhouwenhua
新砦期	xinzhaiqi
殷墟	yinxu
殷墟文化	yinxuwenhua
百家争鸣	baijiazhengming
变法	bianfa
不更	bugeng
铲币	chanbi
车裂	chelie
彻侯	chehou
称王	chengwang
楚悼王	chudaowang
楚国	chuguo
春秋	chunqiu
春秋时代	chunqiushidai
大夫	daifu
大梁	daliang
大上造	dashangzao
大庶长	dashuchang
大田	datian
刀币	daobi
地主	dizhu
定陶	dingtao
东胡	donghu
东周	dongzhou
都江堰	dujiangyan
独霸一方	dubayifang
法经	fajing
范雎	fanju
富国强兵	fuguojiangbing|fuguoqiangbing
甘德	gande
甘石星经	ganshixingjing
高利贷者	gaolidaizhe
公乘	gongcheng
公大夫	gongdaifu
公士	gongshi
公叔痤	gongshucuo
公田	gongtian
雇工	gugong
关内侯	guanneihou
官大夫	guandaifu|guandafu
官奴	guannu
桂陵之战	guilingzhizhan
国都	guodu
国无宁日	guowuningri
邯郸	handan
韩国	hanguo
合纵	hezong
鸿沟	honggou
华夏	huaxia
火星	huoxing
兼并	jianbing
将军	jiangjun
金币	jinbi
金星	jinxing
军师	junshi
君主	junzhu
郡县	junxian
考工记	kaogongji
李悝	likui
励精图治	lijingtuzhi
连横	lianheng
临淄	linzi
楼烦	loufan
明法审令	mingfashenling
墨经	mojing
农民	nongmin
奴隶	nuli
齐国	qiguo
齐康公	qikanggong
齐威王	qiweiwang
齐宣王	qixuanwang
秦国	qinguo
秦始皇	qinshihuang
秦王	qinwang
秦孝公	qinxiaogong
秦昭王	qinzhaowang
三家分晋	sanjiafenjin
商品交换	shangpinjiaohuan
商人	shangren
商鞅变法	shangyangbianfa
上造	shangzao
少上造	shaoshangzao
士大夫	shidafu
苏秦	suqin
孙膑	sunbin
太白	taibai
天文	tianwen
天子	tianzi
田和	tianhe
铜贝	tongbei
铜币	tongbi
土地	tudi
魏国	weiguo
魏惠王	weihuiwang
魏文侯	weiwenhou
卫国	weiguo
吴起	wuqi
吴起变法	wuqibianfa
五大夫	wudaifu
西门豹	ximenbao
西周	xizhou
下都	xiadou
选贤任能	xuanxianrenneng
燕国	yanguo
仪渠	yiqu
蚁鼻钱	yibiqian
荧惑	yinghuo
右更	yougeng
远交近攻	yuanjiaojingong
越国	yueguo
曾参	zengshen
战国时代	zhanguoshidai
战争	zhanzheng
张仪	zhangyi
赵国	zhaoguo
郑国渠	zhengguoqu
制定法律	zhidingfalv
中更	zhonggeng
中山	zhongshan
重农抑商	zhongnongyishang
周安王	zhouanwang
周天子	zhoutianzi
周王	zhouwang
周威烈王	zhouweiliewang
周显王	zhouxianwang
周元王	zhouyuanwang
铸造货币	zhuzaohuobi
纵横家	zonghengjia
邹忌	zouji
左更	zuogeng
郢爰	yingyuan
圜钱	huanqian
濮阳	puyang
稷下学宫	jixiaxuegong
颛顼历	zhuanxuli
财政收入	caizhengshouru
朝聘	chaopin
城濮之战	chengpuzhizhan
楚成王	chuchengwang
楚平王	chupingwang
楚庄王	chuzhuangwang
春秋时期	chunqiushiqi
春秋五霸	chunqiuwuba
春秋战国	chunqiuzhanguo
大权旁落	daquanpangluo
大司马	dasima
道家	daojia
东征西讨	dongzhengxitao
法家	fajia
法事	fashi
夫差	fuchai|fucha
赋税	fushui
附庸	fuyong
镐京	haojing
工匠	gongjiang
工事	gongshi
公输般	gongshuban
勾践	goujian
管仲	guanzhong
国君	guojun
韩非子	hanfeizi
韩氏	hanshi
华元	huayuan
金属货币	jinshuhuobi
晋国	jinguo
晋景公	jinjinggong
晋厉公	jinligong
