安重荣	anzhongrong
柴荣	chairong
冯道	fengdao
郭威	guowei
荆浩	jinghao
李昊	lihao
李升	lisheng
刘龚	liugong
刘旻	liumin
刘煦	liuxu
石敬瑭	shijingtang
王峻	wangjun
王朴	wangpu
辛路	xinlu
徐熙	xuxi
徐知浩	xuzhihao
朱友贞	zhuyouzhen
三长制	sanzhangzhi
北凉	beiliang
北齐	beiqi
北魏	beiwei
北燕	beiyan
并州	bingzhou
博陵	boling
渤海	bohai
曹魏	caowei
承平	chengping
赤城	chicheng
刺史	cishi
道武帝	daowudi
地主	dizhu
东魏	dongwei
尔朱荣	erzhurong
法庆	faqing
范阳	fanyang
费穆	feimu
封建地主	fengjiandizhu
冯太后	fengtaihou
佛教	fojiao
抚冥	fuming
高车	gaoche
高洋	gaoyang
高允	gaoyun
高宗	gaozong
恭帝	gongdi
公田	gongtian
关陇	guanlong
广平	guangping
贵族	guizu
汉族	hanzu
河北	hebei
河间	hejian
后魏	houwei
后燕	houyan
胡太后	hutaihou
怀荒	huaihuang
怀朔	huaishuo
皇帝	huangdi
皇太后	huangtaihou
冀州	jizhou
贾思勰	jiasixie
建义	jianyi
均田制	juntianzhi
李灵	liling
六镇起义	liuzhenqiyi
卢水胡	lushuihu
鲁阳	luyang
露田	lutian
洛阳	luoyang
洛阳伽蓝记	luoyangqielanji
门阀	menfa
明元帝	mingyuandi
木兰诗	mulanshi
穆泰	mutai
南北朝	nanbeichao
平城	pingcheng
齐民要术	qiminyaoshu
前秦	qianqin
青州	qingzhou
清流	qingliu
酋长	qiuzhang
权臣	quanchen
柔然	rouran
柔玄	rouxuan
桑田	sangtian
山胡	shanhu
上党	shangdang
神龟	shengui
盛乐	shengle
石崇	shichong
石窟	shiku
什翼犍	shenyijian
世祖	shizu
水经	shuijing
水经注	shuijingzhu
司州	sizhou
泰常	taichang
太和	taihe
太和五铢	taihewuzhu
太平真君	taipingzhenjun
太守	taishou
太武帝	taiwudi
太延	taiyan
太原	taiyuan
太祖	taizu
吐谷浑	tuyuhun
拓跋	tuoba
拓跋珪	tuobagui
拓跋宏	tuobahong
拓跋浚	tuobajun
拓跋力微	tuobaliwei
拓跋嗣	tuobasi
拓跋余	tuobayu
拓跋焘	tuobatao
王恺	wangkai
沃野	woye
武川	wuchuan
武定	wuding
五胡	wuhu
五胡乱华	wuhuluanhua
西晋	xijin
西魏	xiwei
鲜卑	xianbei
显宗	xianzong
孝昌	xiaochang
孝静帝	xiaojingdi
孝明帝	xiaomingdi
孝文帝	xiaowendi
信都	xindu
匈奴	xiongnu
秀容	xiurong
延昌	yanchang
延兴	yanxing
杨炫之	yangxuanzhi
益都	yidu
雍州	yongzhou
幼主	youzhu
宇文护	yuwenhu
宇文觉	yuwenjue
元恭	yuangong
元朗	yuanlang
元魏	yuanwei
元雍	yuanyong
元子攸	yuanziyou
元诩	yuanxu
元琛	yuanchen
元晖	yuanhui
云中	yunzhong
张伟	zhangwei
镇兵	zhenbing
镇将	zhenjiang
镇民	zhenmin
正光	zhengguang
中山	zhongshan
中央集权	zhongyangjiquan
俸禄制	fengluzhi
郦道元	lidaoyuan
苻坚	fujian
涿鹿	zhuolu
淝水之战	feishuizhizhan
殇帝	shangdi
敕勒歌	chilege
禅位	chanwei
盱眙	xuyi
成汉	chenghan
冯跋	fengba
冯弘	fenghong
广固	guanggu
赫连勃勃	helianbobo
后凉	houliang
后秦	houqin
后赵	houzhao
桓温	huanwen
晋阳	jinyang
沮渠蒙逊	juqumengxun
乐都	ledu
李暠	ligao|lihao
李班	liban
李期	liqi
李寿	lishou
李雄	lixiong
李恂	lixun
刘聪	liucong
刘牢之	liulaozhi
刘穆	liumu
刘熙	liuxi
刘义符	liuyifu
刘义隆	liuyilong
刘裕	liuyu
刘渊	liuyuan
刘曜	liuyao
龙城	longcheng
卢循	luxun
吕光	lvguang
吕婆楼	lvpolou
慕容廆	murongwei
慕容暐	murongwei
慕容皝	muronghuang
慕容宝	murongbao
慕容超	murongchao
慕容冲	murongchong
慕容垂	murongchui
慕容德	murongde
慕容永	murongyong
慕容泓	muronghong
南凉	nanliang
南燕	nanyan
