阿笛	adi
阿骨打	aguda
阿桂	agui
阿忽察	ahucha
阿会喃	ahuinan
阿婕	ajie
阿克尼	akeni
阿里不哥	alibuge
阿鲁威	aluwei
阿速吉八	asujiba
阿速台	asutai
阿速温和吉八	asuwenhejiba
阿阳	ayang
阿玉锡	ayuxi
埃布登	aibudeng
艾德埙	aidexun
爱多士	aiduoshi
艾菲尔	aifeier
埃来提	ailaiti
哀牢	ailao
艾吕雅	ailvya
哀平帝	aipingdi
哀平帝苻丕	aipingdifupi
艾青	aiqing
艾淑	aishu
哀王	aiwang
哀王沮渠牧犍	aiwangjuqumujian
艾伟桉	aiweian
艾县	aixian
艾小羊	aixiaoyang
艾昕	aixin
爱新觉罗	aixinjueluo
爱新觉罗努尔哈赤	aixinjueluonuerhachi
爱新觉罗氏	aixinjueluoshi
爱新泰	aixintai
爱育黎拔力八达	aiyulibalibada
哀宗	aizong
哀宗完颜守绪	aizongwanyanshouxu
安昶	anchang
安传	anchuan
安大嵬	andawei
安德王	andewang
安德王高延宗	andewanggaoyanzong
安定郡	andingjun
安定王	andingwang
安定王元朗	andingwangyuanlang
安丰	anfeng
安故	angu
安贵人	anguiren
安国	anguo
安汉	anhan
安鸿勋	anhongxun
安家满	anjiaman
安浚	anjun
安钧璨	anjuncan
安乐公	anlegong
安陆	anlu
安禄山	anlushan
安弥	anmi
安盘	anpan
安嫔	anpin
安平	anping
安平国	anpingguo
安岐	anqi
安绍芳	anshaofang
安伸	anshen
安世	anshi
安市	anshi
安童	antong
安文钦	anwenqin
安熙	anxi
安熹	anxi
安希范	anxifan
安阳	anyang
安邑	anyi
安夷	anyi
安沂华	anyihua
安泽豪	anzehao
安致远	anzhiyuan
鞍之战	anzhizhan
安众	anzhong
安祚永	anzuoyong
奥勒留	aoleliu
敖陶孙	aotaosun
媪围	aowei
奥维兰	aoweilan
敖英	aoying
敖宗庆	aozongqing
八赤蛮	bachiman
巴纯一	bachunyi
八貂	badiao
拔都	badu
巴家伟	bajiawei
巴金	bajin
巴郡	bajun
巴克礼	bakeli
芭良	baliang
巴蔓子	bamanzi
灞水	bashui
八思巴	basiba
巴斯腾	basiteng
巴慰祖	baweizu
白采	baicai
白粲	baican
白沉	baichen
白成豪	baichenghao
白诚铉	baichengxuan
白崇禧	baichongxi
白恩佑	baienyou
白峰基	baifengji
白凤鸣	baifengming
百工衙	baigongya
柏古	baigu
白圭	baigui
白贵人	baiguiren
柏含	baihan
白鹤	baihe
白鹤亮	baiheliang
白焕彩	baihuancai
柏辉章	baihuizhang
柏景伟	baijingwei
白君实	baijunshi
白利彬	bailibin
白履忠	bailvzhong
白马羌	baimaqiang
白梦鼐	baimengnai
白鹏飞	baipengfei
白朴	baipu
白起	baiqi
柏谦	baiqian
白雀	baique
柏人	bairen
白汝霖	bairulin
白石裕	baishiyu
白寿	baishou
白淑湘	baishuxiang
白嵩	baisong
白蹄乌	baitiwu
白珽	baiting
白欣怡	baixinyi
白行简	baixingjian
