哀公	aigong
哀公问	aigongwen
爱日精庐藏书志	airijinglucangshuzhi
爱日斋丛钞	airizhaicongchao
按断	anduan
安陆集	anluji
安南志略	annanzhilue
安晚堂集	anwantangji
安危	anwei
按文	anwen
安雅堂集	anyatangji
按语	anyu
熬波图	aobotu
傲轩吟稿	aoxuanyingao
八朝名臣言行录	bachaomingchenyanxinglu
八奸	bajian
八经	bajing
巴茂	bamao
八面锋	bamianfeng
八旗满洲氏族通谱	baqimanzhoushizutongpu
八旗通志唐律疏义	baqitongzhitanglvshuyi
八千卷楼	baqianjuanlou
八千卷楼书目	baqianjuanloushumu
霸史	bashi
八说	bashuo
八索	basuo
八索九丘	basuojiuqiu
跋尾	bawei
巴西集	baxiji
八旬万寿盛典	baxunwanshoushengdian
八佾	bayi
百川书志	baichuanshuzhi
百川源尾图	baichuanyuanweitu
白谷集	baiguji
百官箴	baiguanzhen
白光	baiguang
白虎通	baihutong
白虎通义	baihutongyi
白华	baihua
拜经楼藏书题跋记	baijingloucangshutibaji
白驹	baiju
百菊集谱	baijujipu
白居易	baijuyi
白孔六帖	baikongliutie
白口	baikou
白麻纸	baimazhi
白绵纸	baimianzhi
百衲本	bainaben
百诗	baishi
稗史	baishi
白石道人歌曲	baishidaorengequ
白石道人诗集	baishidaorenshiji
白氏六帖	baishiliutie
白石山房逸稿	baishishanfangyigao
白石山房逸藁	baishishanfangyigao
稗疏	baishu
百宋一廛赋注	baisongyichanfuzhu
百宋一廛书录	baisongyichanshulu
白田杂著	baitianzazhu
白文本	baiwenben
白鱼尾	baiyuwei
百越先贤志	baiyuexianxianzhi
白云	baiyun
白云稿	baiyungao
白云集	baiyunji
白云樵唱集	baiyunqiaochangji
柏斋集	baizhaiji
百正集	baizhengji
柏舟	baizhou
板框	bankuang
班马异同	banmayitong
班马字类	banmazilei
半轩集	banxuanji
班志	banzhi
邦计	bangji
包被装	baobeizhuang
鲍彪	baobiao
抱犊山房集	baodushanfangji
包角	baojiao
抱经	baojing
鲍骏	baojun
包恺	baokai
鲍康	baokang
宝刻丛编	baokecongbian
宝刻类编	baokeleibian
包命	baoming
鲍明远集	baomingyuanji
抱朴子内外篇	baopuzineiwaipian
保乾图	baoqiantu
宝庆四明志	baoqingsimingzhi
鲍氏战国策注	baoshizhanguocezhu
宝书阁	baoshuge
宝书阁著录	baoshugezhulu
曝书亭集	baoshutingji
宝文堂	baowentang
包咸	baoxian
包孝肃奏议集	baoxiaosuzouyiji
宝佑四年登科录	baoyousiniandengkelu
宝祐四年登科录	baoyousiniandengkelu
