陆羽	luyu
唐三彩	tangsancai
郭子仪	guoziyi
李林甫	lilinfu
杨玉环	yangyuhuan
贡举	gongju
来俊臣	laijunchen
临朝称制	linchaochengzhi
长孙无忌	zhangsunwuji
天可汗	tiankehan
文成公主	wenchenggongzhu
松赞干布	songzanganbu
房玄龄	fangxuanling
杜如晦	duruhui
均田制	juntianzhi
安禄山	anlushan
史思明	shisiming
安史之乱	anshizhiluan
天宝	tianbao
开元盛世	kaiyuanshengshi
李隆基	lilongji
武则天	wuzetian
贞观之治	zhenguanzhizhi
李渊	liyuan
刘文静	liuwenjing
陈叔达	chenshuda
裴矩	peiju
宇文士及	yuwenshiji
高士廉	gaoshilian
李靖	lijing
王珪	wanggui
魏征	weizheng
岑文本	cenwenben
褚遂良	chusuiliang|zhusuiliang
许敬宗	xujingzong
高季辅	gaojifu
张行成	zhangxingcheng
于志宁	yuzhining
来济	laiji
崔敦礼	cuidunli
李义府	liyifu
杜正伦	duzhenglun
许圉师	xuyushi
上官仪	shangguanyi
刘仁轨	liurengui
阎立本	yanliben
李敬玄	lijingxuan
薛元超	xueyuanchao
裴炎	peiyan
狄仁杰	direnjie
陆元方	luyuanfang
苏味道	suweidao
武三思	wusansi
宗楚客	zongchuke
姚崇	yaochong
李峤	liqiao
魏元忠	weiyuanzhong
韦安石	weianshi
朱敬则	zhujingze
张柬之	zhangjianzhi
韦承庆	weichengqing
祝钦明	zhuqinming
萧至忠	xiaozhizhong
张仁愿	zhangrenyuan
崔湜	cuishi
刘幽求	liuyouqiu
魏知古	weizhigu
郭元振	guoyuanzhen
张说	zhangshuo
卢怀慎	luhuaishen
源乾曜	yuanqianyao
王晙	wangjun
李元纮	liyuanhong
萧嵩	xiaosong
裴光庭	peiguangting
宇文融	yuwenrong
韩休	hanxiu
裴耀卿	peiyaoqing
张九龄	zhangjiuling
牛仙客	niuxianke
杨国忠	yangguozhong
韦见素	weijiansu
苗晋卿	miaojinqing
张镐	zhanggao
第五琦	diwuqi
元载	yuanzai
刘晏	liuyan
王缙	wangjin
杜鸿渐	duhongjian
杨绾	yangwan
常衮	changgun
杨炎	yangyan
卢杞	luqi
关播	guanbo
萧复	xiaofu
李晟	lisheng
浑瑊	hunjian
马燧	masui
柳浑	liuhun
李泌	limi
窦参	doucan
陆贽	luzhi
贾耽	jiadan
赵宗儒	zhaozongru
郑余庆	zhengyuqing
齐抗	qikang
杜佑	duyou
高郢	gaoying
杜黄裳	duhuangshang
武元衡	wuyuanheng
李吉甫	lijifu
李藩	lifan
