按察官	anchaguan
安府	anfu
安抚	anfu
安抚大使	anfudashi
安抚都监	anfudoujian
安抚副使	anfufushi
安抚使	anfushi
安抚使司	anfushisi
安抚司	anfusi
安提转	antizhuan
按刑	anxing
宝货司	baohuosi
保甲司	baojiasi
拨发	bofa
拨发官	bofaguan
拨发司	bofasi
舶干	bogan
舶监	bojian
舶司	bosi
舶司干官	bosiganguan
舶务	bowu
部刺史	bucishi
部使	bushi
部使臣	bushichen
部使者	bushizhe
仓使	cangshi
仓司	cangsi
仓台	cangtai
漕臣	caochen
漕计	caoji
漕节	caojie
漕吏	caoli
漕幕	caomu
漕使	caoshi
漕司	caosi
漕台	caotai
茶场司	chachangsi
察访	chafang
察访官	chafangguan
察访司	chafangsi
茶马官	chamaguan
茶马司	chamasi
茶使	chashi
茶司	chasi
茶盐干	chayangan
茶盐官	chayanguan
茶盐司	chayansi
常平仓司	changpingcangsi
常平官	changpingguan
常平使	changpingshi
常平使者	changpingshizhe
常平司	changpingsi
常平主管	changpingzhuguan
琛台	chentai
称铜官	chengtongguan
催纲	cuigang
催纲官	cuigangguan
措勾	cuogou
措置司	cuozhisi
大漕	dacao
大使行府	dashixingfu
大帅	dashuai
大帅司	dashuaisi
点检所	dianjiansuo
都漕	doucao
都漕司	doucaosi
都漕运司	doucaoyunsi
都大	douda
都大茶马	doudachama
都大经制	doudajingzhi
都大坑冶	doudakengye
都大提点	doudatidian
都大提举	doudatiju
都监	doujian
都运	douyun
都运使	douyunshi
都运司	douyunsi
都转运	douzhuanyun
都转运使	douzhuanyunshi
贰漕	ercao
发副	fafu
发干	fagan
发运	fayun
发运副使	fayunfushi
发运判官	fayunpanguan
发运使	fayunshi
发运使司	fayunshisi
发运司	fayunsi
藩阃	fankun
抚参	fucan
抚干	fugan
抚勾	fugou
府界	fujie
府界提点	fujietidian
府界提举	fujietiju
副使	fushi
干官	ganguan
干茗局	ganmingju
管勾官	guangouguan
管勾学事	guangouxueshi
广舶司	guangbosi
广南舶司	guangnanbosi
广司	guangsi
河阴都监	heyindujian
机幕	jimu
计使	jishi
计司	jisi
计台	jitai
机宜	jiyi
机宜文字	jiyiwenzi
检法	jianfa
检法官	jianfaguan
监官	jianguan
监市舶务	jianshibowu
监司	jiansi
监司使者	jiansishizhe
检踏	jianta
检踏官	jiantaguan
监冶场务	jianyechangwu
将漕	jiangcao
将漕司	jiangcaosi
解盐使	jieyanshi
解盐司	jieyansi
禁军教头	jinjunjiaotou
经制财用	jingzhicaiyong
经制两浙	jingzhiliangzhe
经制使	jingzhishi
经制司	jingzhisi
经总二司	jingzongersi
纠虔之司	jiuqianzhisi
坑冶司	kengyesi
来远驿	laiyuanyi
连帅	lianshuai
两浙舶司	liangzhebosi
两浙市舶	liangzheshibo
路察访使	luchafangshi
路监司	lujiansi
路宪	luxian
路转运使	luzhuanyunshi
马司	masi
买马司	maimasi
闽司	minsi
辇运使	nianyunshi
