太仆寺	taipusi
光禄寺	guanglusi
太常寺	taichangsi
大理寺	dalisi
熊廷弼	xiongtingbi
阉党	yandang
东林党	donglindang
张居正	zhangjuzheng
于谦	yuqian
土木之变	tumuzhibian
奴儿干都指挥使司	nuerganduzhihuishisi
瓦剌	wala
鞑靼	dada
交趾	jiaozhi
永乐大典	yongledadian
解缙	jiejin|xiejin
翰林院	hanlinyuan
靖难之役	jingnanzhiyi
锦衣卫	jinyiwei
胡惟庸	huweiyong
鱼鳞图册	yulintuce
大诰	dagao
都司	dusi
张士诚	zhangshicheng
陈友谅	chenyouliang
朱升	zhusheng
郭子兴	guozixing
汤和	tanghe
都察院	duchayuan
六科	liuke
兵部	bingbu
五军都督府	wujundudufu
内阁	neige
朱棣	zhudi
朱元璋	zhuyuanzhang
宝钞广惠库	baochaoguanghuiku
宝钞广惠库大使	baochaoguanghuikudashi
宝钞广惠库副使	baochaoguanghuikufushi
宝钞提举司	baochaotijusi
宝钞提举司典史	baochaotijusidianshi
宝钞提举司副提举	baochaotijusifutiju
宝钞提举司提举	baochaotijusitiju
北安门仓	beianmencang
北安门仓副使	beianmencangfushi
丙字库	bingziku
丙字库大使	bingzikudashi
丙字库副使	bingzikufushi
长安门仓	changanmencang
长安门仓副使	changanmencangfushi
抄纸局	chaozhiju
抄纸局大使	chaozhijudashi
抄纸局副使	chaozhijufushi
车架清吏司	chejiaqinglisi
承运库	chengyunku
承运库大使	chengyunkudashi
承运库副使	chengyunkufushi
祠祭清吏司	cijiqinglisi
大使	dashi
大通关	datongguan
丁字库	dingziku
丁字库大使	dingzikudashi
丁字库副使	dingzikufushi
东安门仓	donganmencang
东安门仓副使	donganmencangfushi
东阁大学士	donggedaxueshi
督理会同馆	dulihuitongguan
奉銮	fengluan
福建清吏司	fujianqinglisi
福建清吏司郎中	fujianqinglisilangzhong
福建清吏司员外郎	fujianqinglisiyuanwailang
福建清吏司主事	fujianqinglisizhushi
副使	fushi
工部	gongbu
管山海关	guanshanhaiguan
广东清吏司	guangdongqinglisi
广东清吏司郎中	guangdongqinglisilangzhong
广东清吏司员外郎	guangdongqinglisiyuanwailang
广东清吏司主事	guangdongqinglisizhushi
广积库	guangjiku
广积库大使	guangjikudashi
广积库副使	guangjikufushi
广西清吏司	guangxiqinglisi
广西清吏司郎中	guangxiqinglisilangzhong
广西清吏司员外郎	guangxiqinglisiyuanwailang
广西清吏司主事	guangxiqinglisizhushi
广盈库	guangyingku
广盈库大使	guangyingkudashi
广盈库副使	guangyingkufushi
贵州清吏司	guizhouqinglisi
贵州清吏司郎中	guizhouqinglisilangzhong
贵州清吏司郎中总理密云粮饷	guizhouqinglisilangzhongzonglimiyunliangxiang
贵州清吏司郎中总理永平粮饷	guizhouqinglisilangzhongzongliyongpingliangxiang
贵州清吏司员外郎	guizhouqinglisiyuanwailang
贵州清吏司主事	guizhouqinglisizhushi
河南清吏司	henanqinglisi
河南清吏司郎中	henanqinglisilangzhong
河南清吏司员外郎	henanqinglisiyuanwailang
河南清吏司主事	henanqinglisizhushi
户部	hubu
户部尚书	hubushangshu
户部右侍郎	hubuyoushilang
户部左侍郎	hubuzuoshilang
湖广清吏司	huguangqinglisi
湖广清吏司郎中	huguangqinglisilangzhong
湖广清吏司员外郎	huguangqinglisiyuanwailang
湖广清吏司主事	huguangqinglisizhushi
湖广清吏司主事管通州大运等仓	huguangqinglisizhushiguantongzhoudayundengcang
会同馆	huitongguan
稽勋清吏司	jixunqinglisi
稽勋清吏司郎中	jixunqinglisilangzhong
稽勋清吏司员外郎	jixunqinglisiyuanwailang
稽勋清吏司主事	jixunqinglisizhushi
甲字库	jiaziku
甲字库大使	jiazikudashi
甲字库副使	jiazikufushi
建极殿大学士	jianjidiandaxueshi
检校	jianjiao
江西清吏司	jiangxiqinglisi
江西清吏司郎中	jiangxiqinglisilangzhong
江西清吏司员外郎	jiangxiqinglisiyuanwailang
江西清吏司主事	jiangxiqinglisizhushi
教坊司	jiaofangsi
经历	jingli
精膳清吏司	jingshanqinglisi
旧官袭替	jiuguanxiti
军储仓	junchucang
军储仓大使	junchucangdashi
军储仓副使	junchucangfushi
考功清吏司	kaogongqinglisi
考功清吏司郎中	kaogongqinglisilangzhong
考功清吏司员外郎	kaogongqinglisiyuanwailang
