单于	chanyu
常惠	changhui
长罗侯	changluohou
车师	cheshi
城障	chengzhang
大宛	dawan
大夏	daxia
大月氏	dayueshi
代郡	daijun
烽燧	fengsui
苻坚	fujian
姑臧	guzang
冠军侯	guanjunhou
汉侍郎	hanshilang
河仓城	hecangcheng
河西汉塞	hexihansai
浑耶王	hunyewang
霍去病	huoqubing
居延泽	juyanze
军须靡	junxumi
赖丹	laidan
雷台汉墓	leitaihanmu
骊靬	lijian
猎骄靡	liejiaomi
临松薤谷	linsongxiegu
刘彻	liuche
卢胡王	luhuwang
马踏飞燕	matafeiyan
嫖姚校尉	piaoyaoxiaowei
平阳公主	pingyanggongzhu
骑兵	qibing
羌人	qiangren
龟兹王	qiuciwang
上邽	shanggui
身毒	shendu
疏勒河	shulehe
通衢要道	tongquyaodao
屯垦	tunken
屯垦戍边	tunkenshubian
魏晋墓	weijinmu
卫青	weiqing
卫少儿	weishaoer
翁归靡	wengguimi
乌垒城	wuleicheng
乌鞘岭	wuqiaoling
乌孙	wusun
武威市	wuweishi
坞院	wuyuan
细君公主	xijungongzhu
西戎	xirong
休屠王	xiutuwang
悬泉	xuanquan
悬泉驿	xuanquanyi
悬泉置	xuanquanzhi
雁门	yanmen
焉支山	yanzhishan
右贤王	youxianwang
羽林营	yulinying
扜弥	yumi
于阗	yutian
元贵靡	yuanguimi
月氏	yuezhi
折兰王	zhelanwang
郑吉	zhengji
置啬夫	zhisefu
贾谊	jiayi|guyi
屈贾	qujia
治安策	zhiance
上官桀	shangguanjie
盐铁论	yantielun
南越	nanyue
河套	hetao
丝绸之路	sichouzhilu
巫蛊之祸	wuguzhihuo
周勃	zhoubo
七国之乱	qiguozhiluan
白登之围	baidengzhiwei
乐府诗	yuefushi
汉赋	hanfu
地动仪	didongyi
浑天仪	huntianyi
蔡伦	cailun
葱岭	congling
党锢之祸	dangguzhihuo
班超	banchao
汉和帝	hanhedi
光武中兴	guangwuzhongxing
东汉	donghan
刘秀	liuxiu
王莽	wangmang
张骞	zhangqian
汉武帝	hanwudi
文景之治	wenjingzhizhi
西域都护府	xiyuduhufu
宾客	binke
常山	changshan
长安	changan
陈牧	chenmu
称帝	chengdi
成昌	chengchang
成帝	chengdi
成都	chengdu
赤帝	chidi
大司空	dasikong
大司马	dasima
大司农	dasinong
翟义	zhaiyi
地皇	dihuang
东郡	dongjun
樊崇	fanchong
封侯	fenghou
更始	gengshi
更始帝	gengshidi
光禄大夫	guangludaifu
光武帝	guangwudi
汉哀帝	hanaidi
汉代	handai
汉高祖	hangaozu
汉平帝	hanpingdi
黄帝	huangdi
黄门侍郎	huangmenshilang
火德	huode
棘阳	jiyang
假皇帝	jiahuangdi
将军	jiangjun
荆州	jingzhou
敬武公主	jingwugongzhu
九锡	jiuxi
居摄	jushe
孔光	kongguang
昆阳	kunyang
昆阳大战	kunyangdazhan
蓝乡	lanxiang
廉丹	liandan
梁丘	liangqiu
梁王	liangwang
列侯	liehou
临朝称制	linchaochengzhi
刘邦	liubang
刘崇	liuchong
刘嘉	liujia
刘庆	liuqing
刘向	liuxiang
刘玄	liuxuan
刘演	liuyan
刘歆	liuxin
洛阳	luoyang
马武	mawu
南郡	nanjun
南阳	nanyang
农民起义	nongminqiyi
奴婢	nubi
平林	pinglin
骑都尉	qiduwei
青州	qingzhou
孺子	ruzi
孺子婴	ruziying
三公	sangong
山阳	shanyang
上公	shanggong
始建国	shijianguo
侍中	shizhong
水德	shuide
私属	sishu
随县	suixian
绥和	suihe
孙宝	sunbao
太傅	taifu
太师	taishi
太守	taishou
天凤	tianfeng
土德	tude
宛城	wancheng
王凤	wangfeng
王皇后	wanghuanghou
王匡	wangkuang
王立	wangli
王曼	wangman
王商	wangshang
王舜	wangshun
王田	wangtian
王宇	wangyu
王政君	wangzhengjun
未央宫	weiyanggong
魏郡	weijun
无盐	wuyan
西汉	xihan
新都	xindu
匈奴	xiongnu
学官	xueguan
炎汉	yanhan
炎刘	yanliu
阳朔	yangshuo
义军	yijun
永始	yongshi
元帝	yuandi
元后	yuanhou
元寿	yuanshou
宰衡	zaiheng
赵萌	zhaomeng
真定	zhending
正朔	zhengshuo
治平	zhiping
州牧	zhoumu
子婴	ziying
宗庙	zongmiao
宗族	zongzu
掾史	yuanshi
常平仓	changpingcang
