百越	baiyue
右北平	youbeiping
象郡	xiangjun
南海郡	nanhaijun
辽东郡	liaodongjun
辽西郡	liaoxijun
广阳郡	guangyangjun
上谷郡	shanggujun
渔阳郡	yuyangjun
颍川郡	yingchuanjun
上郡	shangjun
砀郡	dangjun
东郡	dongjun
河东郡	hedongjun
云中郡	yunzhongjun
代郡	daijun
雁门郡	yanmenjun
太原郡	taiyuanjun
会稽郡	kuaijijun
东海郡	donghaijun
薛郡	xuejun
九江郡	jiujiangjun
苍梧郡	cangwujun
南阳郡	nanyangjun
南郡	nanjun
汉中郡	hanzhongjun
巴郡	bajun
蜀郡	shujun
北地郡	beidijun
秦半两	qinbanliang
三公九卿	sangongjiuqing
车同轨	chetonggui
书同文	shutongwen
行同伦	xingtonglun
巴寡妇清	baguafuqing
巴清	baqing
蔡赐	caici
曹咎	caojiu
曹无伤	caowushang
陈胜	chensheng
陈馀	chenyu
程邈	chengmiao
邓通	dengtong
邓宗	dengzong
丁固	dinggu
董贤	dongxian
董翳	dongyi
范雎	fanju
范睢	fansui
范增	fanzeng
冯劫	fengjie
冯去疾	fengquji
傅淼	fumiao
扶苏	fusu
高渐离	gaojianli
葛婴	geying
公子高	gongzigao
韩广	hanguang
后楚怀王	houchuhuaiwang
侯生	housheng
胡亥	huhai
华阳公主	huayanggongzhu
桓楚	huanchu
桓齮	huanyi
黄石公	huangshigong
季布	jibu
将闾	jianglv
嫪毐	laoai
李斯	lisi
李信	lixin
李由	liyou
李左车	lizuoche
龙且	longqie
卢敖	luao
吕不韦	lvbuwei
吕臣	lvchen
吕马童	lvmatong
吕婆楼	lvpolou
梅鋗	meixuan
蒙骜	mengao
孟姜女	mengjiangnv
蒙恬	mengtian
蒙武	mengwu
蒙毅	mengyi
芈姝	mishu
内史腾	neishiteng
浦将军	pujiangjun
蒲将军	pujiangjun
羌瘣	qianghui
秦二世	qinershi
秦嘉	qinjia
秦三世	qinsanshi
秦三世子婴	qinsanshiziying
秦始皇	qinshihuang
秦始皇嬴政	qinshihuangyingzheng
秦王子婴	qinwangziying
任嚣	renxiao
商鞅	shangyang
涉间	shejian
史禄	shilu
司马卬	simaang
司马道子	simadaozi
司马欣	simaxin
宋留	songliu
宋义	songyi
苏角	sujiao
随何	suihe
孙贲	sunben
田安	tianan
田儋	tiandan
田都	tiandou
田巿	tianfu
田横	tianheng
田荣	tianrong
田市	tianshi
田叔	tianshu
屠睢	tusui
王贲	wangben
王翦	wangjian
王离	wangli
王绾	wangwan
王翳	wangyi
魏豹	weibao
魏咎	weijiu
隗林	weilin
魏王咎	weiwangjiu
武臣	wuchen
吴广	wuguang
吴芮	wurui
武涉	wushe
无诸	wuzhu
夏无且	xiawuqie
项伯	xiangbo
项籍	xiangji
项梁	xiangliang
项渠	xiangqu
项羽	xiangyu
项庄	xiangzhuang
辛胜	xinsheng
辛追	xinzhui
熊槐	xionghuai
徐福	xufu
徐公	xugong
阎乐	yanle
殷通	yintong
英布	yingbu
嬴阴嫚	yingyinman
嬴阴曼	yingyinman
嬴政	yingzheng
嬴子婴	yingziying
虞姬	yuji
虞子期	yuziqi
栎阳公主	yueyanggongzhu
臧荼	zangtu
张敖	zhangao
张耳	zhanger
章邯	zhanghan
赵贲	zhaoben
赵高	zhaogao
赵姬	zhaoji
赵佗	zhaotuo
赵歇	zhaoxie
钟离眛	zhonglimei
周市	zhoushi
周文	zhouwen
朱家	zhujia
