八归	bagui
八塞	basai
入塞	rusai
九日	jiuri
三台	santai
大有	dayou
大椿	dachun
子夜	ziye
无闷	wumen
无怨	wuyuan
天香	tianxiang
不见	bujian
木笡	muqie
五拍	wupai
六丑	liuchou
比梅	bimei
白萱	baixuan
白雪	baixue
月慢	yueman
犯花	fanhua
古记	guji
东仙	dongxian
乐正	yuezheng
乐令	leling
乐世	leshi
长春	changchun
西子	xizi
西河	xihe
西湖	xihu
西施	xishi
多丽	duoli
导引	daoyin
寻梅	xunmei
竹枝	zhuzhi
合欢	hehuan
防露	fanglu
红情	hongqing
出塞	chusai
花犯	huafan
芳草	fangcao
步月	buyue
别怨	bieyuan
杜宇	duyu
阳春	yangchun
河传	hechuan
佳色	jiase
尾犯	weifan
招潮	zhaochao
鸣梭	mingsuo
侧犯	cefan
录调	lutiao
孤鸾	guluan
征招	zhengzhao
南浦	nanpu
秋水	qiushui
秋霁	qiuji
胜常	shengchang
宣情	xuanqing
眉妩	meiwu
垂阳	chuiyang
相月	xiangyue
品令	pinling
拜星	baixing
胡州	huzhou
夏州	xiazhou
春游	chunyou
春晴	chunqing
春弄	chunnong
绿腰	lvyao
绿意	lvyi
哨遍	shaobian
倾杯	qingbei
索酒	suojiu
消息	xiaoxi
离鸾	liluan
留家	liujia
调笑	tiaoxiao
薄幸	boxing
黄金	huangjin
排歌	paige
探春	tanchun
望梅	wangmei
减兰	jianlan
情词	qingci
渔父	yufu
戚氏	qishi
梁令	liangling
塞姑	saigu
湘月	xiangyue
琼台	qiongtai
凯歌	kaige
韵令	yunling
催雪	cuixue
琴调	qindiao
禁烟	jinyan
解红	jiehong
疏影	shuying
歌令	geling
赚煞	zhuansha
瑶花	yaohua
酹月	leiyue
暗香	anxiang
镇西	zhenxi
踏月	tayue
横云	hengyun
簇水	cushui
露华	luhua
一七令	yiqiling
一寸金	yicunjin
一叶叶	yiyeye
一叶乐	yiyele
一叶落	yiyeluo
一半子	yibanzi
一江风	yijiangfeng
一丝风	yisifeng
一过金	yiguojin
一梦金	yimengjin
一丛花	yiconghua
一枝花	yizhihua
一样花	yiyanghua
一点春	yidianchun
一枝春	yizhichun
一落春	yiluochun
一年春	yinianchun
一痕沙	yihensha
一落索	yiluosuo
一络索	yiluosuo
一捻红	yinianhong
一萼红	yiehong
一斛珠	yihuzhu
一斛球	yihuqiu
一剪梅	yijianmei
一翦梅	yijianmei
二郎神	erlangshen
二色莲	erselian
卜算子	busuanzi
卜玉郎	boyulang|buyulang
人月圆	renyueyuan
人南渡	rennandu
七娘子	qiniangzi
七娘仔	qiniangzi
八六子	baliuzi
八宝妆	babaozhuang
八拍蛮	bapaiman
八音谐	bayinxie
九能归	jiunenggui
九回肠	jiuhuichang
九张帆	jiuzhangfan
十拍子	shipaizi
十样花	shiyanghua
十爱词	shiaici
十二时	shiershi
十二红	shierhong
十二郎	shierlang
十八香	shibaxiang
二十时	ershishi
丁香结	dingxiangjie
三字令	sanziling
三台令	santailing
三学士	sanxueshi
三部乐	sanbule
三登乐	sandengle
三奠子	sandianzi
三株媚	sanzhumei
上行杯	shangxingbei
上升花	shangshenghua
上江虹	shangjianghong
上马娇	shangmajiao
上西平	shangxiping
上南平	shangnanping
上平西	shangpingxi
上平南	shangpingnan
上小楼	shangxiaolou
上束马	shangshuma
上西楼	shangxilou
上林春	shanglinchun
上阳春	shangyangchun
下水船	xiashuichuan
下手迟	xiashouchi
大江西	dajiangxi
大江乘	dajiangcheng
大圣乐	dashengle|dashengyue
小圣乐	xiaoshengle|xiaoshengyue
小冲山	xiaochongshan
小重山	xiaozhongshan|xiaochongshan
小阑干	xiaolangan
小桃红	xiaotaohong
小桃花	xiaotaohua
小庭花	xiaotinghua
小梅花	xiaomeihua
小镇西	xiaozhenxi
小秦王	xiaoqinwang
小梁州	xiaoliangzhou
千秋岁	qianqiusui
千秋节	qianqiujie
千年调	qianniantiao
千春词	qianchunci
万年秋	wannianqiu
万年枝	wannianzhi
万年春	wannianchun
万里春	wanlichun
万年斯	wanniansi
山外云	shanwaiyun
山花子	shanhuazi
山桃红	shantaohong
山坡羊	shanpoyang
山渐青	shanjianqing
山鬼谣	shanguiyao
山亭柳	shantingliu
山亭燕	shantingyan
于飞乐	yufeile|yufeiyue
于中好	yuzhonghao
广寒枝	guanghanzhi
广寒秋	guanghanqiu
子夜歌	ziyege
川拨棹	chuanbozhao
干荷叶	ganheye
女冠子	nvguanzi
天仙子	tianxianzi
天下乐	tianxiale
天门谣	tianmenyao
天香引	tianxiangyin
天净沙	tianjingsha
月儿高	yueergao
月下笛	yuexiadi
月中行	yuezhonghang
月中桂	yuezhonggui
月当听	yuedangting
月当窗	yuedangchuang
月边娇	yuebianjiao
月宫春	yuegongchun
月城春	yuechengchun
月华清	yuehuaqing
风入松	fengrusong
风中柳	fengzhongliu
风光好	fengguanghao
风归云	fengguiyun
风马儿	fengmaer
风流子	fengliuzi
风蝶令	fengdieling
风敲竹	fengqiaozhu
云雾敛	yunwulian
云松令	yunsongling
云鬓乱	yunbinluan
水仙子	shuixianzi
水龙吟	shuilongyin
水云游	shuiyunyou
水漫声	shuimansheng
水调歌	shuitiaoge|shuidiaoge
水晶帘	shuijinglian
凤仙引	fengxianyin
凤池吟	fengchiyin
凤来朝	fenglaichao
凤求凰	fengqiuhuang
凤棲梧	fengqiwu
凤孤飞	fenggufei
凤时春	fengshichun
凤楼春	fenglouchun
凤楼吟	fenglouyin
凤萧吟	fengxiaoyin
凤御杯	fengyubei
凤凰间	fenghuangjian
双双燕	shuangshuangyan
双飞燕	shuangfeiyan
双燕儿	shuangyaner
双头莲	shuangtoulian
双瑞莲	shuangruilian
双声子	shuangshengzi
双带子	shuangdaizi
双韵子	shuangyunzi
双红豆	shuanghongdou
双劝酒	shuangquanjiu
双荷叶	shuangheye
双蕖怨	shuangquyuan
双鸿鹑	shuanghongchun
斗百花	doubaihua
斗百草	doubaicao
斗鸡回	doujihui
斗婵娟	douchanjuan
斗鹌鹑	douanchun
无梦令	wumengling
无俗念	wusunian
无漏子	wulouzi
无锡景	wuxijing
太平时	taipingshi
太平令	taipingling
