阿保之劳	abaozhilao
阿鼻地狱	abidiyu
阿鼻叫唤	abijiaohuan
阿狗阿猫	agouamao
阿姑阿翁	aguaweng
阿娇金屋	ajiaojinwu
阿匼取容	akequrong
阿郎杂碎	alangzasui
阿猫阿狗	amaoagou
阿娜多姿	anaduozi
阿娜妩媚	anawumei
阿毗地狱	apidiyu
阿平绝倒	apingjuedao
阿世徇俗	ashixunsu
阿顺取容	ashunqurong
阿私所好	asisuohao
阿私下比	asixiabi
阿魏无真	aweiwuzhen
阿意苟合	ayigouhe
阿旨顺情	azhishunqing
哀哀父母	aiaifumu
挨挨抢抢	aiaiqiangqiang
哀哀欲绝	aiaiyujue
挨挨拶拶	aiaizanzan
哀兵必胜	aibingbisheng
爱不忍释	aiburenshi
爱不释手	aibushishou
爱才怜弱	aicailianruo
爱才如渴	aicairuke
爱财如命	aicairuming
爱才若渴	aicairuoke
挨打受骂	aidashouma
挨打受气	aidashouqi
挨饿受冻	aieshoudong
哀而不伤	aierbushang
艾发衰容	aifashuairong
爱非其道	aifeiqidao
挨风缉缝	aifengjifeng
爱富嫌贫	aifuxianpin
哀感天地	aigantiandi
哀感顽艳	aiganwanyan
哀感中年	aiganzhongnian
哀告宾服	aigaobinfu
爱国如家	aiguorujia
爱鹤失众	aiheshizhong
爱河永浴	aiheyongyu
哀鸿遍地	aihongbiandi
哀鸿遍野	aihongbianye
哀鸿满路	aihongmanlu
哀毁骨立	aihuiguli
哀毁瘠立	aihuijili
挨家挨户	aijiaaihu
挨家按户	aijiaanhu
挨肩并足	aijianbingzu
挨肩擦膀	aijiancabang
挨肩擦背	aijiancabei
捱肩擦背	aijiancabei
挨肩擦脸	aijiancalian
挨肩搭背	aijiandabei
挨肩叠背	aijiandiebei
挨肩叠足	aijiandiezu
僾见忾闻	aijiankaiwen
哀矜惩创	aijinchengchuang
哀矜勿喜	aijinwuxi
爱口识羞	aikoushixiu
碍口识羞	aikoushixiu
爱老慈幼	ailaociyou
哀梨并剪	ailibingjian
爱礼存羊	ailicunyang
哀梨蒸食	ailizhengshi
爱毛反裘	aimaofanqiu
暧昧不明	aimeibuming
暧昧之情	aimeizhiqing
暧昧之事	aimeizhishi
挨门挨户	aimenaihu
挨门逐户	aimenzhuhu
爱民如子	aiminruzi
爱民恤物	aiminxuwu
爱莫能助	aimonengzhu
爱莫为助	aimoweizhu
爱莫之助	aimozhizhu
爱莫助之	aimozhuzhi
碍难从命	ainancongming
碍难遵命	ainanzunming
騃女痴儿	ainvchier
騃女痴男	ainvchinan
哀戚之情	aiqizhiqing
爱钱如命	aiqianruming
矮墙浅屋	aiqiangqianwu
爱妾换马	aiqiehuanma
爱亲做亲	aiqinzuoqin
哀穷悼屈	aiqiongdaoqu
蔼然可亲	airankeqin
蔼然仁者	airanrenzhe
矮人观场	airenguanchang
爱人好士	airenhaoshi
矮人看场	airenkanchang
矮人看戏	airenkanxi
爱人利物	airenliwu
爱人以德	airenyide
爱日惜力	airixili
爱如已出	airuyichu
爱如珍宝	airuzhenbao
捱三顶四	aisandingsi
挨三顶五	aisandingwu
捱三顶五	aisandingwu
挨山塞海	aishansehai|aishansaihai
唉声叹气	aishengtanqi
爱生恶死	aishengwusi
碍手碍脚	aishouaijiao
哀丝豪肉	aisihaorou
哀丝豪竹	aisihaozhu
挨丝切缝	aisiqiefeng
哀思如潮	aisiruchao
