阿巴斯派	abasipai
阿巴斯全集	abasiquanji
阿巴斯王朝	abasiwangchao
阿拔斯王朝	abasiwangchao
阿布达尔	abudaer
阿布代思	abudaisi
阿卜代斯台	abudaisitai
阿布德斯	abudesi
阿布杜拉	abudula
阿布费达史	abufeidashi
阿布拉尔	abulaer
阿布穆斯林派	abumusilinpai
阿迪纳清真寺	adinaqingzhensi
阿甸园	adianyuan
阿尔巴特会晤	aerbatehuiwu
阿尔卡赖	aerkalai
阿尔卡利	aerkali
阿尔马米	aermami
阿而实	aershi
阿夫塔赫派	afutahepai
阿格拉布王朝	agelabuwangchao
阿格勒	agele
阿海勒主麻	ahailezhuma
阿赫巴尔学派	ahebaerxuepai
阿赫里哈克派	ahelihakepai
阿赫默德	ahemode
阿赫默德教团	ahemodejiaotuan
阿赫默德派	ahemodepai
阿赫亚尔	aheyaer
阿黑来提	aheilaiti
阿吉拉	ajila
阿克巴誓约	akebashiyue
阿克科雍鲁	akekeyonglu
阿克萨清真寺	akesaqingzhensi
阿拉伯书法	alaboshufa
阿拉伯字母	alabozimu
阿拉姆陵墓	alamulingmu
阿拉穆特教义	alamutejiaoyi
阿拉维派	alaweipai
阿勒法	alefa
阿里迦运动	alijiayundong
阿里剑	alijian
阿里叶	aliye
阿里伊拉希派	aliyilaxipai
阿林	alin
阿鲁法	alufa
阿迈勒运动	amaileyundong
阿米乃	aminai
阿帕克和卓传	apakehezhuochuan
阿皮孜	apizi
阿萨辛派	asaxinpai
阿舒拉	ashula
阿术拉	ashula
阿术拉节	ashulajie
阿刷	ashua
阿斯基亚王朝	asijiyawangchao
阿西叶	axiye
阿亚图拉	ayatula
阿耶哈	ayeha
阿宜台	ayitai
阿尤布王朝	ayoubuwangchao
阿宰尔	azaier
阿札德	azhade
阿札里加派	azhalijiapai
阿兹拉伊来	azilayilai
艾巴德派	aibadepai
艾布拜克尔	aibubaikeer
艾布伯舍尔	aibubosheer
哀哈格夫	aihagefu
艾哈戛弗	aihajiafu
艾哈默德	aihamode
艾哈札布	aihazhabu
艾海勒齐麦	aihaileqimai
艾海里逊乃	aihailixunnai
艾赫	aihe
埃及继承法	aijijichengfa
埃及九年	aijijiunian
埃及民法典	aijiminfadian
埃及瓦克夫法	aijiwakefufa
埃及乌玛党	aijiwumadang
哀凯	aikai
艾勒叶赛尔	aileyesaier
艾里毕之书	ailibizhishu
埃米尔穆民	aimiermumin
哀欧足	aiouzu
爱群道清真寺	aiqundaoqingzhensi
艾什尔里派	aishenerlipai
哀诗吟唱师	aishiyinchangshi
艾思里	aisili
艾依提卡	aiyitika
艾则孜木麻札	aizezimumazha
爱资哈尔长老	aizihaerzhanglao
艾兹赖格派	aizilaigepai
安集延起义	anjiyanqiyi
安康清真古寺	ankangqingzhengusi
安拉	anla
按拉胡	anlahu
安拉至大	anlazhida
安拉之剑	anlazhijian
安拉至知	anlazhizhi
安萨尔	ansaer
安优卜	anyoubo|anyoubu
凹壁	aobi
奥格巴清真寺	aogebaqingzhensi
奥斯曼民法典	aosimanminfadian
奥斯曼商法典	aosimanshangfadian
奥斯曼刑法典	aosimanxingfadian
奥塔德	aotade
