阿鼻	abi
阿鼻地狱	abidiyu
阿比罗提	abiluoti
阿鞞跋致	abingbazhi
阿波陀那	abotuona
阿部肇一	abuzhaoyi
阿阐底迦	achandijia
阿閦	achu
阿閦佛	achufo
阿达婆吠陀	adapofeituo
阿道	adao
阿地瞿多	adiquduo
阿地瞿多译师	adiquduoyishi
阿底峡	adixia
阿底峡尊者	adixiazunzhe
阿颠底迦	adiandijia
阿闍世王	adushiwang
阿浮陀达磨	afutuodamo
阿格旺波尊者	agewangbozunzhe
阿贡喇嘛	agonglama
阿果洛桑强巴饶杰	aguoluosangqiangbaraojie
阿果南喀森格	aguonankasenge
阿含	ahan
阿含部	ahanbu
阿含经	ahanjing
阿含时	ahanshi
阿吽	ahong
阿迦答沙都	ajiadashadou
阿嘉罗桑嘉央嘉措	ajialuosangjiayangjiacuo
阿伽色	agase|ajiase
阿伽陀	ajiatuo
阿伽陀药	ajiatuoyao|agatuoyao
阿姜查	ajiangcha
阿姜达摩答罗	ajiangdamodaluo
阿姜摩诃布瓦	ajiangmohebuwa
阿姜念	ajiangnian
阿姜朱连	ajiangzhulian
阿津达	ajinda
阿拉汉	alahan
阿拉善延寿寺	alashanyanshousi
阿赖耶	alaiye
阿赖耶识	alaiyeshi
阿兰若	alanre
阿兰若处	alanrechu
阿兰若行	alanrexing
阿利耶	aliye
阿离耶	aliye
阿离耶跋摩	aliyebamo
阿梨耶识	aliyeshi
阿卢那	aluna
阿罗汉	aluohan
阿罗汉果位	aluohanguowei
阿罗逻迦兰	aluoluojialan
阿罗毗国	aluopiguo
阿秘特尊者	amitezunzhe
阿弥陀忏法	amituochanfa
阿弥陀发哦	amituofao
阿弥驼佛纯	amituofochun
阿弥陀经	amituojing
阿弥陀净土变	amituojingtubian
阿弥陀三尊	amituosanzun
阿摩勒树	amoleshu
阿摩罗梵语辞典	amoluofanyucidian
阿摩落迦塔	amoluojiata
阿摩罗婆提	amoluopoti
阿摩罗普罗派	amoluopuluopai
阿摩罗识	amoluoshi
阿那含	anahan
阿那含果	anahanguo
阿那含向	anahanxiang
阿那律	analv
阿那摩低	anamodi
阿难	anan
阿难达	ananda
阿南科	ananke
阿难陀	anantuo
阿难陀寺	anantuosi
阿难尊者结集三藏	ananzunzhejiejisanzang
阿难尊者说是	ananzunzheshuoshi
阿耨达池	anoudachi
阿耨达龙王	anoudalongwang
阿耨多罗三藐三菩提	anouduoluosanmiaosanputi
阿耨菩提	anouputi
阿奴波村	anubocun
阿奴卢塔	anuluta
阿奴律陀	anulvtuo
阿槃提	apanti
阿毗达摩	apidamo
阿毗达磨	apidamo
阿毗达磨大乘经	apidamodachengjing
阿毗达磨灯论	apidamodenglun
阿毗昙	apitan
阿毗昙八犍度论	apitanbajiandulun
阿毗昙毗婆沙论	apitanpiposhalun
阿毗昙心论	apitanxinlun
阿耆多翅舍钦婆罗	aqiduochisheqinpoluo
