八卦	bagua
八节斋	bajiezhai
八石	bashi
八仙宫	baxiangong
白石生	baishisheng
白玉蟾	baiyuchan
白云观	baiyunguan
白云霁	baiyunji
白昼飞升	baizhoufeisheng
百字碑	baizibei
鲍靓	baoliang
苞凝元神	baoningyuanshen
抱朴子	baopuzi
保生大帝	baoshengdadi
宝文统录	baowentonglu
北斗真君	beidouzhenjun
北天师道	beitianshidao
北岳大帝	beiyuedadi
碧洞宗	bidongzong
辟谷	bigu
碧霞元君	bixiayuanjun
毕元帅	biyuanshuai
裨灶	bizao
丙辰	bingchen
丙丁龟鉴	bingdingguijian
炳灵公	binglinggong
丙申	bingshen
丙午	bingwu
丙戌	bingxu
丙寅	bingyin
丙子	bingzi
帛和	bohe
帛家道	bojiadao
步罡踏斗	bugangtadou
卜林	bulin
布气	buqi
卜筮书	bushishu
步熊	buxiong
卜珝	buxu
卜葬书	buzangshu
蔡元定	caiyuanding
曹国舅	caoguojiu
曹文逸	caowenyi
曾慥	cengzao
姹女	chanv
柴通玄	chaitongxuan
产药	chanyao
阐真	chanzhen
长春观	changchunguan
苌弘	changhong
昌容	changrong
朝板	chaoban
朝天宫	chaotiangong
陈崇政	chenchongzheng
陈景元	chenjingyuan
陈可复	chenkefu
陈楠	chennan
陈清觉	chenqingjue
陈抟	chentuan
陈训	chenxun
陈撄宁	chenyingning
陈致虚	chenzhixu
晨钟暮鼓	chenzhongmugu
承负	chengfu
成公兴	chenggongxing
城隍神	chenghuangshen
乘蹻	chengjiao|chengjue
成玄英	chengxuanying
赤城山	chichengshan
赤松子	chisongzi
重楼	chonglou
冲虚真经	chongxuzhenjing
重阳宫	chongyanggong
重阳真人	chongyangzhenren
抽铅添汞	chouqiantiangong
抽添	choutian
初入道仪	churudaoyi
初真十戒	chuzhenshijie
楚芝兰	chuzhilan
厨主	chuzhu
淳于智	chunyuzhi
崔府君	cuifujun
催官篇	cuiguanpian
翠虚篇	cuixupian
存神	cunshen
存思	cunsi
大赤天	dachitian
大丹直指	dadanzhizhi
大洞玉经	dadongyujing
