藏匿	cangni
花花草草	huahuacaocao
恭恭敬敬	gonggongjingjing
黄花菜	huanghuacai
工巧	gongqiao
葡萄牙	putaoya
藏蓝	zanglan
花花世界	huahuashijie
工艺	gongyi
工匠	gongjiang
工区	gongqu
藏区	zangqu
茉莉花	molihua
劳苦功高	laokugonggao
草草了事	caocaoliaoshi|caocaoleshi
芙蓉出水	furongchushui
茕茕孑立	qiongqiongjieli
工大	gongda
工厂	gongchang
花花太岁	huahuataisui
落花有意流水无情	luohuayouyiliushuiwuqing
工矿	gongkuang
落荒而逃	luohuangertao
落花有意	luohuayouyi
工期	gongqi
恭敬不如从命	gongjingburucongming
落落大方	luoluodafang
花花肠子	huahuachangzi
勤工助学	qingongzhuxue
工力	gongli
节节胜利	jiejieshengli
萧敬腾	xiaojingteng
工地	gongdi
苏东坡	sudongpo
蓬蓬勃勃	pengpengbobo
葡萄干	putaogan
工场	gongchang
落花无言	luohuawuyan
藏青	zangqing
工夫	gongfu
工事	gongshi
戒严	jieyan
藏獒	zangao
七七事变	qiqishibian
工卡	gongka
工频	gongpin
工具	gongju
工龄	gongling
莘莘学子	shenshenxuezi
卧薪尝胆	woxinchangdan
区区小事	ququxiaoshi
落花流水	luohualiushui
工学	gongxue
工党	gongdang
戒酒	jiejiu
葡萄酒	putaojiu
牙牙学语	yayaxueyu
工时	gongshi
蒸蒸日上	zhengzhengrishang
工日	gongri
工蜂	gongfeng
工蚁	gongyi
藏品	cangpin
工艺品	gongyipin
黄花岗	huanghuagang
戒网	jiewang
节节败退	jiejiebaitui
藏民	zangmin
戒惧	jieju
藏书	cangshu
草草收兵	caocaoshoubing
戒心	jiexin
戒尺	jiechi
工序	gongxu
工业	gongye
葡萄糖	putaotang
工料	gongliao
工农	gongnong
藏宝	cangbao
敬若神明	jingruoshenming
菠萝蜜	boluomi
切切实实	qieqieshishi
落落寡合	luoluoguahe
戒色	jiese
工钱	gongqian
匿名	niming
葫芦岛	huludao
藏锋	cangfeng
藏拙	cangzhuo
熙熙攘攘	xixirangrang
工兵	gongbing
戒指	jiezhi
工棚	gongpeng
工本	gongben
工工整整	gonggongzhengzheng
东藏西躲	dongcangxiduo
式样	shiyang
工长	gongzhang
工笔	gongbi
工行	gonghang
芭蕾舞	baleiwu
工段	gongduan
蓬荜生辉	pengbishenghui
工程	gongcheng
工种	gongzhong
戒备	jiebei
式微	shiwei
工科	gongke
戒律	jielv
切切私语	qieqiesiyu
工头	gongtou
工装	gongzhuang
工单	gongdan
工部	gongbu
工资	gongzi
黄花闺女	huanghuaguinv
葫芦娃	huluwa
戒刀	jiedao
勤勤恳恳	qinqinkenken
花花公子	huahuagongzi
工会	gonghui
勤工俭学	qingongjianxue
劳燕分飞	laoyanfenfei
欧共体	ougongti
工作	gongzuo
工伤	gongshang
工件	gongjian
芸芸众生	yunyunzhongsheng
工位	gongwei
茹苦含辛	rukuhanxin
工人	gongren
七七八八	qiqibaba
草菅人命	caojianrenming
藏经	cangjing
警戒线	jingjiexian
医药费	yiyaofei
花花绿绿	huahualvlv
落英缤纷	luoyingbinfen
工房	gongfang
匿迹	niji
花落谁家	hualuoshuijia
藏族	zangzu
工商	gongshang
藏文	zangwen|cangwen
节节	jiejie
若隐若现	ruoyinruoxian
