巴喳八卦弊家伙鼻哥	bazhabaguabijiahuobige
帮衬收皮收嗲嬲到爆	bangchenshoupishoudianiaodaobao
爆大锅屎忽核突盏鬼	baodaguoshihuhetuzhangui
爆晒棚食唔落冇问题识得	baoshaipengshiwuluomaowentishide
鼻哥竉磅水闩门吹水	bigelongbangshuishuanmenchuishui
茶煲煲粥等阵煮饭	chabaobaozhoudengzhenzhufan
吹水唔抹嘴顶嘴冲凉打交	chuishuiwumozuidingzuichongliangdajiao
打喊露打冷震叻唔切第日	dahanludalengzhenlewuqiediri
点算俾返啱晒搵钱	diansuanbifanyanshaiwenqian
点知发生咩事一旧云冇钱	dianzhifashengmieshiyijiuyunmaoqian
喋晒糖咁款呷醋唔愤气黄朝白晏	dieshaitanggankuanxiacuwufenqihuangchaobaiyan
顶你个肺锡锡噏得就噏呃人	dingnigefeixixixidejiuxieren
丢架落嚟俾人坤落答	diujialuolibirenkunluoda
奀妹奀挑鬼命咸鱼翻身钉咗	enmeientiaoguimingxianyufanshendingzuo
粉肠傻更更神神哋边度	fenchangshagenggengshenshendibiandu
孤寒缩骨木嘴碌葛	guhansuogumuzuiluge
果度唔係喺度喺边啊	guoduwuxixiduxibiana
好攰氹人睬你都傻唔睬你	haoguidangrencainidoushawucaini
好味架喇识做二打六	haoweijialashizuoerdaliu
话晒唸嘢嚟讲	huashainianyelijiang
话时话冇得倾唔啱数好便	huashihuamaodeqingwuyanshuhaobian
家姐妈咪爹哋唔钟意	jiajiemamidiediwuzhongyi
讲咩啊做紧咩乜都得咁都得	jiangmieazuojinmiemiedoudeigandoude
楋手唔成势扯猫尾痴线痴孖筋	lashouwuchengshichemaoweichixianchimajin
老细大佬细佬唔使	laoxidalaoxilaowushi
箩柚憨居懵盛盛蒙查查	luoyouhanjumengshengshengmengchacha
埋冷冚家产屎忽鬼肥佬	mailengkanjiachanshihuguifeilao
冇得弹你好嘢有冇搞错又係喔	maodetannihaoyeyoumaogaocuoyouxiwo
冇计得闲唔得闲行街	maojidexianwudexianxingjie
茂里一啲啲嗰个返到未	maoliyididigegefandaowei
掹掹緊索油型到跌渣狒狒哋	mengmengjinsuoyouxingdaodiezhafeifeidi
咩嘢搞错搞掂行得未啊	mieyegaocuogaodianxingdeweia
你哋	nidi
你地	nidi
你话事卖剩蔗箩底橙隔夜粥	nihuashimaishengzheluodichenggeyezhou
千祈唔好求祈事但唔信	qianqiwuhaoqiuqishidanwuxin
悭钱睇唔出咁咁啱	qianqiandiwuchuganganyan
穷到窿穿窿玩嘢蒲头	qiongdaolongchuanlongwanyeputou
佢哋	qudi
忍唔住等唔切仲有梗係	renwuzhudengwuqiezhongyougengxi
入嚟	ruli
塞紧车预埋你果份等埋我未返到	saijincheyumainiguofendengmaiwoweifandao
晒冷冷衫冇事呢啲	shailenglengshanmaoshinedi
捨得返到嚟闲闲哋衬到绝	shedefandaolixianxiandichendaojue
食饭食咗饭未啊嚟啦到咗未	shifanshizuofanweialiladaozuowei
食死猫一身蚁湿滞周身唔聚财	shisimaoyishenyishizhizhoushenwujucai
食碗面反碗底二五仔反骨仔细妹	shiwanmianfanwandierwuzaifanguziximei
使唔使	shiwushi
踢晒脚鸡咁脚坤人发烂咋	tishaijiaojiganjiaokunrenfalanza
同埋理得佢边有啊死牛一边颈	tongmailidequbianyouasiniuyibianjing
未得住等埋係咪咩事	weidezhudengmaiximimieshi
搵工咁滞你老屎屎溃	wengongganzhinilaoshishikui
瘟瘟噔噔搵人搵嘢企理	wenwendengdengwenrenwenyeqili
唔识识唔使得唔得得啖笑	wushishiwushidewudededanxiao
唔系	wuxi
唔啱啱啱返屋企返嚟啦	wuyanyanyanfanwuqifanlila
系边系边到做紧物你话呢	xibianxibiandaozuojinwunihuane
系唔系啊我哋	xiwuxiawodi
泄埋泄晒蚀底着数	xiemaixieshaishidizhaoshu
墟冚着草意头牙烟	xukanzhecaoyitouyayan
寻日寻晚听日倾计	xunrixunwantingriqingji
眼瞓大锅阿吱阿咗面珠趸	yanfendaguoazhiazuomianzhudun
啱先吖嘛唔係掛掛住	yanxianamawuxiguaguazhu
晏骤瞓觉早抖啱瞓醒	yanzhoufenjiaozaodouyanfenxing
饮到汤戏飞大肶鸡肶	yindaotangxifeidapijipi
硬颈手紧穷到出汁方死冇人知	yingjingshoujinqiongdaochuzhifangsimaorenzhi
有冇冇嘢冇晒呢度	youmaomaoyemaoshainedu
运滞食咩啊潮人潮爆	yunzhishimieachaorenchaobao
咋嘛麻麻哋嗌交嘈交	zamamamadiaijiaocaojiao
揸拿揸住有排未有咁快住	zhanazhazhuyoupaiweiyougankuaizhu
朝早氹氹转疊埋心水顶唔顺	zhaozaodangdangzhuandiemaixinshuidingwushun
争咁远痴閪线傻閪痴痴	zhengganyuanchisexianshasechichi
撞到正运桔白撞使乜	zhuangdaozhengyunjubaizhuangshimie
走佬讲咩咁点算点解	zoulaojiangmiegandiansuandianjie
做乜	zuomie
做物西扑街死开我地	zuowuxipujiesikaiwodi
