安驾	anjia
跋杯	babei
拜佛	baifo
败家仔	baijiazai
拜老公	bailaogong
拜老爷	bailaoye
白仁	bairen
半斤八两免相嫌	banjinbaliangmianxiangxian
半路债	banluzhai
绑回	banghui
绑人	bangren
曝粟	baosu
北赤脚	beichijiao
北字掠无磨蜞	beiziluewumoqi
奔咘客牛听	benbukeniuting
泵风	bengfeng
笔盒	bihe
比脚划手	bijiaohuashou
鼻空	bikong
扁豆	biandou
别人草粿别人糖	bierencaohuabierentang
饼药	bingyao
饼药粉	bingyaofen
薄壳	boqiao
补泥	buni
布田	butian
菜脯	caipu
财气死	caiqisi
菜栽	caizai
参详	canxiang
草猴	caohou
茶米	chami
茶三酒四剔桃二	chasanjiusititaoer
拆药	chaiyao
池个	chige
痴哥	chige
痴哥仔	chigezai
池江	chijiang
池块	chikuai
齿漱	chishu
匙油	chiyou
臭脚惜	choujiaoxi
抽踢死	choutisi
除人	churen
除人虫	churenchong
除人定	churending
出日	churi
刺毛风虫	cimaofengchong
刺仔	cizai
搭车	dache
大官	daguan
大姆	damu
大人	daren
大人伯未起奴仔先镇椅	darenboweiqinuzaixianzhenyi
大人弯奴囝直	darenwannunanzhi
大声百喉	dashengbaihou
大头好脸	datouhaolian
哒惜	daxi
大细胆	daxidan
大细目	daximu
袋粪	daifen
带柳丝	dailiusi
担到有影甲有迹	dandaoyouyingjiayouji
担破无酒食	danpowujiushi
倒手边	daoshoubian
底边	dibian
地豆	didou
睇风水	difengshui
地缸	digang
地个	dige
地块	dikuai
睇日	diri
地珍时	dizhenshi
帝政	dizheng
地主爷	dizhuye
店店	diandian
电毛	dianmao
电土	diantu
吊瓜	diaogua
东司头老石部愈老愈臭	dongsitoulaoshibuyulaoyuchou
肚困	dukun
独目	dumu
肚痛	dutong
短帐	duanzhang
对岁	duisui
对唔住	duiwuzhu
恶人先告状	erenxiangaozhuang
饭床	fanchuang
番葱	fancong
番瓜	fangua
番梨	fanli
番茄	fanqie
番薯	fanshu
放尿	fangniao
放屎	fangshi
飞薐	feileng
飞龙	feilong
肥水迈流过北人田	feishuimailiuguobeirentian
分碟	fendie
粉豆	fendou
粉鸟	fenniao
风颱	fengtai
父二母仔	fuermuzai
扶浪趴	fulangpa
敢担住赢	gandanzhuying
钢笔水	gangbishui
戆过只水鸭	gangguozhishuiya
膏笔	gaobi
格尺	gechi
个镜	gejing
蛤婆	gepo
割粙	gezhou
割猪肉	gezhurou
梗着	gengzhe
弓蕉	gongjiao
工铜	gongtong
狗蚁	gouyi
瓜棚	guapeng
拐脚	guaijiao
怪浪	guailang
官着	guanzhe
滚水	gunshui
过了七月半日头短条线	guoleqiyuebanritouduantiaoxian
过年	guonian
过身	guoshen
过衰	guoshuai
过纸	guozhi
好咧来莫咧歇	haolielaimoliexie
好囝免用多多仔饿死父	haonanmianyongduoduozaiesifu
好孬	haonao
荷兰豆	helandou
鹤然	heran
赫下物	hexiawu
红柿	hongshi
喉哒	houda
喉搭	houda
后生仔	houshengzai
胡溜	huliu
胡蝇	huying
粿板	huaban
哗甫	huafu
划鼠	huashu
环头死绝	huantousijue
欢唔知	huanwuzhi
欢喜	huanxi
欢有	huanyou
灰匙	huichi
会闲	huixian
活头	huotou
鸡安	jian
鸡母	jimu
鸡母皮	jimupi
激心	jixin
激血	jixue
鸡仔	jizai
甲被扇风	jiabeishanfeng
家私	jiasi
艰苦	jianku
脚仓绑蛤丩惹蛇	jiaocangbanggejiureshe
脚车	jiaoche
胶刀	jiaodao
胶地	jiaodi
胶地人	jiaodiren
角瓜	jiaogua
胶那	jiaona
脚皮欠路债	jiaopiqianluzhai
胶扫	jiaosao
脚头	jiaotou
角头	jiaotou
脚鱼	jiaoyu
胶爪	jiaozhao
胶只	jiaozhi
金胡神假蜜蜂	jinhushenjiamifeng
金龙	jinlong
今年番薯唔比旧年芋	jinnianfanshuwubijiunianyu
惊到支尾好晾裳	jingdaozhiweihaoliangshang
惊好着死	jinghaozhesi
惊死	jingsi
酒精兀	jiujingwu
锯弦	juxian
壳苦正矮成祖	kekuzhengaichengzu
口壶	kouhu
来忒桃	laiteitao
来以好	laiyihao
老娼打拳唔就势	laochangdaquanwujiushi
老公	laogong
老禾埠	laohebu
老嫲	laoma
老妈宫粽球食定正知	laomagongzongqiushidingzhengzhi
老热	laore
老实终古在	laoshizhongguzai
老实终须在	laoshizhongxuzai
老政府	laozhengfu
乐毛	lemao
乐皮	lepi
雷同天时	leitongtianshi
力落	liluo
粒球	liqiu
莲果	lianguo
凉水	liangshui
临钱水点点滴	linqianshuidiandiandi
林檎	linqin
领被	lingbei
领父	lingfu
领母	lingmu
流鼻	liubi
漏屎	loushi
路仔	luzai
掠鱼	lueyu
罗哩	luoli
落堂	luotang
落雨	luoyu
落种	luozhong
卖海鲜	maihaixian
卖想	maixiang
迈照些	maizhaoxie
门枪	menqiang
门扇后	menshanhou
米萝	miluo
蜜婆	mipo
面布	mianbu
眠床	mianchuang
面盆	mianpen
棉嘴边	mianzuibian
乜个	miege
墨斗	modou
某虎狮	mouhushi
谋龙	moulong
谋狮	moushi
目镜	mujing
目眉	mumei
目眯眯	mumimi
目涩死	musesi
木仔	muzai
目汁	muzhi
耐拐	naiguai
孬看死	naokansi
脑莫	naomo
鸟梨	niaoli
奴仔	nuzai
拍电子	paidianzi
拍乒乓	paipingpang
拍球	paiqiu
拍粟	paisu
拍铁	paitie
拍万六	paiwanliu
哌仔	paizai
拍字	paizi
偏枯	pianku
平安当大赚	pingandangdazhuan
平担	pingdan
破家仔	pojiazai
迫性	poxing
起厝	qicuo
妻舅	qijiu
乞食	qishi
岂是	qishi
乞食力三当	qishilisandang
妻姨	qiyi
钱葱	qiancong
钱龙	qianlong
亲家	qingjia
青夜	qingye
青夜看镜	qingyekanjing
青夜骑手电各人各人善	qingyeqishoudiangerengerenshan
秋瓜	qiugua
求葡萄	qiuputao
去读书	qudushu
曲毛	qumao
娶牡	qumu
人客	renke
人孬	rennao
日暗	rian
日斗	ridou
日猛	rimeng
肉哎	rouai
软嘛	ruanma
散抽	sanchou
散呾	sandan
三斗油麻倒无粒落耳	sandouyoumadaowuliluoer
三脚椅子不知摆	sanjiaoyizibuzhibai
散哭爸	sankuba
散嚷	sanrang
三日掠鱼四日瀑网	sanrilueyusiripuwang
扫首	saoshou
沙虾	shaxia
杀仔	shazai
山顶	shanding
山东梨	shandongli
善好	shanhao
上堂	shangtang
上语文	shangyuwen
烧护	shaohu
烧亚	shaoya
烧纸节	shaozhijie
生鸡目	shengjimu
生调	shengtiao
生仔	shengzai
食笨	shiben
食诐唔落	shibiwuluo
驶车	shiche
石狗卵	shigouluan
