俺老	anlao
败乎	baihu
白作假	baizuojia
扳掉	bandiao
绊趴倒	banpadao
不管经	buguanjing
不买呼你	bumaihuni
不肉你	burouni
不照气	buzhaoqi
草扩子	caokuozi
曹鱼	caoyu
次毛	cimao
打岔	dacha
得意得	deyide
滴点喽	didianlou
肚眼子	duyanzi
泛蛋	fandan
胳肢窝	gazhiwo
搞他	gaota
格把地	gebadi
骼勒拜子	gelebaizi
搁哪来	genalai
光光蜓	guangguangting
光锦裳	guangjinshang
海趴子	haipazi
薅草	haocao
黑不楞通	heibulengtong
黑雀子	heiqiaozi
呼你一而把子	huniyierbazi
晃荡人	huangdangren
急怔眼	jizhengyan
架车	jiache
架试	jiashi
家走	jiazou
胶粘	jiaonian|jiaozhan
脚趾盖子	jiaozhigaizi
今个	jinge
镜子	jingzi
可吃吗	kechima
可照	kezhao
剋饭剋架	keifankeijia
肯吃	kenchi
拉寡	lagua
癞蛤蟆	laihama
癞癞肚	lailaidu
老马子	laomazi
老头子	laotouzi
老子	laozi
脸帮子	lianbangzi
列列	lielie
领衣子	lingyizi
毛格子	maogezi
毛票子	maopiaozi
明个	mingge
磨牙	moya
恁说的啥家伙	nenshuodeshajiahuo
能屌抬	nengdiaotai
腻歪	niwai
尿尿	niaosui
浓鼻子	nongbizi
弄啥子	nongshazi
皮锤	pichui
清早	qingzao
热古毒得	regudude
扫脸乎	saolianhu
啥家乎	shajiahu
赏问	shangwen
屎橛子	shijuezi
手脖子	shoubozi
手镊子	shouniezi
手指盖子	shouzhigaizi
死不热	sibure
抬杠	taigang
剔溜圆	tiliuyuan
添孩子	tianhaizi
铁条	tietiao
挺不湿	tingbushi
头毛	toumao
晚黑来	wanheilai
温不臭	wenbuchou
乌了牛子	wuleniuzi
响饭	xiangfan
徐吊	xudiao
丫把子	yabazi
咽熊	yanxiong
夜里头	yelitou
尾巴	yiba|weiba
义西	yixi
脏经人	zangjingren
早起来	zaoqilai
炸米花	zhamihua
真有抹	zhenyoumo
知了	zhiliao
字儿	zier
昨个	zuoge
