耙活	bahuo
巴楼梯	balouti
巴茅杆儿	bamaoganer
把撒的	basade
巴瞎	baxia
巴瞎子	baxiazi
巴先不得	baxianbude
摆龙门阵	bailongmenzhen
拜子	baizi
板不脱	banbutuo
板得脱	bandetuo
板命	banming
膀臭	bangchou
绑个鞑鞑儿	banggedadaer
帮老	banglao
棒老二	banglaoer
梆硬	bangying
爆颠儿的	baodianerde
苞谷	baogu
抱鸡母	baojimu
宝俩肉	baoliarou
宝批龙	baopilong
包先	baoxian
背壳壳	beikeke
边脚趾帽儿	bianjiaozhimaoer
边指帽儿	bianzhimaoer
簸结	bojie
不日毛	burimao
草棒	caobang
衩衩裤	chachaku
茶瓶揍揍	chapingzouzou
长辈子	changbeizi
抻头	chentou
抻展	chenzhan
撑花儿	chenghuaer
杵杵儿	chuchuer
串瞌睡	chuankeshui
锤子	chuizi
糍粑口儿	cibakouer
刺泡儿	cipaoer
撮箕儿	cuojier
打摆子	dabaizi
打标枪	dabiaoqiang
鞑鞑儿	dadaer
打堆堆	daduidui
打愤涕	dafenti
达个扑爬	dagepupa
打嚯先	dahuoxian
打啷仗	dalangzhang
打垒堆	daleidui
打平伙	dapinghuo
打铺盖	dapugai
达扑爬	dapupa
达死	dasi
带惜	daixi
凼位儿	dangweier
倒拐子	daoguaizi
灯儿个天	dengergetian
地坝	diba
地瓜儿	diguaer
颠颠儿	diandianer
点儿都不想幼	dianerdoubuxiangyou
吊二活甩	diaoerhuoshuai
刁住浪哎	diaozhulangai
刁住浪开	diaozhulangkai
刁住恁开	diaozhunenkai
丁丁猫儿	dingdingmaoer
鼎罐儿	dingguaner
董大	dongda
董多	dongduo
肚鸡眼儿	dujiyaner
短杵杵儿	duanchuchuer
对明子	duimingzi
对直	duizhi
对直走	duizhizou
夺地坝眼儿的	duodibayanerde
二不垮五	erbukuawu
二回儿	erhuier
儿豁	erhuo
发梦冲	famengchong
发母猪疯	famuzhufeng
翻夹肉	fanjiarou
翻筋斗儿	fanjindouer
飞玩儿	feiwaner
疯扯扯的	fengchechede
该背时	gaibeishi
该荫	gaiyin
赶场	ganchang
干猴儿	ganhouer
干焦焦	ganjiaojiao
柑子	ganzi
诰看看	gaokankan
搞咆歹	gaopaodai
搞咆了的	gaopaolede
高旭	gaoxu
诰一哈	gaoyiha
隔壁子	gebizi
疙豆儿	gedouer
狗日的	gouride
沟子	gouzi
鼓捣	gudao
孤到起	gudaoqi
寡乖	guaguai
寡好切	guahaoqie
寡莽	guamang
寡泡	guapao
怪撇	guaipie
龟儿	guier
国板儿	guobaner
过午	guowu
哈包儿	habaoer
哈麻批	hamapi
汗巴水流	hanbashuiliu
哄娘哄老子	hongnianghonglaozi
齁包儿	houbaoer
后颈窝	houjingwo
后脑爪	hounaozhao
齁嫩	hounen
滑基拉垮	huajilakua
环板顺跳	huanbanshuntiao
环顺	huanshun
恍而惚息	huangerhuxi
灰包尘天	huibaochentian
火辣火漂	huolahuopiao
活辣子	huolazi
活麻	huoma
活呛	huoqiang
活摇活甩	huoyaohuoshuai
鲫壳儿	jikeer
叽啦子	jilazi
挤眉眨眼	jimeizhayan
夹耳根	jiaergen
夹夹虫	jiajiachong
夹口	jiakou
夹母	jiamu
剪巴郎	jianbalang
捡欺头	jianqitou
犟拐拐	jiangguaiguai
脚耙手软	jiaobashouruan
