鼻屎搭侬	bishidanong
变鬼的	bianguide
不晓得阳各三上的事	buxiaodeyanggesanshangdeshi
吃了弃死的吃冤枉的吃老鼠药的	chileqisidechiyuanwangdechilaoshuyaode
错不带嗯屋里前世的娘	cuobudaienwuliqianshideniang
答倒拖	dadaotuo
打忙捶的	damangchuide
到哪里弃咯	daonaliqige
嗲嗲奈奈	diadianainai
嗯妈	enma
发瘟的绝仇的	fawendejuechoude
嘎得哈里打	gadehalida
嘎公嘎婆	gagonggapo
哥哥姐姐	gegejiejie
公公婆婆	gonggongpopo
狗错嘀	goucuodi
掴头捉痒	guaitouzhuoyang
鬼打的	guidadi
还好卟咯	haihaobuge
好洒得	haosade
化泡得	huapaode
进来坐哈得咯	jinlaizuohadelo
卡么咯	kamege
捆门板的	kunmenbande
辣理壳得	lalikede
老弟迷得蜜	laodimidemi
嘛呢	mane
埋瘪了坟	maibielefen
喃得墙尚藏死弃	nandeqiangshangcangsiqi
气各嗝	qigege
伸懒筋得	shenlanjinde
死得阴间里弃了	sideyinjianliqile
笑化了尸	xiaohualeshi
呀嘎啦	yagala
呀嘎嘞	yagale
一扁担摸死嗯弃	yibiandanmosienqi
一脚凳巴是一下	yijiaodengbashiyixia
一脚兜得三里该弃	yijiaodoudesanligaiqi
圆骨头捶成扁骨头	yuangutouchuichengbiangutou
中喝捆	zhonghekun
钻土的上山的	zuantudeshangshande
做绝了绝兜	zuojueliaojuedou
