白话	baihua
包源儿	baoyuaner
备不住	beibuzhu
奔儿了头	benerletou
逼逼咔咔	bibikaka
鼻嘎吧	bigaba
扯犊子	cheduzi
杵胡子了	chuhuzile
刺挠	cinao
凑合	couhe
打蔫	danian
得劲	dejin
得瑟	dese
吊儿郎当	diaoerlangdang
嗯哪	enna
二倚子	eryizi
噶哈	gaha
旮旯	gala
嘎拉哈	galaha
该里	gaili
干吧愣子	ganbalengzi
干不拉瞎	ganbulaxia
干哈	ganha
干哈玩意	ganhawanyi
赶趟	gantang
干仗	ganzhang
钢钢地	ganggangdi
疙不溜脆	gebuliucui
咯了盖儿	gelegaier
隔路	gelu
硌应	geying
够呛	gouqiang
滚犊子	gunduzi
哈喇子	halazi
虎了吧唧	hulebaji
坏菜了	huaicaile
魂儿画儿	hunerhuaer
叽歪	jiwai
急眼	jiyan
叫磕碜	jiaokechen
矫情	jiaoqing
脚趾盖儿	jiaozhigaier
卡吐露皮了	katulupile
磕巴	keba
棵碜	kechen
吭哧瘪肚	kengchibiedu
挎兜	kuadou
老鼻子了	laobizile
唠嗑	laoke
嘛答	mada
麻溜	maliu
麻溜的	maliude
埋汰	maitai
毛了二愣	maoleerleng
磨叽	moji
那嘎达	nagada
挠岗子了	naogangzile
闹死了	naosile
能歪	nengwai
尿性	niaoxing
牛逼	niubi
皮儿片儿	pierpianer
婆婆丁	popoding
戚儿	qier
曲么菜	qumecai
撒欢	sahuan
撒鸭子	sayazi
傻了八叽	shalebaji
沙楞的	shalengde
啥玩意儿	shawanyier
山炮	shanpao
上扇儿	shangshaner
挺毙	tingbi
吐了反仗	tulefanzhang
我去了	woqule
稀罕	xihan
下扇儿	xiashaner
瞎整	xiazheng
熊色	xiongse
仰逼扯胯	yangbichekua
扬了二正	yangleerzheng
原先	yuanxian
咋地	zadi
咋整的	zazhengde
贼拉的	zeilade
整事儿	zhengshier
